| Government | URUGUAY |
| Political parties and leaders: | Broad Front (Frente Amplio) or EP-FA [Monica XAVIER] (a broad governing coalition that includes Liber Seregni Front (FLS) [Danilo ASTORI], Socialist Party [Monica XAVIER], Vertiente Artiguiste [Enrique RUBIO], Christian Democratic Party [Juan Andres ROBALLO], Popular Participation Movement (MPP) [Jose MUJICA], Broad Front Commitment [Raul SENDIC], Action and Thought Current-Freedom (CAP-L) [Eleuterio FERNADEZ HUIDOBRO], Big House [Constanza MOREIRA], Communist Party [Marcos CARAMBULA], The Federal League |
| Political parties and leaders: | Colorado Party (including Vamos Uruguay [Pedro Bordaberry] and Propuesta Batllista [Jorge AMORIN BATLLE]) |
| Political parties and leaders: | Independent Party [Pablo MIERES] |
| Political parties and leaders: | National Party or Blanco (including All Forward [Luis LACALLE POU] and National Alliance [Jorge LARRANAGA]) |
| Political parties and leaders: | Popular Assembly [Gonzalo ABELLA] |
| Political pressure groups and leaders: | B'nai Brith |
| Political pressure groups and leaders: | Catholic Church |
| Political pressure groups and leaders: | Chamber of Commerce and Export of Agriproducts |
| Political pressure groups and leaders: | Chamber of Industries (manufacturer's association) |
| Political pressure groups and leaders: | Exporters Union of Uruguay |
| Political pressure groups and leaders: | National Chamber of Commerce and Services |
| Political pressure groups and leaders: | PIT/CNT (powerful federation of Uruguayan Unions - umbrella labor organization) |
| Political pressure groups and leaders: | Rural Association of Uruguay (rancher's association) |
| Political pressure groups and leaders: | Uruguayan Network of Political Women |
| Political pressure groups and leaders: | other: students |
| International organization participation: | CAN (associate), CD, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAES, LAIA, Mercosur, MIGA, MINUSTAH, MONUSCO, NAM (observer), OAS, OIF (observer), OPANAL, OPCW, Pacific Alliance (observer), PCA, SICA (observer), UN, UNASUR, UNCTAD, UNESCO, UNIDO, Union Latina, UNMOGIP, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Carlos Alberto GIANELLI Derois (since 23 July 2015) |
| Diplomatic representation in the US: | chancery: 1913 I Street NW, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: [1] (202) 331-1313 |
| Diplomatic representation in the US: | FAX: [1] (202) 331-8142 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Brad FREDEN (since 10 December 2014) |
| Diplomatic representation from the US: | embassy: Lauro Muller 1776, Montevideo 11200 |
| Diplomatic representation from the US: | mailing address: APO AA 34035 |
| Diplomatic representation from the US: | telephone: [598] (2) 1770-2000 |
| Diplomatic representation from the US: | FAX: [598] (2) 1770-2128 |
| Flag description: | nine equal horizontal stripes of white (top and bottom) alternating with blue; a white square in the upper hoist-side corner with a yellow sun bearing a human face known as the Sun of May with 16 rays that alternate between triangular and wavy; the stripes represent the nine original departments of Uruguay; the sun symbol evokes the legend of the sun breaking through the clouds on 25 May 1810 as independence was first declared from Spain (Uruguay subsequently won its independence from Brazil); the sun features are said to represent those of Inti, the Inca god of the sun |
| Flag description: | note: the banner was inspired by the national colors of Argentina and by the design of the US flag |
| National symbol(s): | Sun of May (a sun-with-face symbol); national colors: blue, white, yellow |
| National anthem: | name: "Himno Nacional" (National Anthem of Uruguay) |
| National anthem: | lyrics/music: Francisco Esteban ACUNA de Figueroa/Francisco Jose DEBALI |
| National anthem: | note: adopted 1848; the anthem is also known as "Orientales, la Patria o la tumba!" ("Uruguayans, the Fatherland or Death!"); it is the world's longest national anthem in terms of music (105 bars; almost five minutes); generally only the first verse and chorus are sung |
