| Government | EL SALVADOR |
| International organization participation: | BCIE, CACM, CD, CELAC, FAO, G-11, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), LAES, LAIA (observer), MIGA, MINURSO, MINUSTAH, NAM (observer), OAS, OPANAL, OPCW, Pacific Alliance (observer), PCA, Petrocaribe, SICA, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, Union Latina, UNISFA, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Francisco Roberto ALTSCHUL Fuentes (since 18 September 2014) |
| Diplomatic representation in the US: | chancery: 1400 16th Street NW, Suite 100, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 595-7517 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-1928 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Brentwood (NY), Chicago, Coral Gables (FL), Dallas, Houston, Las Vegas (NV), Los Angeles, McAllen (TX), New Orleans, New York, Nogales (AZ), San Francisco, Santa Ana (CA), Seattle, Tucson (AZ), Woodbridge (VA), Woodstock (GA) |
| Diplomatic representation in the US: | consulate(s): Costa Mesa (CA), Elizabeth (NJ), Kansas City (MO), Newark (NJ), Philadelphia (PA), Phoenix (AZ), San Diego (CA), St. Louis (MO) |
| Diplomatic representation from the US: | chief of mission: Ambassador Mari Carmen APONTE (since 22 September 2010) |
| Diplomatic representation from the US: | embassy: Final Boulevard Santa Elena Sur, Antiguo Cuscatlan, La Libertad, San Salvador |
| Diplomatic representation from the US: | mailing address: Unit 3450, APO AA 34023; 3450 San Salvador Place, Washington, DC 20521-3450 |
| Diplomatic representation from the US: | telephone: [503] 2501-2999 |
| Diplomatic representation from the US: | FAX: [503] 2501-2150 |
| Flag description: | three equal horizontal bands of blue (top), white, and blue with the national coat of arms centered in the white band; the coat of arms features a round emblem encircled by the words REPUBLICA DE EL SALVADOR EN LA AMERICA CENTRAL; the banner is based on the former blue-white-blue flag of the Federal Republic of Central America; the blue bands symbolize the Pacific Ocean and the Caribbean Sea, while the white band represents the land between the two bodies of water, as well as peace and prosperity |
| Flag description: | note: similar to the flag of Nicaragua, which has a different coat of arms centered in the white band - it features a triangle encircled by the words REPUBLICA DE NICARAGUA on top and AMERICA CENTRAL on the bottom; also similar to the flag of Honduras, which has five blue stars arranged in an X pattern centered in the white band |
| National symbol(s): | turquoise-browed motmot (bird); national colors: blue, white |
| National anthem: | name: "Himno Nacional de El Salvador" (National Anthem of El Salvador) |
| National anthem: | lyrics/music: Juan Jose CANAS/Juan ABERLE |
| National anthem: | note: officially adopted 1953, in use since 1879; at 4:20 minutes the anthem of El Salvador is one of the world's longest |
