| Government | Denmark |
| Legislative branch: | election results: percent of vote by party - Liberal Party 26.7%, Social Democrats 24.9%, Danish People's Party 12.3%, Social Liberal Party 9.5%, Socialist People's Party 9.2%, Unity List 6.7%, Liberal Alliance 5%, Conservative People's Party 4.9%, other 0.8%; seats by party - Liberal Party 47, Social Democrats 44, Danish People's Party 22, Social Liberal Party 17, Socialist People's Party 16, Unity List 12, Liberal Alliance 9, Conservative People's Party 8; note - does not include the two seats from Greenland and the two seats from the Faroe Islands |
| Judicial branch: | Supreme Court (judges are appointed for life by the monarch) |
| Political parties and leaders: | Christian Democrats [Bjarne Hartung KIRKEGAARD] (was Christian People's Party); Conservative People's Party [Lars BARFOED]; Danish People's Party [Pia KJAERSGAARD]; Liberal Alliance [Anders SAMUELSEN]; Liberal Party; Social Democratic Party [Helle THORNING-SCHMIDT]; Social Liberal Party [Margrethe VESTAGER]; Socialist People's Party [Villy SOEVNDAL]; Unity List [collective leadership] (bloc includes Left Socialist Party, Communist Party of Denmark, Socialist Workers' Party) |
| Political pressure groups and leaders: | Confederation of Danish Employers or DA [President Jorn Neergaard LARSEN]; Principal DA member organizations: Confederation of Danish Industries [CEO Karsten DYBVAD]; Confederation of Danish Labor Unions [President Harald BORSTING]; Danish Bankers Association [CEO Joergen HORWITZ]; DaneAge Association [President Bjarne HASTRUP]; Danish Society for Nature Conservation [President Ella Maria BISSCHOP-LARSEN] |
| Political pressure groups and leaders: | other: humanitarian relief; development assistance; human rights NGOs |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council, Australia Group, BIS, CBSS, CE, CERN, EAPC, EBRD, EIB, ESA, EU, FAO, FATF, G-9, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUSCO, NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNMISS, UNRWA, UNTSO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Peter TAKSOE-JENSEN |
| Diplomatic representation in the US: | chancery: 3200 Whitehaven Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-4300 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-1470 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Laurie S. FULTON |
| Diplomatic representation from the US: | embassy: Dag Hammarskjolds Alle 24, 2100 Copenhagen |
| Diplomatic representation from the US: | mailing address: PSC 73, APO AE 09716 |
| Diplomatic representation from the US: | telephone: [45] 33 41 71 00 |
| Diplomatic representation from the US: | FAX: [45] 35 43 02 23 |
| Flag description: | red with a white cross that extends to the edges of the flag; the vertical part of the cross is shifted to the hoist side; the banner is referred to as the Dannebrog (Danish flag) and is one of the oldest national flags in the world; traditions as to the origin of the flag design vary, but the best known is a legend that the banner fell from the sky during an early-13th century battle; caught up by the Danish king before it ever touched the earth, this heavenly talisman inspired the royal army to victory; in actuality, the flag may derive from a crusade banner or ensign |
| Flag description: | note: the shifted design element was subsequently adopted by the other Nordic countries of Finland, Iceland, Norway, and Sweden |
| National symbol(s): | lion; mute swan |
| National anthem: | name: "Der er et yndigt land" (There is a Lovely Land); "Kong Christian" (King Christian) |
| National anthem: | lyrics/music: Adam Gottlob OEHLENSCHLAGER/Hans Ernst KROYER; Johannes EWALD/unknown |
| National anthem: | note: Denmark has two national anthems with equal status; "Der er et yndigt land," adopted 1844, is a national anthem, while "Kong Christian," adopted 1780, serves as both a national and royal anthem; "Kong Christian" is also known as "Kong Christian stod ved hojen mast" (King Christian Stood by the Lofty Mast) and "Kongesangen" (The King's Anthem); within Denmark, the royal anthem is played only when royalty is present and is usually followed by the national anthem; when royalty is not present, only the national anthem is performed; outside Denmark, the royal anthem is played, unless the national anthem is requested |
