| Government | ANDORRA |
| Executive branch: | elections/appointments: head of government indirectly elected by the General Council (Andorran parliament), formally appointed by the coprinces for a 4-year term; election last held on 31 March 2015 (next to be held in April 2019); the leader of the majority party in the General Council is usually elected head of government |
| Executive branch: | election results: Antoni MARTI PETIT (DA) elected head of government; percent of General Council vote - 79% |
| Legislative branch: | description: unicameral General Council of the Valleys or Consell General de les Valls (a minimum of 28 seats; 14 members directly elected in multi-seat constituencies (parishes) by simple majority vote and 14 directly elected in a single national constituency by proportional representation vote; members serve 4-year terms); note - each voter casts two separate ballots - one for a national list and one for a parish list |
| Legislative branch: | elections: last held on 1 March 2015 (next to be held in April 2019) |
| Legislative branch: | election results: percent of vote by party - DA 34.5%, PLA 25.0%, PS-VA-IC-independent coalition 21.3%, SDP 9.6%, invalid votes 9.5%; seats by party - DA 15, PLA 8, PS-VA-IC-independent coalition 3, SDP 2 |
| Judicial branch: | highest court(s): Supreme Court of Justice of Andorra or Tribunal Superior de la Justicia d'Andorra (consists of the court president and 8 judges organized into civil, criminal, and administrative chambers); Constitutional Court or Tribunal Constitucional (consists of 4 magistrates) |
| Judicial branch: | judge selection and term of office: Supreme Court president and judges appointed by the Supreme Council of Justice, a 5-member judicial policy and administrative body appointed 1 each by the coprinces, 1 by the General Council, 1 by the executive council president, and 1 by the courts; judges serve 6-year renewable terms; Constitutional magistrates appointed 2 by the coprinces and 2 by the General Council; magistrates' appointments limited to 2 consecutive 8-year terms |
| Judicial branch: | subordinate courts: Tribunal of Judges or Tribunal de Batlles; Tribunal of the Courts or Tribunal de Corts |
| Political parties and leaders: | Citizens' Initiative or IC [Sergi RICART] (including PS, VA, IC, and independents) |
| Political parties and leaders: | Democrats for Andorra or DA [Antoni MARTI PETIT] |
| Political parties and leaders: | Greens of Andorra or VA [Isabel LOZANO MUNOZ, Juli FERNANDEZ BLASI] |
| Political parties and leaders: | Liberal Party or PLA [Jordi GALLARDO] |
| Political parties and leaders: | Social Democratic Party or PS [Vincenc ALAY FERRER] |
| Political parties and leaders: | Social Democratic Progress Party or SDP [Victor NAUDI ZAMORA] |
| Political parties and leaders: | note: Andorra has several smaller parties at the parish level (one is Lauredian Union) |
| International organization participation: | CE, FAO, ICAO, ICC (NGOs), ICCt, ICRM, IFRCS, Interpol, IOC, IPU, ITU, OIF, OPCW, OSCE, UN, UNCTAD, UNESCO, Union Latina, UNWTO, WCO, WHO, WIPO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Elisenda VIVES BALMANA (since 2 March 2016) |
| Diplomatic representation in the US: | chancery: 2 United Nations Plaza, 27th Floor, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 750-8064 |
| Diplomatic representation in the US: | FAX: [1] (212) 750-6630 |
| Diplomatic representation from the US: | the US does not have an embassy in Andorra; the US ambassador to Spain is accredited to Andorra; US interests in Andorra are represented by the US Consulate General's office in Barcelona (Spain); mailing address: Paseo Reina Elisenda de Montcada, 23, 08034 Barcelona, Spain; telephone: [34] (93) 280-2227; FAX: [34] (93) 280-6175 |
| Flag description: | three vertical bands of blue (hoist side), yellow, and red, with the national coat of arms centered in the yellow band; the latter band is slightly wider than the other 2 so that the ratio of band widths is 8:9:8; the coat of arms features a quartered shield with the emblems of (starting in the upper left and proceeding clockwise): Urgell, Foix, Bearn, and Catalonia; the motto reads VIRTUS UNITA FORTIOR (Strength United is Stronger); the flag combines the blue and red French colors with the red and yellow of Spain to show Franco-Spanish protection |
| Flag description: | note: similar to the flags of Chad and Romania, which do not have a national coat of arms in the center, and the flag of Moldova, which does bear a national emblem |
| National symbol(s): | national colors: blue, yellow, red |
| National anthem: | name: "El Gran Carlemany" (The Great Charlemagne) |
| National anthem: | lyrics/music: Joan BENLLOCH i VIVO/Enric MARFANY BONS |
| National anthem: | note: adopted 1921; the anthem provides a brief history of Andorra in a first person narrative |
