| Government | Slovenia |
| Political parties and leaders: | Civic List Party or LGV [Gregor Virant]; Democratic Party of Pensioners of Slovenia or DeSUS [Karl ERJAVEC]; Liberal Democracy of Slovenia or LDS [Katarina KRESAL]; New Slovenia or NSi [Ljudmila NOVAK]; Positive Slovenia or PS [Zoran Jankovic]; Slovene National Party or SNS [Zmago JELINCIC]; Slovene People's Party or SLS [Radovan ZERJAV]; Slovene Youth Party or SMS [Darko KRANJC]; Slovenian Democratic Party or SDS [Janez JANSA]; Social Democrats or SD [Borut PAHOR] (formerly ZLSD); ZARES [Gregor GOLOBIC] |
| Political pressure groups and leaders: | Slovenian Roma Association [Jozek Horvat MUC] |
| Political pressure groups and leaders: | other: Catholic Church |
| International organization participation: | Australia Group, BIS, CE, CEI, EAPC, EBRD, ECB, EIB, EMU, ESA (cooperating state), EU, FAO, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SECI, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Roman KIRN |
| Diplomatic representation in the US: | chancery: 2410 California Street N.W., Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 386-6601 |
| Diplomatic representation in the US: | FAX: [1] (202) 386-6633 |
| Diplomatic representation in the US: | consulate(s) general: Cleveland, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Joseph A. MUSSOMELI |
| Diplomatic representation from the US: | embassy: Presernova 31, 1000 Ljubljana |
| Diplomatic representation from the US: | mailing address: American Embassy Ljubljana, US Department of State, 7140 Ljubljana Place, Washington, DC 20521-7140 |
| Diplomatic representation from the US: | telephone: [386] (1) 200-5500 |
| Diplomatic representation from the US: | FAX: [386] (1) 200-5555 |
| Flag description: | three equal horizontal bands of white (top), blue, and red, derive from the medieval coat of arms of the Duchy of Carniola; the Slovenian seal (a shield with the image of Triglav, Slovenia's highest peak, in white against a blue background at the center; beneath it are two wavy blue lines depicting seas and rivers, and above it are three six-pointed stars arranged in an inverted triangle, which are taken from the coat of arms of the Counts of Celje, the great Slovene dynastic house of the late 14th and early 15th centuries) appears in the upper hoist side of the flag centered on the white and blue bands |
| National symbol(s): | Mount Triglav |
| National anthem: | name: "Zdravljica" (A Toast) |
| National anthem: | lyrics/music: France PRESEREN/Stanko PREMRL |
| National anthem: | note: adopted 1989; the anthem was originally written in 1848; the full poem, whose seventh verse is used as the anthem, speaks of pan-Slavic nationalism |
