| Government | SLOVENIA |
| Legislative branch: | description: bicameral Parliament consists of the National Council or Drzavni Svet (40 seats; members indirectly elected by an electoral college to serve 5-year terms) and the National Assembly or Drzavni Zbor (90 seats; 88 members directly elected in single-seat constituencies by proportional representation vote and 2 directly elected in special constituencies for Italian and Hungarian minorities by simple majority vote; members serve 4-year terms); note - the National Council is primarily an advisory body with limited legislative powers |
| Legislative branch: | elections: National Assembly - last held on 13 July 2014 (next to be held by July 2018) |
| Legislative branch: | election results: percent of vote by party - SMC 34.5%, SDS 20.7%, DeSUS 10.2%, ZL 6%, SD 6%, NSi 5.6%, ZaAB 4.4%, other 12.6%; seats by party - SMC 36, SDS 21, DeSUS 10, ZL 6, SD 6, NSi, 5, ZaAB 4, Hungarian minority 1, Italian minority 1 |
| Legislative branch: | note: as of January 2017, seats by party - SMC 35, SDS 19, DeSUS 11, ZL 6, SD 6, NSi 5, Hungarian minority 1, Italian minority 1, unaffiliated 6 |
| Judicial branch: | highest court(s): Supreme Court (consists of the court president and 37 judges organized into civil, criminal, commercial, labor and social security, administrative, and registry departments); Constitutional Court (consists of the court president, vice president, and 7 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court president and vice president appointed by the National Assembly upon the proposal of the Minister of Justice based on the opinions of the Judicial Council, an 11-member independent body elected by the National Assembly from proposals submitted by the president, attorneys, law universities, and sitting judges; other Supreme Court judges elected by the National Assembly from candidates proposed by the Judicial Council; Supreme Court judges appointed for life; Constitutional Court judges appointed by the National Assembly from nominations by the president of the republic; Constitutional Court president selected from among their own for a 3-year term; other judges elected for single 9-year terms |
| Judicial branch: | subordinate courts: county, district, regional, and high courts; specialized labor-related and social courts; Court of Audit; Administrative Court |
| Political parties and leaders: | Alliance of Social Liberal Democrats or ZSD (formerly Alliance of Alenka Bratusek or ZaAB) [Alenka BRATUSEK] |
| Political parties and leaders: | Democratic Party of Pensioners of Slovenia or DeSUS [Karl ERJAVEC] |
| Political parties and leaders: | Marjan Sarej List [Marjan SAREC] |
| Political parties and leaders: | Modern Center Party or SMC [Miro CERAR] |
| Political parties and leaders: | New Slovenia or NSi [Ljudmila NOVAK] |
| Political parties and leaders: | Slovenian Democratic Party or SDS [Janez JANSA] |
| Political parties and leaders: | Social Democrats or SD [Dejan ZIDAN] |
| Political parties and leaders: | United Left or ZL (collective leadership) |
| Political parties and leaders: | inactive: Alliance for the Re-liberation of Somalia; reportedly inactive since 2009 |
| Political pressure groups and leaders: | Roman Catholic Church |
| Political pressure groups and leaders: | other: various trade and public sector employee unions |
| International organization participation: | Australia Group, BIS, CD, CE, CEI, EAPC, EBRD, ECB, EIB, EMU, ESA (cooperating state), EU, FAO, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Stanislav VIDOVIC (since 21 July 2017) |
| Diplomatic representation in the US: | chancery: 2410 California Street N.W., Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 386-6601 |
| Diplomatic representation in the US: | FAX: [1] (202) 386-6633 |
| Diplomatic representation in the US: | consulate(s) general: Cleveland (OH) |
| Diplomatic representation from the US: | chief of mission: Ambassador Brent Robert HARTLEY (since 12 February 2015) |
| Diplomatic representation from the US: | embassy: Presernova 31, 1000 Ljubljana |
| Diplomatic representation from the US: | mailing address: American Embassy Ljubljana, US Department of State, 7140 Ljubljana Place, Washington, DC 20521-7140 |
| Diplomatic representation from the US: | telephone: [386] (1) 200-5500 |
| Diplomatic representation from the US: | FAX: [386] (1) 200-5555 |
| Flag description: | three equal horizontal bands of white (top), blue, and red, derive from the medieval coat of arms of the Duchy of Carniola; the Slovenian seal (a shield with the image of Triglav, Slovenia's highest peak, in white against a blue background at the center; beneath it are two wavy blue lines depicting seas and rivers, and above it are three six-pointed stars arranged in an inverted triangle, which are taken from the coat of arms of the Counts of Celje, the prominent Slovene dynastic house of the late 14th and early 15th centuries) appears in the upper hoist side of the flag centered on the white and blue bands |
| National symbol(s): | Mount Triglav; national colors: white, blue, red |
| National anthem: | name: "Zdravljica" (A Toast) |
| National anthem: | lyrics/music: France PRESEREN/Stanko PREMRL |
| National anthem: | note: adopted 1989; originally written in 1848; the full poem, whose seventh verse is used as the anthem, speaks of pan-Slavic nationalism |
