| Government | North Macedonia |
| Executive branch: | elections/appointments: president directly elected using a modified 2-round system; a candidate can only be elected in the first round with an absolute majority from all registered voters; in the second round, voter turnout must be at least 40% for the result to be deemed valid; president elected for a 5-year term (eligible for a second term); election last held on 21 April and 5 May 2019 (next to be held in 2024); following legislative elections, the leader of the majority party or majority coalition is usually elected prime minister by the Assembly; Zoran ZAEV reelected prime minister by the Assembly on 31 August 2020; Assembly vote - 62 for, 51 against |
| Executive branch: | election results: Stevo PENDAROVSKI elected president in second round; percent of vote in first round - Stevo PENDAROVSKI (SDSM) 44.8%, Gordana SILJANOVSKA-DAVKOVA (VMRO-DPMNE) 44.2%, Blenim REKA (independent) 11.1%; percent of vote in second round - Stevo PENDAROVSKI 53.6%, Gordana SILJANOVSKA-DAVKOVA 46.4% |
| Legislative branch: | description: unicameral Assembly -Â Sobraine in Macedonian, Kuvend in Albanian (between 120 and 140 seats, currently 120; members directly elected in multi-seat constituencies by closed-list proportional representation vote; possibility of 3 directly elected in diaspora constituencies by simple majority vote provided there is sufficient voter turnout; members serve 4-year terms) |
| Legislative branch: | elections: last election was to be held on 12 April 2020 but was postponed until 15 July 2020 due to the COVID-19 pandemic (next to be held in 2024) |
| Legislative branch: | election results: percent of vote by party/coalition - We Can 35.9%, Renewal 34.6%, BDI 11.5%, AfA-Alternative 9%, The Left 4.1%, PDSh 1.5%, other 3.4%; seats by party/coalition - We Can 46, Renewal 44, BDI 15, AfA-Alternative 12, The Left 2, PDSh 1 |
| Judicial branch: | highest courts: Supreme Court (consists of 22 judges); Constitutional Court (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the Judicial Council, a 7-member body of legal professionals, and appointed by the Assembly; judge tenure NA; Constitutional Court judges appointed by the Assembly for nonrenewable, 9-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal; Basic Courts |
| Political parties and leaders: | Alliance for Albanians or AfA [Ziadin SELA] |
| Political parties and leaders: | Alternative (Alternativa) [Afrim GASHI] |
| Political parties and leaders: | Besa Movement [Bilal KASAMI] |
| Political parties and leaders: | Democratic Party of Albanians or PDSh [Menduh THACI] |
| Political parties and leaders: | Democratic Union for Integration or BDI [Ali AHMETI] |
| Political parties and leaders: | Internal Macedonian Revolutionary Organization - Democratic Party for Macedonian National Unity or VMRO-DPMNE [Hristijan MICKOSKI] |
| Political parties and leaders: | Internal Macedonian Revolutionary Organization - People's Party or VMRO-NP [Ljubco GEORGIEVSKI] |
| Political parties and leaders: | Liberal Democratic Party or LDP [Goran MILEVSKI] |
| Political parties and leaders: | Renewal (VMRO-DPMNE coalition) |
| Political parties and leaders: | Social Democratic Union of Macedonia or SDSM [Zoran ZAEV] |
| Political parties and leaders: | The Left (Levica) [Dimitar APASIEV] |
| Political parties and leaders: | Turkish Democratic Party of DPT [Beycan ILYAS] |
| Political parties and leaders: | We Can (coalition includes SDSM/Besa/VMRO-NP, DPT, LDP) |
| International organization participation: | BIS, CD, CE, CEI, EAPC, EBRD, EU (candidate country), FAO, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), MIGA, NATO,Â OAS (observer), OIF, OPCW, OSCE, PCA, PFP, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Vasko NAUMOVSKI (since 18 November 2014) |
| Diplomatic representation in the US: | chancery: 2129 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 667-0501 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-2131 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Detroit, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Kate Marie BYRNES (since 12 July 2019) |
| Diplomatic representation from the US: | telephone: [389] (2) 310-2000 |
| Diplomatic representation from the US: | embassy: Str. Samoilova, Nr. 21, 1000 Skopje |
| Diplomatic representation from the US: | mailing address: American Embassy Skopje, US Department of State, 7120 Skopje Place, Washington, DC 20521-7120 (pouch) |
| Diplomatic representation from the US: | FAX: [389] (2) 310-2499 |
| Flag description: | a yellow sun (the Sun of Liberty) with eight broadening rays extending to the edges of the red field; the red and yellow colors have long been associated with Macedonia |
| National symbol(s): | eight-rayed sun; national colors: red, yellow |
| National anthem: | name: "Denes nad Makedonija" (Today Over Macedonia) |
| National anthem: | lyrics/music: Vlado MALESKI/Todor SKALOVSKI |
| National anthem: | note: written in 1943 and adopted in 1991, the song previously served as the anthem of the Socialist Republic of Macedonia while part of Yugoslavia |
