| Government | Macedonia, The Former Yugoslav Republic of |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - Together for Macedonia coalition 60, VMRO-DPMNE 33, Democratic Integrative Union 16, Democratic Party of Albanians 7, Party for Democratic Prosperity 2, National Democratic Party 1, Socialist Party of Macedonia 1 |
| Legislative branch: | elections: last held 15 September 2002 (next to be held NA 2006) |
| Judicial branch: | Supreme Court - Parliament appoints the judges; Constitutional Court - Parliament appoints the judges; Republican Judicial Council - Parliament appoints the judges |
| Political parties and leaders: | Democratic Alternative or DA [Vasil TUPURKOVSKI, president]; Democratic Integrative Union [leader NA]; Democratic Party of Albanians or DPA [Arben XHAFERI, president]; Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian National Unity or VMRO-DPMNE [Ljubcho GEORGIEVSKI, president]; Internal Macedonian Revolutionary Organization-True Macedonian Reform Option or VMRO-VMRO [Boris STOJMANOV]; Liberal Democratic Party or LDP [Risto GUSTERVO]; Liberal Party [leader NA]; National Democratic Party or MPDK [Kastriot HAXHISEXHA]; Party for Democratic Prosperity or PDP [Imeri IMERI, president]; Social-Democratic Alliance of Macedonia or SDSM (former Communist Party) [Branko CRVENKOVSKI, president]; Socialist Party of Macedonia or SP [Ljubisav IVANOV, president]; Together for Macedonia coalition (including the Social Democrats) [leader NA]; Union of Romanies of Macedonia or SRM [leader NA] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, BIS, CCC, CE, CEI, EAPC, EBRD, ECE, FAO, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Nikola DIMITROV |
| Diplomatic representation in the US: | chancery: Suite 302, 1101 30th Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation in the US: | FAX: [1] (202) 337-3093 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-3063 |
| Diplomatic representation from the US: | chief of mission: Ambassador Laurence Edward BUTLER |
| Diplomatic representation from the US: | embassy: bul. Ilinden bb, 1000 Skopje |
| Diplomatic representation from the US: | mailing address: American Embassy Skopje, Department of State, Washington, DC 20521-7120 (pouch) |
| Diplomatic representation from the US: | telephone: [389] (02) 116-180 |
| Diplomatic representation from the US: | FAX: [389] (02) 117-103 |
| Flag description: | a rising yellow sun with eight rays extending to the edges of the red field |
