| Government | Dominican Republic |
| Legislative branch: | elections: Senate - last held on 16 May 2010 (next to be held in May 2016); House of Representatives - last held on 16 May 2010 (next to be held in May 2016); in order to synchronize presidential, legislative, and local elections for 2016, those members elected in 2010 will actually serve terms of six years |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PLD 31, PRSC 1; House of Representatives - percent of vote by party - NA; seats by party - PLD 105, PRD 75, PRSC 3 |
| Judicial branch: | Supreme Court or Corte Suprema (judges are appointed by the National Judicial Council comprised of the president, the leaders of both chambers of congress, the president of the Supreme Court, and an additional non-governing party congressional representative) |
| Political parties and leaders: | Dominican Liberation Party or PLD [Leonel FERNANDEZ Reyna]; Dominican Revolutionary Party or PRD [Miguel VARGAS Maldonado]; National Progressive Front [Vinicio CASTILLO, Pelegrin CASTILLO]; Social Christian Reformist Party or PRSC [Carlos MORALES Troncoso] |
| Political pressure groups and leaders: | Citizen Participation Group (Participacion Ciudadania); Collective of Popular Organizations or COP; Foundation for Institution-Building and Justice or FINJUS |
| International organization participation: | ACP, AOSIS, BCIE, Caricom (observer), CD, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), LAES, LAIA (observer), MIGA, NAM, OAS, OIF (observer), OPANAL, OPCW, PCA, Petrocaribe, SICA (associated member), UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Anibal de Jesus de CASTRO Rodriguez |
| Diplomatic representation in the US: | chancery: 1715 22nd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-6280 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-8057 |
| Diplomatic representation in the US: | consulate(s) general: Anchorage, Boston, Chicago, Mayaguez (Puerto Rico), Miami, New Orleans, New York, San Juan (Puerto Rico), Sun Valley (California) |
| Diplomatic representation from the US: | chief of mission: Ambassador Raul H. YZAGUIRRE |
| Diplomatic representation from the US: | embassy: corner of Calle Cesar Nicolas Penson and Calle Leopoldo Navarro, Santo Domingo |
| Diplomatic representation from the US: | mailing address: Unit 5500, APO AA 34041-5500 |
| Diplomatic representation from the US: | telephone: [1] (809) 221-2171 |
| Diplomatic representation from the US: | FAX: [1] (809) 686-7437 |
| Flag description: | a centered white cross that extends to the edges divides the flag into four rectangles - the top ones are blue (hoist side) and red, and the bottom ones are red (hoist side) and blue; a small coat of arms featuring a shield supported by a laurel branch (left) and a palm branch (right) is at the center of the cross; above the shield a blue ribbon displays the motto, DIOS, PATRIA, LIBERTAD (God, Fatherland, Liberty), and below the shield, REPUBLICA DOMINICANA appears on a red ribbon; in the shield a bible is opened to a verse that reads "Y la verdad nos hara libre" (And the truth shall set you free); blue stands for liberty, white for salvation, and red for the blood of heroes |
| National symbol(s): | palmchat (bird) |
| National anthem: | name: "Himno Nacional" (National Anthem) |
| National anthem: | lyrics/music: Emilio PRUD"HOMME/Jose REYES |
| National anthem: | note: adopted 1934; also known as "Quisqueyanos valientes" (Valient Sons of Quisqueye); the anthem never refers to the people as Dominican but rather calls them "Quisqueyanos," a reference to the indigenous name of the island |
