| Government | DOMINICAN REPUBLIC |
| Legislative branch: | description: bicameral National Congress or Congreso Nacional consists of the Senate or Senado (32 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) and the House of Representatives or Camara de Diputados (190 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: Senate - last held on 15 May 2016 (next to be held in May 2020); House of Representatives - last held on 15 May 2016 (next to be held in May 2020) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PLD 26, PRM 2, BIS 1, PLRD 1, PRD 1, PRSC 1 |
| Legislative branch: | House of Representatives - percent of vote by party - NA; seats by party - PLD 106, PRM 42, PRSC 18, PRD 16, PLRD 3, other 5 |
| Judicial branch: | highest court(s): Supreme Court of Justice or Suprema Corte de Justicia (consists of a minimum of 16 magistrates); Constitutional Court or Tribunal Constitucional (consists of 13 judges); note - the Constitutional Court was established in 2010 by constitutional amendment |
| Judicial branch: | judge selection and term of office: Supreme Court and Constitutional Court judges appointed by the National Council of the Judiciary comprised of the president, the leaders of both chambers of congress, the president of the Supreme Court, and a non-governing party congressional representative; Supreme Court judges appointed for 7-year terms; Constitutional Court judges appointed for 9-year terms |
| Judicial branch: | subordinate courts: courts of appeal; courts of first instance; justices of the peace; special courts for juvenile, labor, and land cases; Contentious Administrative Court for cases filed against the government |
| Political parties and leaders: | Dominican Liberation Party or PLD [Leonel FERNANDEZ Reyna] |
| Political parties and leaders: | Dominican Revolutionary Party or PRD [Miguel VARGAS Maldonado] |
| Political parties and leaders: | Institutional Social Democratic Bloc or BIS |
| Political parties and leaders: | Liberal Reformist Party or PRL |
| Political parties and leaders: | Modern Revolutionary Party or PRM [Andres BAUTISTA Garcia] |
| Political parties and leaders: | National Progressive Front or FNP [Vinicio CASTILLO, Pelegrin CASTILLO] |
| Political parties and leaders: | Social Christian Reformist Party or PRSC [Federico ANTUN] |
| Political pressure groups and leaders: | Citizen Participation Group (Participacion Ciudadania) |
| Political pressure groups and leaders: | Collective of Popular Organizations or COP |
| Political pressure groups and leaders: | Foundation for Institution-Building and Justice or FINJUS |
| International organization participation: | ACP, AOSIS, BCIE, Caricom (observer), CD, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), LAES, LAIA, MIGA, MINUSMA, NAM, OAS, OIF (observer), OPANAL, OPCW, Pacific Alliance (observer), PCA, Petrocaribe, SICA (associated member), UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jose Tomas PEREZ Vazquez(since 23 February 2015) |
| Diplomatic representation in the US: | chancery: 1715 22nd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-6280 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-8057 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Los Angeles, Mayaguez (Puerto Rico), Miami, New Orleans, New York, San Juan (Puerto Rico) |
| Diplomatic representation in the US: | consulate(s): San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Robert COPLEY (since 21 July 2017) |
| Diplomatic representation from the US: | embassy: Av. Republica de Colombia |
| Diplomatic representation from the US: | mailing address: Unit 5500, APO AA 34041-5500 |
| Diplomatic representation from the US: | telephone: [1] (809) 567-7775 |
| Diplomatic representation from the US: | FAX: [1] (809) 686-7437 |
| Flag description: | a centered white cross that extends to the edges divides the flag into four rectangles - the top ones are ultramarine blue (hoist side) and vermilion red, and the bottom ones are vermilion red (hoist side) and ultramarine blue; a small coat of arms featuring a shield supported by a laurel branch (left) and a palm branch (right) is at the center of the cross; above the shield a blue ribbon displays the motto, DIOS, PATRIA, LIBERTAD (God, Fatherland, Liberty), and below the shield, REPUBLICA DOMINICANA appears on a red ribbon; in the shield a bible is opened to a verse that reads "Y la verdad nos hara libre" (And the truth shall set you free); blue stands for liberty, white for salvation, and red for the blood of heroes |
| National symbol(s): | palmchat (bird); national colors: red, white, blue |
| National anthem: | name: "Himno Nacional" (National Anthem) |
| National anthem: | lyrics/music: Emilio PRUD'HOMME/Jose REYES |
| National anthem: | note: adopted 1934; also known as "Quisqueyanos valientes" (Valient Sons of Quisqueye); the anthem never refers to the people as Dominican but rather calls them "Quisqueyanos," a reference to the indigenous name of the island |
