| Government | Ecuador |
| Legislative branch: | election results: percent of vote by party - PAIS 39.1%, CREO-SUMA 20.1%, PSC 15.9%, ID 3.8%, MUPP 2.7%, other 10.7; seats by party - PAIS 74, CREO-SUMA 34, PSC 15, ID 4, MUPP 4, PSP 2, Fuerza Ecuador 1, independent 3; note - defections by members of National Assembly are commonplace, resulting in frequent changes in the numbers of seats held by the various parties |
| Political parties and leaders: | Alianza PAIS movement [Lenin Voltaire MORENO Garces] |
| Political parties and leaders: | Avanza Party or AVANZA [Ramiro GONZALEZ] |
| Political parties and leaders: | Creating Opportunities Movement or CREO [Guillermo LASSO] |
| Political parties and leaders: | Democratic Left or ID |
| Political parties and leaders: | Forward Ecuador Movement [Alvaro NOBOA] |
| Political parties and leaders: | Fuerza Ecuador [Abdala BUCARAM] (successor to Roldosist Party) |
| Political parties and leaders: | Pachakutik Plurinational Unity Movement or MUPP [Marlon Rene SANTI Gualinga] |
| Political parties and leaders: | Patriotic Society Party or PSP [Gilmar GUTIERREZ Borbua] |
| Political parties and leaders: | Popular Democracy Movement or MPD [Luis VILLACIS] |
| Political parties and leaders: | Social Christian Party or PSC [Pascual DEL CIOPPO] |
| Political parties and leaders: | Socialist Party [Patricio ZABRANO] |
| Political parties and leaders: | Society United for More Action or SUMA [Mauricio RODAS] |
| International organization participation: | CAN, CD, CELAC, FAO, G-11, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, Mercosur (associate), MIGA, MINUSTAH, NAM, OAS, OPANAL, OPCW, OPEC, Pacific Alliance (observer), PCA, SICA (observer), UN, UNAMID, UNASUR, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Francisco Benjamin Esteban CARRION Mena (since 24 January 2018) |
| Diplomatic representation in the US: | chancery: 2535 15th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-7200 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-3482 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, Los Angeles, Miami, Minneapolis, New Haven (CT), New Orleans, New York, Newark (NJ), Phoenix, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Todd C. CHAPMAN (since 14 April 2016) |
| Diplomatic representation from the US: | embassy: Avenida Avigiras E12-170 y Avenida Eloy Alfaro, Quito |
| Diplomatic representation from the US: | mailing address: Avenida Guayacanes N52-205 y Avenida Avigiras |
| Diplomatic representation from the US: | telephone: [593] (2) 398-5000 |
| Diplomatic representation from the US: | FAX: [593] (2) 398-5100 |
| Diplomatic representation from the US: | consulate(s) general: Guayaquil |
| Flag description: | three horizontal bands of yellow (top, double width), blue, and red with the coat of arms superimposed at the center of the flag; the flag retains the three main colors of the banner of Gran Colombia, the South American republic that broke up in 1830; the yellow color represents sunshine, grain, and mineral wealth, blue the sky, sea, and rivers, and red the blood of patriots spilled in the struggle for freedom and justice |
| Flag description: | note: similar to the flag of Colombia, which is shorter and does not bear a coat of arms |
| National symbol(s): | Andean condor; national colors: yellow, blue, red |
| National anthem: | name: "Salve, Oh Patria!" (We Salute You, Our Homeland) |
| National anthem: | lyrics/music: Juan Leon MERA/Antonio NEUMANE |
| National anthem: | note: adopted 1948; Juan Leon MERA wrote the lyrics in 1865; only the chorus and second verse are sung |
