| Government | Ecuador |
| Political pressure groups and leaders: | Federation of Indigenous Evangelists of Ecuador or FEINE [Manuel CHUGCHILAN, president] |
| Political pressure groups and leaders: | National Federation of Indigenous Afro-Ecuatorianos and Peasants or FENOCIN |
| Political pressure groups and leaders: | National Teacher's Union or UNE [Mariana PALLASCO] |
| International organization participation: | CAN, CD, CELAC, FAO, G-11, G-77, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, Mercosur (associate), MIGA, MINUSTAH, NAM, OAS, OPANAL, OPCW, OPEC, PCA, UN, UNAMID, UNASUR, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Saskia Nathalie CELY Suarez (since 2 December 2011) |
| Diplomatic representation in the US: | chancery: 1050 30th Street, NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 465-8140 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-2893 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New Haven (CT), New Orleans, New York, Newark (NJ), Phoenix, San Francisco, San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador Adam E. NAMM (since 26 April 2012) |
| Diplomatic representation from the US: | embassy: Avenida Avigiras E12-170 y Avenida Eloy Alfaro, Quito |
| Diplomatic representation from the US: | mailing address: Avenida Guayacanes N52-205 y Avenida Avigiras |
| Diplomatic representation from the US: | telephone: [593] (2) 398-5000 |
| Diplomatic representation from the US: | FAX: [593] (2) 398-5100 |
| Diplomatic representation from the US: | consulate(s) general: Guayaquil |
| Flag description: | three horizontal bands of yellow (top, double width), blue, and red with the coat of arms superimposed at the center of the flag; the flag retains the three main colors of the banner of Gran Columbia, the South American republic that broke up in 1830; the yellow color represents sunshine, grain, and mineral wealth, blue the sky, sea, and rivers, and red the blood of patriots spilled in the struggle for freedom and justice |
| Flag description: | note: similar to the flag of Colombia, which is shorter and does not bear a coat of arms |
| National symbol(s): | Andean condor |
| National anthem: | name: "Salve, Oh Patria!" (We Salute You Our Homeland) |
| National anthem: | lyrics/music: Juan Leon MERA/Antonio NEUMANE |
| National anthem: | note: adopted 1948; Juan Leon MERA wrote the lyrics in 1865; only the chorus and second verse are sung |
