| Government | BELARUS |
| Executive branch: | election results: Aleksandr LUKASHENKO reelected president; percent of vote - Aleksandr LUKASHENKO (independent) 79.7%, Andrey SANNIKOV (European Belarus Campaign ) 2.6%, other 17.7%; note - election marred by electoral fraud |
| Legislative branch: | description: bicameral National Assembly or Natsionalnoye Sobraniye consists of the Council of the Republic or Sovet Respubliki (64 seats; 56 members indirectly elected by regional and Minsk city councils and 8 members appointed by the president; members serve 4-year terms) and the Chamber of Representatives or Palata Predstaviteley (110 seats; members directly elected in single-seat constituencies by absolute majority vote with a second round if needed; members serve 4-year terms); note - the US does not recognize the legitimacy of the National Assembly |
| Legislative branch: | elections: Palata Predstaviteley - last held on 23 September 2012 (next to be held September 2016); OSCE observers determined that the election was neither free nor impartial and that vote counting was problematic in a number of polling stations; pro-LUKASHENKO candidates won every seat with no opposition representation in the chamber; international observers determined that the previous election, on 28 September 2008, despite minor improvements also fell short of democratic standards, with pro-LUKASHENKO candidates winning every seat |
| Legislative branch: | election results: Sovet Respubliki - percent of vote by party - NA; seats by party - NA; Palata Predstaviteley - percent of vote by party - NA; seats by party - KPB 3, AP 1, Republican Party of Labor and Justice 1, no affiliation 105 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chairman, deputy chairman, and NA judges); Constitutional Court (consists of 12 judges including a chairman and deputy chairman) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president with the consent of the Council of the Republic; judges initially appointed for 5 years and evaluated for life appointment; Constitutional Court judges - 6 appointed by the president and 6 elected by the Chamber of Representatives; judges can serve for 11 years with an age limit of 70 |
| Judicial branch: | subordinate courts: provincial (including Minsk city) courts; first instance (district) courts; economic courts; military courts |
| Political parties and leaders: | pro-government parties: |
| Political parties and leaders: | Belarusian Agrarian Party or AP [Mikhail RUS] |
| Political parties and leaders: | Belarusian Patriotic Party [Nikolay ULAKHOVICH] |
| Political parties and leaders: | Belarusian Socialist Sporting Party [Vladimir ALEKSANDROVICH] |
| Political parties and leaders: | Belaya Rus [Aleksandr RADKOV] |
| Political parties and leaders: | Communist Party of Belarus or KPB [Igor KARPENKO] |
| Political parties and leaders: | Liberal Democratic Party or LDP [Sergey GAYDUKEVICH] |
| Political parties and leaders: | Republican Party of Labor and Justice [Vasiliy ZADNEPRYANIY] |
| opposition parties: | Belarusian Christian Democracy Party [Pavel SEVERINETS] (unregistered) |
| opposition parties: | Belarusian Labor Party [Aleksandr BUCHVOSTOV] (unregistered) |
| opposition parties: | Belarusian Liberal Party of Freedom and Progress [Vladimir NOVOSYAD] (unregistered) |
| opposition parties: | Belarusian Party of the Green [Oleg NOVIKOV] |
| opposition parties: | Belarusian Party of the Left "Fair World" [Sergey KALYAKIN] |
| opposition parties: | Belarusian Popular Front or BPF [Aleksey YANUKEVICH] |
| opposition parties: | Belarusian Social-Democratic Assembly [Stanislav SHUSHKEVICH] |
| opposition parties: | Belarusian Social Democratic Party ("Assembly") or BSDPH [Irina VESHTARD] |
| opposition parties: | Belarusian Social Democratic Party (People's Assembly) [Nikolay STATKEVICH] (unregistered) |
| opposition parties: | Christian Conservative Party or BPF [Zyanon PAZNIAK] |
| opposition parties: | United Civic Party or UCP [Anatoliy LEBEDKO] |
| Political pressure groups and leaders: | Assembly of Pro-Democratic NGOs [Sergey MATSKEVICH] (unregistered) |
| Political pressure groups and leaders: | Belarusian Association of Journalists [Zhanna LITVINA] |
| Political pressure groups and leaders: | Belarusian Congress of Democratic Trade Unions [Aleksandr YAROSHUK] |
| Political pressure groups and leaders: | Belarusian Helsinki Committee [Aleh HULAK] |
| Political pressure groups and leaders: | Malady Front (Young Front) [Zmitser DASHKEVICH] (unregistered) |
| Political pressure groups and leaders: | Vyasna (Spring) human rights center [Ales BELYATSKIY] (unregistered) |
| Political pressure groups and leaders: | Perspektiva [Anatol SHUMCHENKO] (small business association) |
| Political pressure groups and leaders: | "Tell the Truth" Movement [Vladimir NEKLYAYEV] (unregistered) |
| Political pressure groups and leaders: | Women's Independent Democratic Movement [Ludmila PETINA] |
| International organization participation: | BSEC (observer), CBSS (observer), CEI, CIS, CSTO, EAEC, EAPC, EBRD, FAO, GCTU, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFC, IFRCS, ILO, IMF, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC (NGOs), MIGA, NAM, NSG, OPCW, OSCE, PCA, PFP, SCO (dialogue member), UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer), ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant; recalled by Belarus in 2008); Charge d'Affaires Pavel SHIDLOVSKY (since 23 April 2014) |
| Diplomatic representation in the US: | chancery: 1619 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-1606 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-1805 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant; left in 2008 upon insistence of Belarusian Government); Charge d'Affaires Scott RAULAND (since 30 June 2014) |
| Diplomatic representation from the US: | embassy: 46 Starovilenskaya Street, Minsk 220002 |
| Diplomatic representation from the US: | mailing address: PSC 78, Box B Minsk, APO 09723 |
| Diplomatic representation from the US: | telephone: [375] (17) 210-12-83 |
| Diplomatic representation from the US: | FAX: [375] (17) 234-7853 |
| Flag description: | red horizontal band (top) and green horizontal band one-half the width of the red band; a white vertical stripe on the hoist side bears Belarusian national ornamentation in red; the red band color recalls past struggles from oppression, the green band represents hope and the many forests of the country |
| National symbol(s): | no clearly defined current national symbol, the mounted knight known as Pahonia (the Chaser) is the traditional Belarusian symbol; national colors: green, red, white |
| National anthem: | name: "My, Bielarusy" (We Belarusians) |
| National anthem: | lyrics/music: Mikhas KLIMKOVICH and Uladzimir KARYZNA/Nester SAKALOUSKI |
| National anthem: | note: music adopted 1955, lyrics adopted 2002; after the fall of the Soviet Union, Belarus kept the music of its Soviet-era anthem but adopted new lyrics; also known as "Dziarzauny himn Respubliki Bielarus" (State Anthem of the Republic of Belarus) |
