| Government | Belarus |
| Legislative branch: | elections: last held 17 and 31 October 2004; international observers widely denounced the elections as flawed and undemocratic based on massive government falsification; pro-LUKASHENKO candidates won every seat after many opposition candidates were disqualified for technical reasons |
| Legislative branch: | election results: Soviet Respubliki - percent of vote by party - NA; seats by party - NA; Palata Predstaviteley - percent of vote by party - NA; seats by party - NA |
| Judicial branch: | Supreme Court (judges are appointed by the president); Constitutional Court (half of the judges appointed by the president and half appointed by the Chamber of Representatives) |
| Political parties and leaders: | pro-government parties: Agrarian Party or AP [Mikhail SHIMANSKY]; Belarusian Communist Party or KPB; Belarusian Patriotic Movement (Belarusian Patriotic Party) or BPR [Nikolai ULAKHOVICH, chairman]; Liberal Democratic Party of Belarus [Sergei GAYDUKEVICH]; Party of Labor and Justice [Viktor SOKOLOV]; Social-Sports Party [Vladimir ALEXANDROVICH] |
| Political parties and leaders: | opposition parties: 10 Plus Coalition [Aleksandr MILINKEVICH], includes: Belarusian Party of Communists or PKB [Syarhey KALYAKIN]; Belarusian Party of Labor (unregistered) [Aleksandr BUKHVOSTOV, Leonid LEMESHONAK]; Belarusian Popular Front or BPF [Vintsyuk VYACHORKA]; Belarusian Social-Democratic Gramada [Stanislav SHUSHKEVICH]; Green Party [Oleg GROMYKO]; Party of Freedom and Progress (unregistered) [Vladimir NOVOSYAD]; United Civic Party or UCP [Anatol LYABEDKA]; Women's Party "Nadezhda" [Valentina MATUSEVICH, chairperson] |
| Political parties and leaders: | other opposition includes: Belarusian Social-Democratic Party (People's Assembly) or BSDP NH [Aleksandr KOZULIN]; Christian Conservative BPF [Zyanon PAZNIAK]; Ecological Party of Greens [Mikhail KARTASH]; Party of Popular Accord [Sergei YERMAKK]; Republican Party [Vladimir BELAZOR] |
| Political pressure groups and leaders: | Assembly of Pro-Democratic NGOs [Sergey MATSKEVICH]; Belarusian Congress of Democratic Trade Unions [Alyaksandr YAROSHUK]; Belarusian Helsinki Committee [Tatiana PROTKO]; Belarusian Organization of Working Women [Irina ZHIKHAR]; Charter 97 [Andrey SANNIKOV]; Lenin Communist Union of Youth (youth wing of the Belarusian Party of Communists or PKB); National Strike Committee of Entrepreneurs [Aleksandr VASILYEV, Valery LEVONEVSKY]; Partnership NGO [Nikolay ASTREYKA]; Perspektiva kiosk watchdog NGO [Anatol SHUMCHENKO]; Vyasna [Ales BYALATSKY]; Women's Independent Democratic Movement [Ludmila PETINA]; Youth Front (Malady Front) [Dzmitryy DASHKEVICH, Syarhey BAKHUN]; Zubr youth group [Vladimir KOBETS] |
| International organization participation: | BSEC (observer), CEI, CIS, EAEC, EAPC, EBRD, GCTU, IAEA, IBRD, ICAO, ICRM, IFC, IFRCS, ILO, IMF, IMSO, Interpol, IOC, IOM, IPU, ISO, ITU, ITUC, MIGA, NAM, NSG, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Mikhail KHVOSTOV |
| Diplomatic representation in the US: | chancery: 1619 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-1604 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-1805 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Karen B. STEWART |
| Diplomatic representation from the US: | embassy: 46 Starovilenskaya Street, Minsk 220002 |
| Diplomatic representation from the US: | mailing address: PSC 78, Box B Minsk, APO 09723 |
| Diplomatic representation from the US: | telephone: [375] (17) 210-12-83, 217-7347, 217-7348 |
| Diplomatic representation from the US: | FAX: [375] (17) 234-7853 |
| Flag description: | red horizontal band (top) and green horizontal band one-half the width of the red band; a white vertical stripe on the hoist side bears Belarusian national ornamentation in red |
