| Government | Denmark |
| Legislative branch: | election results: percent of vote by party - V 26.7%, SDP 24.9%, DF 12.3%, SLP 9.5%, SF 9.2%, O 6.7%, LA 5%, C 4.9%, other 0.8%; seats by party - V 47, SDP 44, DF 22, SLP 17, SF 16, O 12, LA 9, C 8; note - does not include the two seats from Greenland and the two seats from the Faroe Islands |
| Judicial branch: | highest court(s): Supreme Court (consists of the court president and 18 judges) |
| Judicial branch: | judge selection and term of office: judges appointed by the monarch upon the recommendation of the Minister of Justice with the advice of the Judicial Appointments Council, a 6-member independent body of judges and lawyers; judges appointed for life with retirement at age 70 |
| Judicial branch: | subordinate courts: Special Court of Indictment and Revision; 2 High Courts; Maritime and Commercial Court; county courts |
| Political parties and leaders: | Conservative People's Party or C [Lars BARFOED] |
| Political parties and leaders: | Danish People's Party or DF [Kristian THULESEN DAHL] |
| Political parties and leaders: | Liberal Alliance or LA [Anders SAMUELSEN] |
| Political parties and leaders: | Liberal Party or V [Lars LOKKE RAMUSSEN] |
| Political parties and leaders: | Red-Green Alliance (Unity List) or O [collective leadership, spokesperson Johanne SCHMIDT-NIELSEN] |
| Political parties and leaders: | Social Democratic Party or SDP [Helle THORNING-SCHMIDT] |
| Political parties and leaders: | Social Liberal Party or SLP [Margrethe VESTAGER] |
| Political parties and leaders: | Socialist People's Party or SF [Annette VILHELMSEN] |
| Political pressure groups and leaders: | Confederation of Danish Employers or DA [President Jorn Neergaard LARSEN] |
| Political pressure groups and leaders: | Confederation of Danish Industries [CEO Karsten DYBVAD] |
| Political pressure groups and leaders: | Confederation of Danish Labor Unions (Landsorganisationen) or LO [President Harald BORSTING] |
| Political pressure groups and leaders: | Danish Bankers Association [CEO Joergen HORWITZ] |
| Political pressure groups and leaders: | DaneAge Association [President Bjarne HASTRUP] |
| Political pressure groups and leaders: | Danish Society for Nature Conservation [President Ella Maria BISSCHOP-LARSEN] |
| Political pressure groups and leaders: | other: environmental groups; humanitarian relief; development assistance; human rights NGOs |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council, Australia Group, BIS, CBSS, CD, CE, CERN, EAPC, EBRD, EIB, EITI (implementing country), ESA, EU, FAO, FATF, G-9, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMISS, UNRWA, UNTSO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Peter TAKSOE-JENSEN (since 1 September 2010) |
| Diplomatic representation in the US: | chancery: 3200 Whitehaven Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-4300 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-1470 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Rufus GIFFORD (since 15 August 2013) |
| Diplomatic representation from the US: | embassy: Dag Hammarskjolds Alle 24, 2100 Copenhagen 0 |
| Diplomatic representation from the US: | mailing address: Unit 5280, DPO, AE 09716 |
| Diplomatic representation from the US: | telephone: [45] 33 41 71 00 |
| Diplomatic representation from the US: | FAX: [45] 35 43 02 23 |
| Flag description: | red with a white cross that extends to the edges of the flag; the vertical part of the cross is shifted to the hoist side; the banner is referred to as the Dannebrog (Danish flag) and is one of the oldest national flags in the world; traditions as to the origin of the flag design vary, but the best known is a legend that the banner fell from the sky during an early-13th century battle; caught up by the Danish king before it ever touched the earth, this heavenly talisman inspired the royal army to victory; in actuality, the flag may derive from a crusade banner or ensign |
| Flag description: | note: the shifted design element was subsequently adopted by the other Nordic countries of Finland, Iceland, Norway, and Sweden |
| National symbol(s): | lion; mute swan |
| National anthem: | name: "Der er et yndigt land" (There is a Lovely Land); "Kong Christian" (King Christian) |
| National anthem: | lyrics/music: Adam Gottlob OEHLENSCHLAGER/Hans Ernst KROYER; Johannes EWALD/unknown |
| National anthem: | note: Denmark has two national anthems with equal status; "Der er et yndigt land," adopted 1844, is a national anthem, while "Kong Christian," adopted 1780, serves as both a national and royal anthem; "Kong Christian" is also known as "Kong Christian stod ved hojen mast" (King Christian Stood by the Lofty Mast) and "Kongesangen" (The King's Anthem); within Denmark, the royal anthem is played only when royalty is present and is usually followed by the national anthem; when royalty is not present, only the national anthem is performed; outside Denmark, the royal anthem is played, unless the national anthem is requested |
