| Government | Denmark |
| Judicial branch: | judge selection and term of office: judges appointed by the monarch upon the recommendation of the Minister of Justice with the advice of the Judicial Appointments Council, a 6-member independent body of judges and lawyers; judges appointed for life with retirement at age 70 |
| Judicial branch: | subordinate courts: Special Court of Indictment and Revision; 2 High Courts; Maritime and Commercial Court; county courts |
| Executive branch: | chief of state: Queen MARGRETHE II (since 14 January 1972); Heir Apparent Crown Prince FREDERIK (elder son of the monarch, born on 26 May 1968) |
| Executive branch: | head of government: Prime Minister Lars LOKKE RASMUSSEN (since 28 June 2015) |
| Executive branch: | cabinet: Council of State appointed by the monarch |
| Executive branch: | elections/appointments: the monarchy is hereditary; following legislative elections, the leader of the majority party or majority coalition usually appointed prime minister by the monarch |
| Legislative branch: | description: unicameral People's Assembly or Folketing (179 seats, including 2 each representing Greenland and the Faroe Islands; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms unless the Folketing is dissolved earlier) |
| Legislative branch: | elections: last held on 18 June 2015 (next to be held by June 2019) |
| Legislative branch: | election results: percent of vote by party - A 26.3%, DF 21.1%, V 19.5%, EL 7.8%, LA 7.5%, AP 4.8%, SLP 4.6%, SF 4.2%, C 3.4%, other 0.9%; seats by party - A 47, DF 37, V 34, EL 14, LA 13, AP 9, SLP 8, SF 7, C 6; composition - men 112, women 67, percent of women 37.4%; note - does not include each of the 2 seats from Greenland and the Faroe Islands |
| Political parties and leaders: | The Alternative A or AP [Uffe ELBAEK] |
| Political parties and leaders: | Conservative People's Party or DKF or C [Soren PAPE POULSEN] |
| Political parties and leaders: | Danish People's Party or DF or O [Kristian THULESEN DAHL] |
| Political parties and leaders: | Liberal Alliance or LA [Anders SAMUELSEN] |
| Political parties and leaders: | Liberal Party (Venstre) or V [Lars LOKKE RASMUSSEN] |
| Political parties and leaders: | Red-Green Alliance (Unity List) or EL [collective leadership, Pernille SKIPPER, spokesperson] |
| Political parties and leaders: | Social Democrats or A [Mette FREDERIKSEN] |
| Political parties and leaders: | Social Liberal Party or B or SLP [Morten OSTERGAARD] |
| Political parties and leaders: | Socialist People's Party or SF [Pia OLSEN DYHR] |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council, Australia Group, BIS, CBSS, CD, CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), ESA, EU, FAO, FATF, G-9, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, NATO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMISS, UNRWA, UNTSO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Lars Gert LOSE (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 3200 Whitehaven Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-4300 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-1470 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, New York, Silicon Valley |
| Diplomatic representation from the US: | chief of mission: Ambassador Carla SANDS (since 15 December 2017) |
| Diplomatic representation from the US: | embassy: Dag Hammarskjolds Alle 24, 2100 Copenhagen 0 |
| Diplomatic representation from the US: | mailing address: Unit 5280 ODC, DPO, AE 09716 |
| Diplomatic representation from the US: | telephone: [45] 33 41 71 00 |
| Diplomatic representation from the US: | FAX: [45] 35 43 02 23 |
| Flag description: | red with a white cross that extends to the edges of the flag; the vertical part of the cross is shifted to the hoist side; the banner is referred to as the Dannebrog (Danish flag) and is one of the oldest national flags in the world; traditions as to the origin of the flag design vary, but the best known is a legend that the banner fell from the sky during an early-13th century battle; caught up by the Danish king before it ever touched the earth, this heavenly talisman inspired the royal army to victory; in actuality, the flag may derive from a crusade banner or ensign |
| Flag description: | note: the shifted cross design element was subsequently adopted by the other Nordic countries of Finland, Iceland, Norway, and Sweden |
| National symbol(s): | lion, mute swan; national colors: red, white |
| National anthem: | name: "Der er et yndigt land" (There is a Lovely Country); "Kong Christian" (King Christian) |
| National anthem: | lyrics/music: Adam Gottlob OEHLENSCHLAGER/Hans Ernst KROYER; Johannes EWALD/unknown |
| National anthem: | note: Denmark has two national anthems with equal status; "Der er et yndigt land," adopted 1844, is a national anthem, while "Kong Christian," adopted 1780, serves as both a national and royal anthem; "Kong Christian" is also known as "Kong Christian stod ved hojen mast" (King Christian Stood by the Lofty Mast) and "Kongesangen" (The King's Anthem); within Denmark, the royal anthem is played only when royalty is present and is usually followed by the national anthem; when royalty is not present, only the national anthem is performed; outside Denmark, the royal anthem is played, unless the national anthem is requested |
