| Government | Guinea |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 18 October 2020 (next to be held in October 2025); prime minister appointed by the president |
| Executive branch: | election results: Alpha CONDE reelected president in the first round; percent of vote - Alpha CONDE (RPG) 59.5%, Cellou Dalein DIALLO (UFDG) 33.5%, other 7% |
| Legislative branch: | description: unicameral People's National Assembly or Assemblee Nationale Populaire (114 seats; 76 members directly elected in a single nationwide constituency by proportional representation vote and 38 directly elected in single-seat constituencies by simple majority vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 28 September 2013 (next to be held 1 March 2020) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - RPG 53, UFDG 37, UFR 10, PEDN 2, UPG 2, other 10; composition - men 89, women 25, percent of women 21.9% |
| Judicial branch: | highest courts: Supreme Court or Cour Supreme (organized into Administrative Chamber and Civil, Penal, and Social Chamber; court consists of the first president, 2 chamber presidents,Â 10 councilors, the solicitor general, and NA deputies); Constitutional Court (consists of 9 members) |
| Judicial branch: | judge selection and term of office: Supreme Court first president appointed by the national president after consultation with the National Assembly; other members appointed by presidential decree; members serve until age 65; Constitutional Court member appointments - 2 by the National Assembly and the president of the republic, 3 experienced judges designated by their peers, 1 experienced lawyer, 1 university professor with expertise in public law designated by peers, and 2 experienced representatives of the Independent National Institution of Human Rights; members serve single 9-year terms |
| Judicial branch: | subordinate courts: Court of Appeal or Cour d'Appel; High Court of Justice or Cour d'Assises; Court of Account (Court of Auditors); Courts of First Instance (Tribunal de Premiere Instance); labor court; military tribunal; justices of the peace; specialized courts |
| Political parties and leaders: | Bloc Liberal or BL [Faya MILLIMONO] |
| Political parties and leaders: | National Party for Hope and Development or PEDN [Lansana KOUYATE] |
| Political parties and leaders: | Rally for the Guinean People or RPG [Alpha CONDE] |
| Political parties and leaders: | Union for the Progress of Guinea or UPG |
| Political parties and leaders: | Union of Democratic Forces of Guinea or UFDG [Cellou Dalein DIALLO] |
| Political parties and leaders: | Union of Republican Forces or UFR [Sidya TOURE] |
| Political parties and leaders: | Ruling party Rally of the Guinean People (Rassemblement du Peuple GuinÃ©en, RPG) Opposition parties African Democratic Party of Guinea (Parti dÃ©mocratique africain de GuinÃ©e) Party of Unity and Progress (Parti de l'UnitÃ© et du ProgrÃ¨s, PUP) Union for Progress and Renewal (Union pour le ProgrÃ¨s et le Renouveau, UPR) Union for Progress of Guinea (Union pour le ProgrÃ¨s de la GuinÃ©e, UPG) Democratic Party of Guinea-African Democratic Rally (Parti DÃ©mocratique de GuinÃ©e-Rassemblement DÃ©mocratique Africain, PDG-RDA) National Alliance for Progress (Alliance Nationale pour le ProgrÃ¨s, ANP) Party of the Union for Development (Parti de lâ€™Union pour le DÃ©veloppement, PUD) Union of Democratic Forces of Guinea ( Union des Forces DÃ©mocratiques de GuinÃ©e, UFDG ), led by Cellou Dalein Diallo Union of Republican Forces (Union des Forces RÃ©publicaines, UFR) the Party of Democrats for Hope (" PADES") Led by Dr Ousmane Kaba |
| International organization participation: | ACP, AfDB, AU, ECOWAS, EITI (compliant country), FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Kerfalla YANSANE (since 24 January 2018) |
| Diplomatic representation in the US: | chancery: 2112 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-4300 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-3800 |
| Diplomatic representation from the US: | chief of mission: Ambassador Simon HENSHAW (since 4 March 2019) |
| Diplomatic representation from the US: | telephone: [224] 655-10-40-00 |
| Diplomatic representation from the US: | embassy: Transversale #2, Center Administratif de Koloma, Commune de Ratoma, Conakry |
| Diplomatic representation from the US: | mailing address: P.O. Box 603, Transversale No. 2, Centre Administratif de Koloma, Commune de Ratoma, Conakry |
| Diplomatic representation from the US: | FAX: [224] 655-10-42-97 |
| Flag description: | three equal vertical bands of red (hoist side), yellow, and green; red represents the people's sacrifice for liberation and work; yellow stands for the sun, for the riches of the earth, and for justice; green symbolizes the country's vegetation and unity |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; the colors from left to right are the reverse of those on the flags of neighboring Mali and Senegal |
| National symbol(s): | elephant; national colors: red, yellow, green |
| National anthem: | name: "Liberte" (Liberty) |
| National anthem: | lyrics/music: unknown/Fodeba KEITA |
| National anthem: | note: adopted 1958 |
