| Government | Thailand |
| Executive branch: | note: Prime Minister YINGLAK Chinnawat, also spelled YINGLUCK Shinawatra, was removed from office on 7 May 2014 after the Constitutional Court ruled she illegally transferred a government official; Thai army declared martial law on 20 May 2014 and a coup on 22 May 2014 |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | note: a Privy Council advises the king |
| Executive branch: | elections: the monarchy is hereditary; the prime minister is elected from among members of the House of Representatives; following national elections for the House of Representatives, the leader of the party positioned to organize a majority coalition usually becomes prime minister by appointment by the king; the prime minister is limited to two four-year terms |
| Legislative branch: | bicameral National Assembly or Rathasapha consisted of the Senate or Wuthisapha (150 seats; 76 members elected by popular vote representing 75 provinces and 1 metropolitan district (Bangkok), 74 appointed by the Senate Selection Committee; members serve six-year terms) and the House of Representatives or Sapha Phuthaen Ratsadon (500 seats; 375 members elected from 375 single-seat constituencies and 125 elected on proportional party-list basis; members serve four-year terms) |
| Legislative branch: | elections: Senate - last held on 30 March 2014; House of Representatives - last held on 2 February 2014, but later declared invalid by the Constitutional Court; a new election will be held on 20 July 2014 |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; House of Representatives - percent of vote by party - NA; seats by party - NA |
| Legislative branch: | note: 73 senators were appointed on 12 April 2011 by a seven-member committee headed by the chief of the Constitutional Court; 76 senators were elected on 30 March 2014; elections to the Senate are non-partisan; registered political party members are disqualified from being senators |
| Judicial branch: | highest court(s): Supreme Court of Justice (consists of the court president, 6 vice-presidents, and NA judges and organized into civil and criminal divisions); Constitutional Court (consists of  the court president and 8 judges); Supreme Administrative Court (the number of judges determined by the Judicial Commission of the Administrative Courts) |
| Judicial branch: | judge selection and term of office: Supreme Court judges selected by the Judicial Commission of the Courts of Justice and approved by the monarch; judges' terms NA; Constitutional Court justices - 3 judges drawn from the Supreme Court, 2 judges drawn from the Administrative Court, and 4 judge candidates selected by the Selective Committee for Judges of the Constitutional Court and confirmed by the Senate; judges appointed by the monarch to serve single 9-year terms; Supreme Administrative Court judges selected by the Judicial Commission of the Administrative Courts and appointed by the monarch; judge tenure NA |
| Judicial branch: | subordinate courts: courts of first instance and appeals courts within both the judicial and administrative systems; military courts |
| Political parties and leaders: | Chat Pattana Party or CPN (Nation Development Party) [WANNARAT Channukul] |
| Political parties and leaders: | Chat Thai Phattana Party or CTP (Thai Nation Development Party) [THEERA Wongsamut] |
| Political parties and leaders: | Mahachon Party or Mass Party [APHIRAT Sirinawin] |
| Political parties and leaders: | Matubhum Party (Motherland Party) [ Gen. SONTHI Bunyaratkalin] |
| Political parties and leaders: | Phalang Chon Party (People Chonburi Power Party) [SONTHAYA Khunpluem] |
| Political parties and leaders: | Phumjai (Bhumjai) Thai Party or PJT (Thai Pride) [ANUTIN Charnvirakul] |
| Political parties and leaders: | Prachathipat Party or DP (Democrat Party) [ABHISIT Wechachiwa, also spelled ABHISIT Vejjajiva] |
| Political parties and leaders: | Prachathipathai Mai Party (New Democracy Party) [SURATIN Phijarn] |
| Political parties and leaders: | Puea Thai Party (For Thais Party) or PTP [CHARUPHONG Rueangsuwan also spelled JARUPONG Ruangsuwan] |
| Political parties and leaders: | Rak Prathet Thai Party (Love Thailand Party) [CHUWIT Kamonwisit] |
| Political parties and leaders: | Rak Santi Party (Peace Conservation Party) [Pol. Lt. Gen. THAWIL Surachetphong] |
| Political pressure groups and leaders: | Multicolor Group |
| Political pressure groups and leaders: | People's Alliance for Democracy or PAD |
| Political pressure groups and leaders: | People's Democratic Reform Committee or PDRC |
| Political pressure groups and leaders: | Student and People Network for Thailand's Reform or STR |
| Political pressure groups and leaders: | United Front for Democracy Against Dictatorship or UDD |
| International organization participation: | ADB, APEC, ARF, ASEAN, BIMSTEC, BIS, CD, CICA, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OAS (observer), OIC (observer), OIF (observer), OPCW, OSCE (partner), PCA, PIF (partner), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMOGIP, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador WICHAWAT Isarabhakdi (since 3 December 2013) |
| Diplomatic representation in the US: | chancery: 1024 Wisconsin Avenue NW, Suite 401, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-3600 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-3611 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Kristie A. KENNEY (since 10 January 2011) |
| Diplomatic representation from the US: | embassy: 120-122 Wireless Road, Bangkok 10330 |
| Diplomatic representation from the US: | mailing address: APO AP 96546 |
| Diplomatic representation from the US: | telephone: [66] (2) 205-4000 |
| Diplomatic representation from the US: | FAX: [66] (2) 254-2990, 205-4131 |
| Diplomatic representation from the US: | consulate(s) general: Chiang Mai |
| Flag description: | five horizontal bands of red (top), white, blue (double width), white, and red; the red color symbolizes the nation and the blood of life; white represents religion and the purity of Buddhism; blue stands for the monarchy |
| Flag description: | note: similar to the flag of Costa Rica but with the blue and red colors reversed |
| National symbol(s): | garuda (mythical half-man, half-bird figure); elephant |
| National anthem: | name: "Phleng Chat Thai" (National Anthem of Thailand) |
| National anthem: | lyrics/music: Luang SARANUPRAPAN/Phra JENDURIYANG |
| National anthem: | note: music adopted 1932, lyrics adopted 1939; by law, people are required to stand for the national anthem at 0800 and 1800 every day; the anthem is played in schools, offices, theaters, and on television and radio during this time; "Phleng Sansasoen Phra Barami" (A Salute to the Monarch) serves as the royal anthem and is played in the presence of the royal family and during certain state ceremonies |
