| Government | Thailand |
| Administrative divisions: | 76 provinces (changwat, singular and plural) and 1 municipality* (maha nakhon); Amnat Charoen, Ang Thong, Bueng Kan, Buri Ram, Chachoengsao, Chai Nat, Chaiyaphum, Chanthaburi, Chiang Mai, Chiang Rai, Chon Buri, Chumphon, Kalasin, Kamphaeng Phet, Kanchanaburi, Khon Kaen, Krabi, Krung Thep* (Bangkok), Lampang, Lamphun, Loei, Lop Buri, Mae Hong Son, Maha Sarakham, Mukdahan, Nakhon Nayok, Nakhon Pathom, Nakhon Phanom, Nakhon Ratchasima, Nakhon Sawan, Nakhon Si Thammarat, Nan, Narathiwat, Nong Bua Lamphu, Nong Khai, Nonthaburi, Pathum Thani, Pattani, Phangnga, Phatthalung, Phayao, Phetchabun, Phetchaburi, Phichit, Phitsanulok, Phra Nakhon Si Ayutthaya, Phrae, Phuket, Prachin Buri, Prachuap Khiri Khan, Ranong, Ratchaburi, Rayong, Roi Et, Sa Kaeo, Sakon Nakhon, Samut Prakan, Samut Sakhon, Samut Songkhram, Saraburi, Satun, Sing Buri, Si Sa Ket, Songkhla, Sukhothai, Suphan Buri, Surat Thani, Surin, Tak, Trang, Trat, Ubon Ratchathani, Udon Thani, Uthai Thani, Uttaradit, Yala, Yasothon |
| Independence: | 1238 (traditional founding date; never colonized) |
| National holiday: | Birthday of King WACHIRALONGKON, 28 July (1952) |
| Constitution: | history: many previous; latest drafted and presented 29 March 2016, approved by referendum 7 August 2016, signed into law by the king 6 April 2017 |
| Constitution: | amendments: proposed as a joint resolution by the Council of Ministers and the National Council for Peace and Order (the junta that has ruled Thailand since the 2014 coup) and submitted as a draft to the National Legislative Assembly; passage requires majority vote of the existing Assembly members and presentation to the monarch for assent and countersignature of the prime minister (2017) |
| Legal system: | civil law system with common law influences |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Thailand |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: King WACHIRALONGKON Bodinthrathepphayawarangkun, also spelled Vajiralongkorn Bodindradebayavarangkun, (since 1 December 2016); note - King PHUMIPHON Adunyadet, also spelled BHUMIBOL Adulyadej (since 9 June 1946) died 13 October 2016 |
| Executive branch: | head of government: Prime Minister PRAYUT Chan-ocha (since 25 August 2014); Deputy Prime Ministers PRAWIT Wongsuwan (since 31 August 2014), WISSANU Kruea-ngam (since 31 August 2014), SOMKHIT Chatusiphithak (since 20 August 2015), CHURIN Laksanawisit (since November 2019), ANUTHIN Chanwirakun (since November 2019) |
| Executive branch: | cabinet: Council of Ministers nominated by the prime minister, appointed by the king; a Privy Council advises the king |
| Executive branch: | elections/appointments: the monarchy is hereditary; the House of Representatives and Senate approves a person for Prime Minister who must then be appointed by the King (as stated in the transitory provision of the 2017 constitution); the office of prime minister can be held for up to a total of 8 years |
| Executive branch: | note:Â  PRAYUT Chan-ocha was appointed interim prime minister in August 2014, three months after he staged the coup that removed the previously elected government of Prime Minister YINGLAK Chinnawat; on 5 June 2019 PRAYUT (independent) was approved as prime minister by the parliament - 498 votes to 244 for THANATHON Chuengrungrueangkit (FFP) |
| Legislative branch: | description: bicameral National Assembly or RathhasaphaÂ consists of: |
| Legislative branch: | Senate or WuthissaphaÂ (250 seats; members appointed by the Royal Thai Army to serveÂ 5-year terms) |
| Legislative branch: | House of Representatives or Saphaphuthan RatsadonÂ (500 seats; 375 members elected in single-seat constituencies by simple majority vote and 150 members elected in a single nationwide constituency by party-list proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: Senate - last held on 14 May 2019 (next to be held in 2024) |
| Legislative branch: | House of Representatives - last held on 24 March 2019 (next to be held in 2023) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; composition - men 224, women 26, percent of women 10.4% |
| Legislative branch: | House of Representatives - percent of vote by party - PPRP 23.7%, PTP 22.2%, FFP 17.8%, DP 11.1%, PJT 10.5%, TLP 2.3%, CTP 2.2%, NEP 1.4%, PCC 1.4%, ACT 1.2%, PCP 1.2%,Â  other 5.1%; seats by party - PTP 136, PPRP 116, FFP 81, DP 53, PJT 51, CTP 10, TLP 10,Â PCC 7, PCP 5, NEP 6, ACT 5, other 20; composition - men 421, women 79, percent of women 15.8%; note - total National Assembly percent of women 14% |
| Judicial branch: | highest courts: Supreme Court of Justice (consists of the court president, 6 vice presidents, 60-70 judges, and organized into 10 divisions); Constitutional Court (consists of the court president and 8 judges); Supreme Administrative Court (number of judges determined by Judicial Commission of the Administrative Courts) |
| Judicial branch: | judge selection and term of office: Supreme Court judges selected by the Judicial Commission of the Courts of Justice and approved by the monarch; judge term determined by the monarch; Constitutional Court justices - 3 judges drawn from the Supreme Court, 2 judges drawn from the Administrative Court, and 4 judge candidates selected by the Selective Committee for Judges of the Constitutional Court, and confirmed by the Senate; judges appointed by the monarch serve single 9-year terms; Supreme Administrative Court judges selected by the Judicial Commission of the Administrative Courts and appointed by the monarch; judges serve for life |
| Judicial branch: | subordinate courts: courts of first instance and appeals courts within both the judicial and administrative systems; military courts |
| Political parties and leaders: | Action Coalition of Thailand Party or ACT [CHATUMONGKHON Sonakun] |
| Political parties and leaders: | Anakhot Mai Party (Future Forward Party) or FFP [THANATHON Chuengrungrueangkit] |
| Political parties and leaders: | Chat Phatthana Party (National Development Party) [THEWAN Liptaphanlop] |
| Political parties and leaders: | Chat Thai Phatthana Party (Thai Nation Development Party) or CTP [KANCHANA Sinlapa-acha] |
| Political parties and leaders: | New Economics Party or NEP [MINGKHWAN Sangsuwan] |
| Political parties and leaders: | Phalang Pracharat Party or PPP [UTTAMA Sawanayon] |
| Political parties and leaders: | Phumchai Thai Party (Thai Pride Party) or PJT [ANUTHIN Chanwirakun] |
| Political parties and leaders: | Prachachat Party of PCC [WAN Muhamad NOOR Matha] |
| Political parties and leaders: | Prachathipat Party (Democrat Party) or DP [CHURIN Laksanawisit] |
| Political parties and leaders: | Puea Chat Party (For Nation Party) or PCP [SONGKHRAM Kitletpairot] |
| Political parties and leaders: | Puea Thai Party (For Thais Party) or PTP [WIROT Paoin] |
| Political parties and leaders: | Puea Tham Party (For Dharma Party) [NALINI Thawisin] |
| Political parties and leaders: | Seri Ruam Thai Party (Thai Liberal Party) or TLP [SERIPHISUT Temiyawet] |
| Political parties and leaders: | Thai Forest Conservation Party or TFCP [DAMRONG Phidet] |
| Political parties and leaders: | Thai Local Power Party or TLP [collective leadership] |
| Political parties and leaders: | Thai Raksa Chat Party (Thai National Preservation Party) [PRICHAPHON Phongpanit] |
| Political parties and leaders: | note: as of 5 April 2018, 98 new parties applied to be registered with the Election Commission in accordance with the provisions of the new organic law on political parties |
| International organization participation: | ADB, APEC, ARF, ASEAN, BIMSTEC, BIS, CD, CICA, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OAS (observer), OIC (observer), OIF (observer), OPCW, OSCE (partner), PCA, PIF (partner), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMOGIP, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Wirachai PLASAI (since 22 June 2018) |
| Diplomatic representation in the US: | chancery: 1024 Wisconsin Avenue NW, Suite 401, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-3600 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-3611 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Michael HEATH (since August 2019) |
| Diplomatic representation from the US: | telephone: [66] 2-205-4000 |
| Diplomatic representation from the US: | embassy: 95 Wireless Road, Bangkok 10330 |
| Diplomatic representation from the US: | mailing address: APO AP 96546 |
| Diplomatic representation from the US: | FAX: [66] 2-205-4306 |
| Diplomatic representation from the US: | consulate(s) general: Chiang Mai |
| Flag description: | five horizontal bands of red (top), white, blue (double width), white, and red; the red color symbolizes the nation and the blood of life, white represents religion and the purity of Buddhism, and blue stands for the monarchy |
| Flag description: | note: similar to the flag of Costa Rica but with the blue and red colors reversed |
| National symbol(s): | garuda (mythical half-man, half-bird figure), elephant; national colors: red, white, blue |
| National anthem: | name: "Phleng Chat Thai" (National Anthem of Thailand) |
| National anthem: | lyrics/music: Luang SARANUPRAPAN/Phra JENDURIYANG |
| National anthem: | note: music adopted 1932, lyrics adopted 1939; by law, people are required to stand for the national anthem at 0800 and 1800 every day; the anthem is played in schools, offices, theaters, and on television and radio during this time; "Phleng Sanlasoen Phra Barami" (A Salute to the Monarch) serves as the royal anthem and is played in the presence of the royal family and during certain state ceremonies |
