| Government | Thailand |
| Executive branch: | head of government: Prime Minister SURAYUT Chulanon (SURAYUD Chulanont) (since 1 October 2006); Deputy Prime Minister KHOSIT Panpiamrat (KHOSIT Panpiemras) (since 8 October 2006); Deputy Prime Minister SONTHI Boonyaratglin (SOHTHI Boonyaratkalin) (since 1 October 2007); Deputy Prime Minister PHAIBUN Wattanasiritham (PAIBOON Wattanasiritham) (since 8 March 2007) |
| Executive branch: | note: Prime Minister THAKSIN Chinnawat (THAKSIN Shinawatra) was overthrown on 19 September 2006 in a coup led by General SONTHI Boonyaratglin (SONTHI Boonyaratkalin) |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | note: there is also a Privy Council |
| Executive branch: | elections: none; monarch is hereditary; according to 2007 constitution, prime minister is designated from among members of House of Representatives; following national elections for House of Representatives, leader of party that could organize a majority coalition usually was appointed prime minister by king; prime minister is limited to two 4-year terms |
| Legislative branch: | bicameral National Assembly or Rathasapha consisted of the Senate or Wuthisapha (150 seats; 76 members elected by popular vote representing 76 provinces, 74 appointed by judges and independent government bodies; all serve six-year terms) and the House of Representatives or Sapha Phuthaen Ratsadon (480 seats; 400 members elected from 157 multi-seat constituencies and 80 elected on proportional party-list basis of 10 per eight zones or groupings of provinces; all serve four-year terms); after coup in September 2006, coup leaders appointed an interim National Assembly with 250 members to act as Senate and House of Representatives |
| Legislative branch: | elections: Senate - last held on 19 April 2006; House of Representatives - last valid election held on 6 February 2005; elections held on 2 April 2006 invalidated by court ruling; next general election will be held on 23 December 2007 |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; House of Representatives - (2005 election) percent of vote by party - NA; seats by party - TRT 376, DP 97, TNP 25, PP 2 |
| Judicial branch: | Supreme Court or Sandika (judges appointed by the monarch) |
| Political parties and leaders: | Democrat Party or DP (Prachathipat Party) [ABHISIT Wetchachiwa] (ABHISIT Vejjajiva); People's Party or PP (Mahachon Party) [ANEK Laothamatas]; People Power Party (Palang Prachachon Party) or PPP [SAMAK Sunthorawet] (SAMAK Sundaravej]; Thai Nation Party or TNP (Chat Thai Party) [BARNHARN SILPA-ARCHA]; Thai Party (Thai Rak) or TRT [CHATURON Chaisang]; note - dissolved by Constitutional Tribunal on 30 May 2007 |
| Political pressure groups and leaders: | NA |
| International organization participation: | APEC, APT, ARF, AsDB, ASEAN, BIMSTEC, BIS, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM, OAS (observer), OIC (observer), ONUB, OPCW, OSCE (partner), PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIS, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador KRIT Kanchanakunchon (KRIT Garnjana-Goonchorn) |
| Diplomatic representation in the US: | chancery: 1024 Wisconsin Avenue NW, Suite 401, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-3600 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-3611 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Ralph L. BOYCE |
| Diplomatic representation from the US: | embassy: 120-122 Wireless Road, Bangkok 10330 |
| Diplomatic representation from the US: | mailing address: APO AP 96546 |
| Diplomatic representation from the US: | telephone: [66] (2) 205-4000 |
| Diplomatic representation from the US: | FAX: [66] (2) 254-2990, 205-4131 |
| Diplomatic representation from the US: | consulate(s) general: Chiang Mai |
| Flag description: | five horizontal bands of red (top), white, blue (double width), white, and red |
