| Government | THAILAND |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: King WACHIRALONGKON Bodinthrathepphayawarangkun (since 1 December 2016); note - King PHUMIPHON Adunyadet, also spelled BHUMIBOL Adulyadej (since 9 June 1946) died 13 October 2016 |
| Executive branch: | head of government: Interim Prime Minister Gen. PRAYUT Chan-ocha (since 25 August 2014); Deputy Prime Ministers PRAWIT Wongsuwan, Gen. (since 31 August 2014), THANASAK Patimaprakon, Gen. (since 31 August 2014), WISSANU Kruea-ngam (since 31 August 2014), SOMKHIT Chatusiphithak (since 20 August 2015), PRACHIN Chantong, Air Chief Mar. (since 20 August 2015), NARONG Phiphatthanasai, Adm. (since 20 August 2015) |
| Executive branch: | cabinet: Council of Ministers nominated by the prime minister, appointed by the king; a Privy Council advises the king |
| Executive branch: | elections/appointments: the monarchy is hereditary; the House of Representatives approves a person for Prime Minister who must then be appointed by the King (as stated in the transitory provision of the 2017 constitution); the office of prime minister can be held for up to a total of 8 years |
| Executive branch: | note: Prime Minister YINGLAK Chinnawat, also spelled YINGLUCK Shinawatra, was removed from office on 7 May 2014 after the Constitutional Court ruled she illegally transferred a government official; Thai army declared martial law on 20 May 2014 followed by a coup on 22 May 2014 |
| Legislative branch: | description: in transition; following the May 2014 military coup, a National Legislative Assembly or Sapha Nitibanyat Haeng Chat of no more than 220 members replaced the bicameral National Assembly; expanded to 250 members in September 2016; elections for a permanent legislative body are currently unscheduled and probably will not occur until late 2018; the 2017 constitution calls for a 250-member military-appointed Senate with 5-year terms and a 500-member elected House of Representatives with 4-year terms |
| Legislative branch: | elections: Senate - last held on 30 March 2014 (next to be held in 2018); House of Representatives - last held on 2 February 2014 but later declared invalid by the Constitutional Court (next to be held in 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; House of Representatives - percent of vote by party - NA; seats by party - NA |
| Judicial branch: | highest court(s): Supreme Court of Justice (consists of court president, 6 vice-presidents, and 60-70 judges, and organized into 10 divisions); Constitutional Court (consists of court president and 8 judges); Supreme Administrative Court (number of judges determined by Judicial Commission of the Administrative Courts) |
| Judicial branch: | judge selection and term of office: Supreme Court judges selected by the Judicial Commission of the Courts of Justice and approved by the monarch; judge term determined by the monarch; Constitutional Court justices - 3 judges drawn from the Supreme Court, 2 judges drawn from the Administrative Court, and 4 judge candidates selected by the Selective Committee for Judges of the Constitutional Court and confirmed by the Senate; judges appointed by the monarch to serve single 9-year terms; Supreme Administrative Court judges selected by the Judicial Commission of the Administrative Courts and appointed by the monarch; judges appointed for life |
| Judicial branch: | subordinate courts: courts of first instance and appeals courts within both the judicial and administrative systems; military courts |
| Political parties and leaders: | Chat Phatthana Party or CPN (National Development Party) [WANNARAT Channukun] |
| Political parties and leaders: | Chat Thai Phatthana Party or CTP (Thai Nation Development Party) |
| Political parties and leaders: | Mahachon Party or Mass Party [APHIRAT Sirinawin] |
| Political parties and leaders: | Matuphum Party (Motherland Party) [Gen. SONTHI Bunyaratkalin] |
| Political parties and leaders: | Phalang Chon Party (People Power Party) [SONTHAYA Khunpluem] |
| Political parties and leaders: | Phumchai (Bhumjai) Thai Party or PJT (Thai Pride) [ANUTHIN Chanwirakun] |
| Political parties and leaders: | Prachathipat Party or DP (Democrat Party) [ABHISIT Wechachiwa, also spelled ABHISIT Vejjajiva] |
| Political parties and leaders: | Prachathipatai Mai Party (New Democracy Party) [SURATHIN Phichan] |
| Political parties and leaders: | Puea Thai Party (For Thais Party) or PTP [acting leader WIROT Paoin] |
| Political parties and leaders: | Rak Prathet Thai Party (Love Thailand Party) [acting leader SURAPHON Wetchakon] |
| Political parties and leaders: | Rak Santi Party (Peace Conservation Party) [Pol. Lt. Gen. THAWIN Surachetphong] |
| Political pressure groups and leaders: | Multicolor Group |
| Political pressure groups and leaders: | People's Democratic Reform Committee or PDRC |
| Political pressure groups and leaders: | Student and People Network for Thailand's Reform or STR |
| Political pressure groups and leaders: | United Front for Democracy Against Dictatorship or UDD |
| International organization participation: | ADB, APEC, ARF, ASEAN, BIMSTEC, BIS, CD, CICA, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OAS (observer), OIC (observer), OIF (observer), OPCW, OSCE (partner), PCA, PIF (partner), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMOGIP, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador PHISAN Manawaphat (since 23 February 2015) |
| Diplomatic representation in the US: | chancery: 1024 Wisconsin Avenue NW, Suite 401, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-3600 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-3611 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Glyn T. DAVIES (since 28 November 2015) |
| Diplomatic representation from the US: | embassy: 95 Wireless Road, Bangkok 10330 |
| Diplomatic representation from the US: | mailing address: APO AP 96546 |
| Diplomatic representation from the US: | telephone: [66] (2) 205-4000 |
| Diplomatic representation from the US: | FAX: [66] (2) 254-2990, 205-4131 |
| Diplomatic representation from the US: | consulate(s) general: Chiang Mai |
| Flag description: | five horizontal bands of red (top), white, blue (double width), white, and red; the red color symbolizes the nation and the blood of life; white represents religion and the purity of Buddhism; blue stands for the monarchy |
| Flag description: | note: similar to the flag of Costa Rica but with the blue and red colors reversed |
| National symbol(s): | garuda (mythical half-man, half-bird figure), elephant; national colors: red, white, blue |
| National anthem: | name: "Phleng Chat Thai" (National Anthem of Thailand) |
| National anthem: | lyrics/music: Luang SARANUPRAPAN/Phra JENDURIYANG |
| National anthem: | note: music adopted 1932, lyrics adopted 1939; by law, people are required to stand for the national anthem at 0800 and 1800 every day; the anthem is played in schools, offices, theaters, and on television and radio during this time; "Phleng Sanlasoen Phra Barami" (A Salute to the Monarch) serves as the royal anthem and is played in the presence of the royal family and during certain state ceremonies |
