| Government | Poland |
| Political parties and leaders: | Catholic-National Movement or RKN [Antoni MACIEREWICZ]; Civic Platform or PO [Donald TUSK]; Conservative Peasants Party or SKL [Artur BALASZ]; Democratic Left Alliance or SLD [Wojciech OLEJNICZAK]; Democratic Party or PD [Wladyslaw FRASYNIUK]; Dom Ojczysty (Fatherland Home); German Minority of Lower Silesia or MNSO [Henryk KROLL]; Law and Justice or PiS [Jaroslaw KACZYNSKI]; League of Polish Families or LPR [Marek KOTLINOWSKI]; Peasant-Democratic Party or PLD [Roman JAGIELINSKI]; Polish Accord or PP [Jan LOPUSZANSKI]; Polish Peasant Party or PSL [Waldemar PAWLAK]; Ruch Patriotyczny or RP [Jan OLSZEWSKI]; Samoobrona or SO [Andrzej LEPPER]; Social Democratic Party of Poland or SDPL [Marek BOROWSKI]; Social Movement or RS [Krzysztof PIESIEWICZ]; Union of Labor or UP [Andrzej SPYCHALSKI] |
| Political pressure groups and leaders: | All Poland Trade Union Alliance or OPZZ (trade union) [Jan GUZ]; Roman Catholic Church [Cardinal Jozef GLEMP]; Solidarity Trade Union [Janusz SNIADEK] |
| International organization participation: | ACCT (observer), Arctic Council (observer), Australia Group, BIS, BSEC (observer), CBSS, CE, CEI, CERN, EAPC, EBRD, EIB, EU, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, MINURSO, MONUC, NAM (guest), NATO, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNIFIL, UNMEE, UNMIL, UNMIS, UNOCI, UNOMIG, UPU, WCL, WCO, WEU (associate), WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Janusz REITER |
| Diplomatic representation in the US: | chancery: 2640 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-3800 through 3802 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-6271 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Victor ASHE |
| Diplomatic representation from the US: | embassy: Aleje Ujazdowskie 29/31 00-540 Warsaw |
| Diplomatic representation from the US: | mailing address: American Embassy Warsaw, US Department of State, Washington, DC 20521-5010 (pouch) |
| Diplomatic representation from the US: | telephone: [48] (22) 504-2000 |
| Diplomatic representation from the US: | FAX: [48] (22) 504-2688 |
| Diplomatic representation from the US: | consulate(s) general: Krakow |
| Flag description: | two equal horizontal bands of white (top) and red; similar to the flags of Indonesia and Monaco which are red (top) and white |
