| Government |
| Political parties and leaders: | Coalition for Poland or KdP [first name unknown GRABOWSKI]; Confederation for an Independent Poland-Patriotic Camp or KPN-OP (KPN-Fatherland or KPN-O is a small group within the KPN-OP) [Michal JANISZEWSKI]; Democratic Left Alliance or SLD (Social Democracy of Poland) [Leszek MILLER]; Freedom Union or UW [Bronislaw GEREMEK]; German Minority of Lower Silesia or MNSO [Henryk KROLL]; Movement for the Reconstruction of Poland or ROP-PC [Jan OLSZEWSKI]; Polish Accord or PP [Jan LOPUSZANSKI]; Polish Peasant Party or PSL [Jaroslaw KALINOWSKI]; Polish Socialist Party or PPS [Piotr IKONOWICZ]; Solidarity Electoral Action or AWS (includes RS-AWS and Solidarity) [Marian KRZAKLEWSKI]; Social Movement-Solidarity Electoral Action or RS-AWS [Jerzy BUZEK] |
| Political pressure groups and leaders: | All Poland Trade Union Alliance or OPZZ (trade union); Roman Catholic Church; Solidarity (trade union) |
| International organization participation: | ACCT (observer), Australia Group, BIS, BSEC (observer), CBSS, CCC, CE, CEI, CERN, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA (observer), IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MINURSO, MONUC, NAM (guest), NATO, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNIFIL, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOT, UNOMIG, UPU, WCL, WEU (associate), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Przemyslaw GRUDZINSKI |
| Diplomatic representation in the US: | chancery: 2640 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-3800 through 3802 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-6271 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, and New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Christopher R. HILL |
| Diplomatic representation from the US: | embassy: Aleje Ujazdowskie 29/31 00-054, Warsaw P1 |
| Diplomatic representation from the US: | mailing address: American Embassy Warsaw, US Department of State, Washington, DC 20521-5010 (pouch) |
| Diplomatic representation from the US: | telephone: [48] (22) 628-30-41 |
| Diplomatic representation from the US: | FAX: [48] (22) 628-82-98 |
| Diplomatic representation from the US: | consulate(s) general: Krakow |
| Flag description: | two equal horizontal bands of white (top) and red; similar to the flags of Indonesia and Monaco which are red (top) and white |
