| Government | POLAND |
| Judicial branch: | judge selection and term of office: president of the Supreme Court nominated by the General Assembly of the Supreme Court and selected by the president of Poland; other judges nominated by the 25-member National Judiciary Council, and appointed by the president of Poland; judges appointed until retirement, usually at age 65, but tenure can be extended |
| Judicial branch: | subordinate courts: Constitutional Tribunal; regional and appellate courts subdivided into military, civil, criminal, labor, and family courts |
| Political parties and leaders: | A Just Poland (union of PR and SP) [Jaroslaw GOWIN] |
| Political parties and leaders: | Civic Platform or PO [Ewa KOPACZ,chairperson; Rafal GRUPINSKI, parliamentary caucus leader] |
| Political parties and leaders: | Democratic Left Alliance or SLD [Leszek MILLER, chairman, parliamentary caucus leader] |
| Political parties and leaders: | German Minority of Lower Silesia or MNSO [Ryszard GALLA, representative] |
| Political parties and leaders: | Law and Justice or PiS [Jaroslaw KACZYNSKI, chairman; Mariusz BLASZCZAK, parliamentary caucus leader] |
| Political parties and leaders: | New Right Congress or KNP [Michal MARUSIK, chairman] |
| Political parties and leaders: | Poland Together or PR [Jaroslaw GOWIN, chairman] |
| Political parties and leaders: | Polish People's Party or PSL [Janusz PIECHOCINSKI, chairman; Jan BURY, parliamentary caucus leader] |
| Political parties and leaders: | Social Democratic Party of Poland or SDPL [Wojciech FILEMONOWICZ, chairman] |
| Political parties and leaders: | United Poland or SP [Zbigniew ZIOBRO, chairperson] |
| Political parties and leaders: | Your Movement or TR [Janusz PALIKOT, chairman, parliamentary caucus leader] |
| Political pressure groups and leaders: | All Poland Trade Union Alliance or OPZZ [Jan GUZ] (trade union) |
| Political pressure groups and leaders: | Independent Self-Governing Trade Union "Solidarity" [Piotr DUDA] |
| Political pressure groups and leaders: | Roman Catholic Church [Archbishop Wojciech POLAK, Archbishop Stanislaw GADECKI] |
| International organization participation: | Arctic Council (observer), Australia Group, BIS, BSEC (observer), CBSS, CD, CE, CEI, CERN, EAPC, EBRD, ECB, EIB, ESA, EU, FAO, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Ryszard SCHNEPF (since 28 September 2012) |
| Diplomatic representation in the US: | chancery: 2640 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-3800 through 3802 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-6271 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Stephen MULL (since 24 October 2012) |
| Diplomatic representation from the US: | embassy: Aleje Ujazdowskie 29/31 00-540 Warsaw |
| Diplomatic representation from the US: | mailing address: American Embassy Warsaw, US Department of State, Washington, DC 20521-5010 (pouch) |
| Diplomatic representation from the US: | telephone: [48] (22) 504-2000 |
| Diplomatic representation from the US: | FAX: [48] (22) 504-2688 |
| Diplomatic representation from the US: | consulate(s) general: Krakow |
| Flag description: | two equal horizontal bands of white (top) and red; colors derive from the Polish emblem - a white eagle on a red field |
| Flag description: | note: similar to the flags of Indonesia and Monaco which are red (top) and white |
| National symbol(s): | white eagle; national colors: white, red |
| National anthem: | name: "Mazurek Dabrowskiego" (Dabrowski's Mazurka) |
| National anthem: | lyrics/music: Jozef WYBICKI/traditional |
| National anthem: | note: adopted 1927; the anthem, commonly known as "Jeszcze Polska nie zginela" (Poland Has Not Yet Perished), was written in 1797; the lyrics resonate strongly with Poles because they reflect the numerous occasions in which the nation's lands have been occupied |
