| Government | Poland |
| Political parties and leaders: | Catholic-National Movement or RKN [Antoni MACIEREWICZ]; Citizens Platform or PO [Donald TUSK]; Conservative Peasants Party or SKL-RNP [Artur BALAZS]; Democratic Left Alliance or SLD [Leszek MILLER]; Freedom Union or UW [Wladyslaw FRASYNIUK]; German Minority of Lower Silesia or MNSO [Henryk KROLL]; Law and Justice or PiS [Jaroslaw KACZYNSKI]; League of Polish Families or LPR [Marek KOTLINOWSKI]; Movement for the Reconstruction of Poland or ROP [Jan OLSZEWSKI]; Peasant-Democratic Party or PLD [Roman JAGIELINSKI]; Polish Accord or PP [Jan LOPUSZANSKI]; Polish Peasant Bloc or PBL [Wojciech MOJZESOWICZ]; Polish Peasant Party or PSL [Jaroslaw KALINOWSKI]; Samoobrona [Andrzej LEPPER]; Social Movement or RS [Krzysztof PIESIEWICZ]; Union of Labor or UP [Marek POL] |
| Political pressure groups and leaders: | All Poland Trade Union Alliance or OPZZ (trade union) [Maciej MANICKI]; Roman Catholic Church [Cardinal Jozef GLEMP]; Solidarity Trade Union [Janusz SNIADEK] |
| International organization participation: | ACCT (observer), Australia Group, BIS, BSEC (observer), CBSS, CE, CEI, CERN, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA (observer), IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURSO, MONUC, NAM (guest), NATO, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNIFIL, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMOP, UNMOT, UNOMIG, UPU, WCL, WCO, WEU (associate), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Przemyslaw GRUDZINSKI |
| Diplomatic representation in the US: | chancery: 2640 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-6270 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, and New York |
| Diplomatic representation in the US: | telephone: [1] (202) 234-3800 through 3802 |
| Diplomatic representation from the US: | chief of mission: Ambassador Christopher R. HILL |
| Diplomatic representation from the US: | embassy: Aleje Ujazdowskie 29/31 00-540 Warsaw P1 |
| Diplomatic representation from the US: | mailing address: American Embassy Warsaw, US Department of State, 5010 Warsaw Place, Washington, DC 20521-5010 (pouch) |
| Diplomatic representation from the US: | telephone: [48] (22) 504-2000 |
| Diplomatic representation from the US: | FAX: [48] (22) 504-2951 |
| Diplomatic representation from the US: | consulate(s) general: Krakow |
| Flag description: | two equal horizontal bands of white (top) and red; similar to the flags of Indonesia and Monaco which are red (top) and white |
