| Government | Paraguay |
| Diplomatic representation from the US: | Ambassador Liliana AYALDE |
| Diplomatic representation from the US: | embassy: 1776 Avenida Mariscal Lopez, Casilla Postal 402, Asuncion |
| Diplomatic representation from the US: | mailing address: Unit 4711, APO AA 34036-0001 |
| Diplomatic representation from the US: | telephone: [595] (21) 213-715 |
| Diplomatic representation from the US: | FAX: [595] (21) 228-603 |
| Flag description: | three equal, horizontal bands of red (top), white, and blue with an emblem centered in the white band; unusual flag in that the emblem is different on each side; the obverse (hoist side at the left) bears the national coat of arms (a yellow five-pointed star within a green wreath capped by the words REPUBLICA DEL PARAGUAY, all within two circles); the reverse (hoist side at the right) bears a circular seal of the treasury (a yellow lion below a red Cap of Liberty and the words PAZ Y JUSTICIA (Peace and Justice)); red symbolizes bravery and patriotism, white represents integrity and peace, and blue denotes liberty and generosity |
| Flag description: | note: the three color bands resemble those on the flag of the Netherlands; one of only three national flags that differ on their obverse and reverse sides - the others are Moldova and Saudi Arabia |
| National symbol(s): | lion |
| National anthem: | name: "Paraguayos, Republica o muerte!" (Paraguayans, The Republic or Death!) |
| National anthem: | lyrics/music: Francisco Esteban ACUNA de Figueroa/disputed |
| National anthem: | note: adopted 1934, in use since 1846; the anthem was officially adopted following its re-arrangement in 1934 |
