| Government | Sudan |
| Judicial branch: | subordinate courts: National Court of Appeals; other national courts (not specified in the 2005 Interim National Constitution as to national or local authority); township and rural (peoples') courts |
| Political parties and leaders: | Democratic Unionist Party or DUP [Muhammad Uthman al-MIRGHANI] |
| Political parties and leaders: | Muslim Brotherhood or MB |
| Political parties and leaders: | National Congress Party or NCP [Umar Hassan al-BASHIR] |
| Political parties and leaders: | National Umma Party or UP [Siddiq al-MAHDI] |
| Political parties and leaders: | Popular Congress Party or PCP [Hassan al-TURABI] |
| Political parties and leaders: | Reform Now Party or RNP [Dr. Ghazi Salah ADDEEN] |
| Political parties and leaders: | Sudanese Communist Party (SCP) [Mohammed Moktar Al-KHATEEB] |
| Political parties and leaders: | Sudanese Congress Party [Ibrahim Al Shiek ABDULRAHMAN] |
| Political parties and leaders: | Unionist Movement Party or UMP [Nagla AL-AZHARI] |
| Political pressure groups and leaders: | Sudan People's Liberation Movement-North (SPLM-N) [Malik AGAR] |
| Political pressure groups and leaders: | Sudan Revolutionary Front (SRF) [Malik AGAR] |
| Political pressure groups and leaders: | National Consensus Front (NCF) [Farouq ABU ISSA] |
| Political pressure groups and leaders: | Darfur rebel groups including the Justice and Equality Movement or JEM [Gibril Fidail IBRAHIM], the Sudan Liberation Movement or SLM-AW [Abdel Wahid NUR] [various factional leaders], Sudan Liberation or SLM-MM /[Minni Arkou MINAWI] |
| International organization participation: | ABEDA, ACP, AfDB, AFESD, AMF, AU, CAEU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OIC, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Elhafiz Eisa Abdulla ADAM |
| Diplomatic representation in the US: | chancery: 2210 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 338-8565 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-2406 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Deputy Chief of Mission Christopher ROWAN (since December 2012) |
| Diplomatic representation from the US: | embassy: Sharia Ali Abdul Latif Street, Khartoum |
| Diplomatic representation from the US: | mailing address: P.O. Box 699, Kilo 10, Soba, Khartoum; APO AE 09829 |
| Diplomatic representation from the US: | telephone: [249] (187)-0-(22000) |
| Diplomatic representation from the US: | FAX: [249] (183) 774-137 |
| Flag description: | three equal horizontal bands of red (top), white, and black with a green isosceles triangle based on the hoist side; colors and design based on the Arab Revolt flag of World War I, but the meanings of the colors are expressed as follows: red signifies the struggle for freedom, white is the color of peace, light, and love, black represents Sudan itself (in Arabic 'Sudan' means black), green is the color of Islam, agriculture, and prosperity |
| National symbol(s): | secretary bird |
| National anthem: | name: "Nahnu Djundulla Djundulwatan" (We Are the Army of God and of Our Land) |
| National anthem: | lyrics/music: Sayed Ahmad Muhammad SALIH/Ahmad MURJAN |
| National anthem: | note: adopted 1956; the song originally served as the anthem of the Sudanese military |
