| Government | Namibia |
| Legislative branch: | National Council - elections for regional councils to determine members of the National Council held on 27 November 2015 (next to be held in November 2020) |
| Legislative branch: | National Assembly - last held on 28 November 2014 (next to be held in November 2019) |
| Legislative branch: | election results: |
| Legislative branch: | National Council - percent of vote by party - NA; seats by party - SWAPO 40, NUDO 1, DTA 1 |
| Legislative branch: | National Assembly - percent of vote by party - SWAPO 80.0%, DTA 4.8%, RDP 3.5%, APP 2.3%, UDF 2.1%, NUDO 2.0%, CPN 1.5%, other 3.8%; seats by party - SWAPO 77, DTA 5, RDP 3, APP 2, UDF 2, NUDO 2, CPN 2, SWANU 1, UPM 1, RP 1 |
| Political parties and leaders: | All People's Party or APP [Ignatius SHIXWAMENI] |
| Political parties and leaders: | Communist Party of Namibia or CPN (formerly known as Workers' Revolutionary Party or WRP) [Attie BEUKES and Harry BOESAK] |
| Political parties and leaders: | Democratic Turnhalle Alliance of Namibia or DTA [McHenry VENAANI] |
| Political parties and leaders: | National Unity Democratic Organization or NUDO [Asser MBAI] |
| Political parties and leaders: | Rally for Democracy and Progress or RDP [Jeremiah NAMBINGA] |
| Political parties and leaders: | Republican Party or RP [Henk MUDGE] |
| Political parties and leaders: | South West Africa National Union or SWANU [Usutuaije MAAMBERUA] |
| Political parties and leaders: | South West Africa People's Organization or SWAPO [Hage GEINGOB] |
| Political parties and leaders: | United Democratic Front or UDF [Apius AUCHAB] |
| Political parties and leaders: | United People's Movement or UPM [Jan J. VAN WYK] |
| International organization participation: | ACP, AfDB, AU, C, CD, CPLP (associate observer), FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, SACU, SADC, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Helena Elizabeth GRAY (since 26 March 2018) |
| Diplomatic representation in the US: | chancery: 1605 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-0540 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-0443 |
| Diplomatic representation from the US: | chief of mission: Ambassador Lisa A. JOHNSON (since 21 November 2017) |
| Diplomatic representation from the US: | embassy: 14 Lossen Street, Windhoek |
| Diplomatic representation from the US: | mailing address: Private Bag 12029 Ausspannplatz, Windhoek |
| Diplomatic representation from the US: | telephone: [264] (061) 295-8500 |
| Diplomatic representation from the US: | FAX: [264] (061) 295-8603 |
| Flag description: | a wide red stripe edged by narrow white stripes divides the flag diagonally from lower hoist corner to upper fly corner; the upper hoist-side triangle is blue and charged with a golden-yellow, 12-rayed sunburst; the lower fly-side triangle is green; red signifies the heroism of the people and their determination to build a future of equal opportunity for all; white stands for peace, unity, tranquility, and harmony; blue represents the Namibian sky and the Atlantic Ocean, the country's precious water resources and rain; the golden-yellow sun denotes power and existence; green symbolizes vegetation and agricultural resources |
| National symbol(s): | oryx (antelope); national colors: blue, red, green, white, yellow |
| National anthem: | name: Namibia, Land of the Brave |
| National anthem: | lyrics/music: Axali DOESEB |
| National anthem: | note: adopted 1991 |
