| Government | Namibia |
| Legislative branch: | election results: National Council - percent of vote by party - NA; seats by party - SWAPO 40, NUDO 1, DPM 1; composition - men 32, women 10, percent of women 23.8% |
| Legislative branch: | National Assembly - percent of vote by party - SWAPO 65.5%, PDM 16.6%, LPM 4.7%, NUDO 1.9%, APP 1.8%, UDF 1.8%, RP 1.8%, NEFF 1.7%, RDP 1.1%, CDV .7%, SWANU .6%, other 1.8%; seats by party - SWAPO 63, PDM 16, LPM 4, NUDO 2, APP 2, UDF 2, RP 2, NEFF 2, RDP 1, CDV 1, SWANU 1; composition - NA |
| Judicial branch: | highest courts: Supreme Court (consists of the chief justice and at least 3 judges in quorum sessions) |
| Judicial branch: | judge selection and term of office: judges appointed by the president of Namibia upon the recommendation of the Judicial Service Commission; judges serve until age 65, but terms can be extended by the president until age 70 |
| Judicial branch: | subordinate courts: High Court; Electoral Court, Labor Court; regional and district magistrates' courts; community courts |
| Political parties and leaders: | All People's Party or APP [Ignatius SHIXWAMENI] |
| Political parties and leaders: | Christian Democratic Voice or CDV [Gothard KANDUME] |
| Political parties and leaders: | Landless People's Movement or LPM [Bernadus SWARTBOOI] |
| Political parties and leaders: | National Unity Democratic Organization or NUDO [Estes MUINJANGUE] |
| Political parties and leaders: | Namibian Economic Freedom Fighters or NEFF [Epafras MUKWIILONGO] |
| Political parties and leaders: | Popular Democratic Movement or PDM (formerly DTA) [McHenry VENAANI] |
| Political parties and leaders: | Rally for Democracy and Progress or RDP [Mike KAVEKOTORA] |
| Political parties and leaders: | Republican Party or RP [Henk MUDGE] |
| Political parties and leaders: | South West Africa National Union or SWANU [Tangeni IIYAMBO] |
| Political parties and leaders: | South West Africa People's Organization or SWAPO [Hage GEINGOB] |
| Political parties and leaders: | United Democratic Front or UDF [Apius AUCHAB] |
| Political parties and leaders: | United People's Movement or UPM [Jan J. VAN WYK] |
| Political parties and leaders: | Workers' Revolutionary Party or WRP (formerly CPN) [MPs Salmon FLEERMUYS and Benson KAAPALA] |
| International organization participation: | ACP, AfDB, AU, C, CD, CPLP (associate observer), FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, SACU, SADC, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Charge d'Affaires Jerome Mutamba MUTAMBA (since 3 August 2020) |
| Diplomatic representation in the US: | chancery: 1605 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 986-0540 |
| Diplomatic representation in the US: | FAX: [1] (202) 986-0443 |
| Diplomatic representation from the US: | chief of mission: Ambassador Lisa A. JOHNSON (since 3 February 2018) |
| Diplomatic representation from the US: | telephone: [264] (061) 295-8500 |
| Diplomatic representation from the US: | embassy: 14 Lossen Street, Windhoek |
| Diplomatic representation from the US: | mailing address: Private Bag 12029 Ausspannplatz, Windhoek |
| Diplomatic representation from the US: | FAX: [264] (061) 295-8603 |
| Flag description: | a wide red stripe edged by narrow white stripes divides the flag diagonally from lower hoist corner to upper fly corner; the upper hoist-side triangle is blue and charged with a golden-yellow, 12-rayed sunburst; the lower fly-side triangle is green; red signifies the heroism of the people and their determination to build a future of equal opportunity for all; white stands for peace, unity, tranquility, and harmony; blue represents the Namibian sky and the Atlantic Ocean, the country's precious water resources and rain; the golden-yellow sun denotes power and existence; green symbolizes vegetation and agricultural resources |
| National symbol(s): | oryx (antelope); national colors: blue, red, green, white, yellow |
| National anthem: | name: Namibia, Land of the Brave |
| National anthem: | lyrics/music: Axali DOESEB |
| National anthem: | note: adopted 1991 |
