| Government | Central African Republic |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - UNDP 16, URCA 11, RDC 8, MLPC 10, KNK 7, other 28, independent 60; composition - men 129, women 11, percent of women 7.9% |
| Judicial branch: | highest courts: Supreme Court or Cour Supreme (consists of NA judges); Constitutional Court (consists of 9 judges, at least 3 of whom are women) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president; Constitutional Court judge appointments - 2 by the president, 1 by the speaker of the National Assembly, 2 elected by their peers, 2 are advocates elected by their peers, and 2 are law professors elected by their peers; judges serve 7-year non-renewable terms |
| Judicial branch: | subordinate courts: high courts; magistrates' courts |
| Political parties and leaders: | Action Party for Development or PAD [El Hadj Laurent NGON-BABA] |
| Political parties and leaders: | Alliance for Democracy and Progress or ADP [Clement BELIBANGA] |
| Political parties and leaders: | Central African Democratic Rally or RDC [Desire Nzanga KOLINGBA] |
| Political parties and leaders: | Movement for Democracy and Development or MDD [Louis PAPENIAH] |
| Political parties and leaders: | Movement for the Liberation of the Central African People or MLPC [Martin ZIGUELE] |
| Political parties and leaders: | National Convergence (also known as Kwa Na Kwa) or KNK [Francois BOZIZE] |
| Political parties and leaders: | National Union for Democracy and Progress or UNDP [Amine MICHEL] |
| Political parties and leaders: | New Alliance for Progress or NAP [Jean-Jacques DEMAFOUTH] |
| Political parties and leaders: | Social Democratic Party or PSD [Enoch LAKOUE] |
| Political parties and leaders: | Union for Central African Renewal or URCA [Anicet-Georges DOLOGUELE] |
| International organization participation: | ACP, AfDB, AU, BDEAC, CEMAC, EITI (compliant country) (suspended), FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIC (observer), OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Martial NDOUBOU (since 17 September 2018) |
| Diplomatic representation in the US: | chancery: 2704 Ontario Road NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-7800 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-9893 |
| Diplomatic representation from the US: | chief of mission: Ambassador Lucy TAMLYN (since 6 February 2019) |
| Diplomatic representation from the US: | telephone: [236] 21 61 0200 |
| Diplomatic representation from the US: | embassy: Avenue David Dacko, Bangui |
| Diplomatic representation from the US: | mailing address: P.O. Box 924, Bangui |
| Diplomatic representation from the US: | FAX: [236] 21 61 4494 |
| Flag description: | four equal horizontal bands of blue (top), white, green, and yellow with a vertical red band in center; a yellow five-pointed star to the hoist side of the blue band; banner combines the Pan-African and French flag colors; red symbolizes the blood spilled in the struggle for independence, blue represents the sky and freedom, white peace and dignity, green hope and faith, and yellow tolerance; the star represents aspiration towards a vibrant future |
| National symbol(s): | elephant; national colors: blue, white, green, yellow, red |
| National anthem: | name: "Le Renaissance" (The Renaissance) |
| National anthem: | lyrics/music: Barthelemy BOGANDA/Herbert PEPPER |
| National anthem: | note: adopted 1960; Barthelemy BOGANDA wrote the anthem's lyrics and was the first prime minister of the autonomous French territory |
