| Government | Central African Republic |
| Political parties and leaders: | Patriotic Front for Progress or FPP [Alexandre Philippe GOUMBA] |
| Political parties and leaders: | People's Union for the Republic or UPR [Pierre Sammy MAKFOY] |
| Political parties and leaders: | Social Democratic Party or PSD [Enoch LAKOUE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, BDEAC, CEMAC, EITI (compliant country), FAO, FZ, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Stanislas MOUSSA-KEMBE (since 24 August 2009) |
| Diplomatic representation in the US: | chancery: 1618 22nd Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-7800 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-9893 |
| Diplomatic representation from the US: | chief of mission: Ambassador Laurence D. WOHLERS (since September 2010) |
| Diplomatic representation from the US: | embassy: Avenue David Dacko, Bangui |
| Diplomatic representation from the US: | mailing address: B. P. 924, Bangui |
| Diplomatic representation from the US: | telephone: [236] 21 61 02 00 |
| Diplomatic representation from the US: | FAX: [236] 21 61 44 94 |
| Diplomatic representation from the US: | note: the embassy temporarily suspended operations in December, 2012 |
| Flag description: | four equal horizontal bands of blue (top), white, green, and yellow with a vertical red band in center; a yellow five-pointed star to the hoist side of the blue band; banner combines the Pan-African and French flag colors; red symbolizes the blood spilled in the struggle for independence, blue represents the sky and freedom, white peace and dignity, green hope and faith, and yellow tolerance; the star represents aspiration towards a vibrant future |
| National symbol(s): | elephant |
| National anthem: | name: "Le Renaissance" (The Renaissance) |
| National anthem: | lyrics/music: Barthelemy BOGANDA/Herbert PEPPER |
| National anthem: | note: adopted 1960; Barthelemy BOGANDA, who wrote the anthem's lyrics, was the first prime minister of the autonomous French territory |
