| Government | Sweden |
| Judicial branch: | highest court(s): Supreme Court of Sweden (consists of 16 justices including the court chairman; Supreme Administrative Court (consists of 18 justices including the court president) |
| Judicial branch: | judge selection and term of office: Supreme Court and Supreme Administrative Court justices nominated by the Board of Judges, a 9-member nominating body consisting of high-level judges, prosecutors, and members of Parliament; justices appointed by the Government; following a probationary period, justices' appointments are permanent |
| Judicial branch: | subordinate courts: first instance and appellate general and administrative courts; specialized courts that handle cases such as land and environment, immigration, labor, markets, and patents |
| Political parties and leaders: | Center Party (Centerpartiet) or C [Annie LOOF] |
| Political parties and leaders: | Christian Democrats (Kristdemokraterna) or KD [Goran HAGGLUND] |
| Political parties and leaders: | Green Party (Miljopartiet de Grona); [spokespersons Asa ROMSON and Gustav FRIDOLIN] |
| Political parties and leaders: | Left Party (Vansterpartiet) (formerly Communist Party) or V [Jonas SJOSTEDT] |
| Political parties and leaders: | Liberal People's Party (Folkpartiet) or FP [Jan BJORKLUND] |
| Political parties and leaders: | Moderate Party (Moderaterna) [Fredrik REINFELDT] |
| Political parties and leaders: | Social Democratic Party (Socialdemokraterna) or SAP [Stefan LOFVEN] |
| Political parties and leaders: | Sweden Democrats (Sverigedemokraterna) or SD [Jimmie AKESSON] |
| Political pressure groups and leaders: | Children's Rights in Society |
| Political pressure groups and leaders: | Swedish Confederation of Professional Employees or TCO |
| Political pressure groups and leaders: | Swedish Trade Union Confederation (Landsorganisationen) or LO [Wanja LUNDBY-WEDIN] |
| Political pressure groups and leaders: | other: environmental groups; media |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Arctic Council, Australia Group, BIS, CBSS, CD, CE, CERN, EAPC, EBRD, EIB, EITI (implementing country), ESA, EU, FAO, FATF, G-9, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMISS, UNMOGIP, UNRWA, UNTSO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Bjorn O. LYRVALL (since 12 Semptember 2013) |
| Diplomatic representation in the US: | chancery: The House of Sweden, 2900 K Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 467-2600 |
| Diplomatic representation in the US: | FAX: [1] (202) 467-2699 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Mark Francis BRZEZINSKI (since 14 November 2011) |
| Diplomatic representation from the US: | embassy: Dag Hammarskjolds Vag 31, SE-11589 Stockholm |
| Diplomatic representation from the US: | mailing address: American Embassy Stockholm, US Department of State, 5750 Stockholm Place, Washington, DC 20521-5750 |
| Diplomatic representation from the US: | telephone: [46] (08) 783 53 00 |
| Diplomatic representation from the US: | FAX: [46] (08) 661 19 64 |
| Flag description: | blue with a golden yellow cross extending to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag); the colors reflect those of the Swedish coat of arms - three gold crowns on a blue field |
| National symbol(s): | three crowns; lion |
| National anthem: | name: "Du Gamla, Du Fria" (Thou Ancient, Thou Free) |
| National anthem: | lyrics/music: Richard DYBECK/traditional |
| National anthem: | note: in use since 1844; the anthem, also known as "Sang till Norden" (Song of the North), is based on a Swedish folk tune; it has never been officially adopted by the government; "Kungssangen" (The King's Song) serves as the royal anthem and is played in the presence of the royal family and during certain state ceremonies |
