| Government | SOMALIA |
| Legislative branch: | note: the inaugural House of the People was appointed in September 2012  by clan elders; slated for 2016, the National Parliament will become bicameral with the formation of an upper house that will consist of 54 seats with members indirectly elected by regional governing councils to serve 4-year terms |
| Judicial branch: | highest court(s): the provisional constitution stipulates the establishment of the Constitutional Court (consists of 5 judges including the chief judge and deputy chief judge); note - under the terms of the 2004 Transitional National Charter, a Supreme Court based in Mogadishu and an Appeal Court were established; yet most regions have reverted to local forms of conflict resolution, either secular, traditional Somali customary law, or sharia Islamic law |
| Judicial branch: | judge selection and term of office: judges appointed by the president upon proposal of the Judicial Service Commission, a 9-member judicial and administrative body; judge tenure NA |
| Judicial branch: | subordinate courts: federal- and federal member state-level courts; military courts; sharia (Islamic) courts |
| Political parties and leaders: | CADHI [Abdirahman IBRAHIM] |
| Political parties and leaders: | Cosmopolitan Democratic Party [Yarow Sharef ADEN] |
| Political parties and leaders: | Democratic Green Party of Somalia or DGPS [Abdullahi Y. MAHAMOUD] |
| Political parties and leaders: | Democratic Party of Somalia or DPS [Maslah Mohamed SIAD] |
| Political parties and leaders: | Green Leaf for Democracy or GLED |
| Political parties and leaders: | Hiil Qaran |
| Political parties and leaders: | Justice and Communist Party [Mohamed NUR] |
| Political parties and leaders: | Liberal Party of Somalia |
| Political parties and leaders: | National Unity Party (Xisbiga MIdnimo-Quaran) [Abdurahman BAADIYOW] |
| Political parties and leaders: | Peace and Development Party or PDP |
| Political parties and leaders: | Somali National Party or SNP [Mohammed Ameen Saeed AHMED] |
| Political parties and leaders: | Somali People's Party [Mahamud Hassan RAGE] |
| Political parties and leaders: | Somali Green Party (local chapter of Federation of Green Parties of Africa] |
| Political parties and leaders: | Tayo or TPP [Mohamed Abdullahi MOHAMED] |
| Political parties and leaders: | Tiir Party [Fadhil Sheik MOHAMUD] |
| Political parties and leaders: | United and Democratic Party [Salad Ali JELLE] |
| Political parties and leaders: | United Somali Parliamentarians |
| Political pressure groups and leaders: | other: numerous political associations and clan and sub-clan factions exist both in support and in opposition to the incumbent president |
| International organization participation: | ACP, AfDB, AFESD, AMF, AU, CAEU (candidate), FAO, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITSO, ITU, LAS, NAM, OIC, OPCW, OPCW (signatory), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WFTU (NGOs), WHO, WIPO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ahmed Issa AWAD (since 17 September 2015) |
| Diplomatic representation in the US: | chancery: 425 East 61st Street, Suite 702, New York City, NY 10021 |
| Diplomatic representation in the US: | telephone: [1] (212) 688-9410, 688-5046 |
| Diplomatic representation in the US: | FAX: [1] (212) 759-0651 |
| Diplomatic representation from the US: | the US does not have an embassy in Somalia; US interests are represented by the US Special Representative for Somalia, Ambassador James P. MCANULTY (since August 2013), operating out of the US Embassy in Nairobi, Kenya at United Nations Avenue, Nairobi; mailing address: Unit 64100, Nairobi; APO AE 09831; telephone: [254] (20) 363-6000; FAX [254] (20) 363-6157 |
| Flag description: | light blue with a large white five-pointed star in the center; the blue field was originally influenced by the flag of the UN, but today is said to denote the sky and the neighboring Indian Ocean; the five points of the star represent the five regions in the horn of Africa that are inhabited by Somali people: the former British Somaliland and Italian Somaliland (which together make up Somalia), Djibouti, Ogaden (Ethiopia), and the North East Province (Kenya) |
| National symbol(s): | leopard; national colors: blue, white |
| National anthem: | name: "Qolobaa Calankeed" (Every Nation Has its own Flag) |
| National anthem: | lyrics/music: lyrics/music: Abdullahi QARSHE |
| National anthem: | note: adopted 2012; written in 1959 |
| Government - note: | regional and local governing bodies continue to exist and control various areas of the country, including the self-declared Republic of Somaliland in northwestern Somalia and the semi-autonomous state of Puntland in northeastern Somalia |
