| Government | Mexico |
| Legislative branch: | bicameral National Congress or Congreso de la Union consists of the Senate or Camara de Senadores (128 seats; 96 members are elected by popular vote to serve six-year terms, and 32 seats are allocated on the basis of each party's popular vote) and the Federal Chamber of Deputies or Camara Federal de Diputados (500 seats; 300 members are elected by popular vote; remaining 200 members are allocated on the basis of each party's popular vote; to serve three-year terms) |
| Legislative branch: | elections: Senate - last held 2 July 2006 for all of the seats (next to be held 1 July 2012); Chamber of Deputies - last held 2 July 2006 (next to be held 5 July 2009) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PAN 52, PRI 33, PRD 26, PVEM 6, CD 5, PT 5, independent 1; Chamber of Deputies - percent of vote by party - NA; seats by party - PAN 206, PRD 127, PRI 106, PVEM 17, CD 17, PT 12, other 18 |
| Judicial branch: | Supreme Court of Justice or Suprema Corte de Justicia de la Nacion (justices or ministros are appointed by the president with consent of the Senate) |
| Political parties and leaders: | Convergence for Democracy or CD [Luis MALDONADO Venegas]; Institutional Revolutionary Party or PRI [Beatriz PAREDES]; Labor Party or PT [Alberto ANAYA Gutierrez]; Mexican Green Ecological Party or PVEM [Jorge Emilio GONZALEZ Martinez]; National Action Party (Partido Accion Nacional) or PAN [Manuel ESPINO Barrientos]; New Alliance Party (Partido Nueva Alianza) or PNA [Miguel Angel JIMENEZ Godinez]; Party of the Democratic Revolution (Partido de la Revolucion Democratica) or PRD [Leonel COTA Montano]; Social Democratic and Peasant Alternative Party (Partido Alternativa Socialdemocrata y Campesina) or Alternativa [Alberto BEGNE Guerra] |
| Political pressure groups and leaders: | Broad Progressive Front or FAP; Businessmen's Coordinating Council or CCE; Confederation of Employers of the Mexican Republic or COPARMEX; Confederation of Industrial Chambers or CONCAMIN; Confederation of Mexican Workers or CTM; Confederation of National Chambers of Commerce or CONCANACO; Coordinator for Foreign Trade Business Organizations or COECE; Federation of Unions Providing Goods and Services or FESEBES; National Chamber of Transformation Industries or CANACINTRA; National Peasant Confederation or CNC; National Small Business Chamber or CANACOPE; National Syndicate of Education Workers or SNTE; National Union of Workers or UNT; Popular Assembly of the People of Oaxaca or APPO; Roman Catholic Church |
| International organization participation: | APEC, BCIE, BIS, CAN (observer), Caricom (observer), CDB, CE (observer), CSN (observer), EBRD, FAO, G-3, G-6, G-15, G-24, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAES, LAIA, NAFTA, NAM (observer), NEA, OAS, OECD, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNITAR, UNMOVIC, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Arturo SARUKHAN Casamitjana |
| Diplomatic representation in the US: | chancery: 1911 Pennsylvania Avenue NW, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: [1] (202) 728-1600 |
| Diplomatic representation in the US: | FAX: [1] (202) 728-1698 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Austin, Boston, Chicago, Dallas, Denver, El Paso, Houston, Los Angeles, Miami, New Orleans, New York, Nogales (Arizona), Omaha, Orlando, Phoenix, Sacramento, San Antonio, San Diego, San Francisco, San Jose, San Juan (Puerto Rico) |
| Diplomatic representation in the US: | consulate(s): Albuquerque, Brownsville (Texas), Calexico (California), Del Rio (Texas), Detroit, Douglas (Arizona), Eagle Pass (Texas), Fresno (California), Indianapolis (Indiana), Kansas City (Missouri), Laredo (Texas), Las Vegas, McAllen (Texas), Midland (Texas), Oxnard (California), Philadelphia, Portland (Oregon), Presidio (Texas), Raleigh, Saint Paul (Minnesota), Salt Lake City, San Bernardino, Santa Ana (California), Seattle, Tucson, Yuma (Arizona) |
| Diplomatic representation from the US: | chief of mission: Ambassador Antonio O. GARZA, Jr. |
| Diplomatic representation from the US: | embassy: Paseo de la Reforma 305, Colonia Cuauhtemoc, 06500 Mexico, Distrito Federal |
| Diplomatic representation from the US: | mailing address: P. O. Box 9000, Brownsville, TX 78520-9000 |
| Diplomatic representation from the US: | telephone: [52] (55) 5080-2000 |
| Diplomatic representation from the US: | FAX: [52] (55) 5511-9980 |
| Diplomatic representation from the US: | consulate(s) general: Ciudad Juarez, Guadalajara, Monterrey, Tijuana |
| Diplomatic representation from the US: | consulate(s): Hermosillo, Matamoros, Merida, Nogales, Nuevo Laredo |
| Flag description: | three equal vertical bands of green (hoist side), white, and red; the coat of arms (an eagle perched on a cactus with a snake in its beak) is centered in the white band |
