| Government | Mexico |
| Legislative branch: | bicameral National Congress or Congreso de la Union consists of the Senate or Camara de Senadores (128 seats; 96 members elected by popular vote to serve six-year terms, and 32 seats allocated on the basis of each party's popular vote) and the Chamber of Deputies or Camara de Diputados (500 seats; 300 members are elected by popular vote; remaining 200 members are allocated on the basis of each party's popular vote; members to serve three-year terms) |
| Legislative branch: | elections: Senate - last held on 1 July 2012 for all of the seats (next to be held on 1 July 2018); Chamber of Deputies - last held on 1 July 2012 (next to be held on 5 July 2015) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PRI 52, PAN 38, PRD 22, PVEM 9, PT 4, Movimiento Ciudadano 2, PANAL 1; Chamber of Deputies - percent of vote by party - NA; seats by party - PRI 208, PAN 114, PRD 100, PVEM 33, PT 19, Movimiento Ciudadano 16, PANAL 10 |
| Judicial branch: | Supreme Court of Justice or Suprema Corte de Justicia de la Nacion (justices or ministros are appointed by the president with consent of the Senate) |
| Political parties and leaders: | Citizen's Movement (Movimiento Ciudadano) [Luis WALTON Aburto]; Institutional Revolutionary Party (Partido Revolucionario Institucional) or PRI [Cesar CAMACHO Quiroz]; Labor Party (Partido del Trabajo) or PT [Alberto ANAYA Gutierrez]; Mexican Green Ecological Party (Partido Verde Ecologista de Mexico) or PVEM [vacant]; National Action Party (Partido Accion Nacional) or PAN [Gustavo MADERO Munoz]; New Alliance Party (Partido Nueva Alianza) or PNA/PANAL [Luis CASTRO Obregon]; Party of the Democratic Revolution (Partido de la Revolucion Democratica) or PRD [Jesus ZAMBRANO Grijalva] |
| Political pressure groups and leaders: | Businessmen's Coordinating Council or CCE; Confederation of Employers of the Mexican Republic or COPARMEX; Confederation of Industrial Chambers or CONCAMIN; Confederation of Mexican Workers or CTM; Confederation of National Chambers of Commerce or CONCANACO; Coordinator for Foreign Trade Business Organizations or COECE; Federation of Unions Providing Goods and Services or FESEBES; National Chamber of Transformation Industries or CANACINTRA; National Peasant Confederation or CNC; National Small Business Chamber or CANACOPE; National Syndicate of Education Workers or SNTE; National Union of Workers or UNT; Popular Assembly of the People of Oaxaca or APPO; Roman Catholic Church |
| International organization participation: | APEC, BCIE, BIS, CAN (observer), Caricom (observer), CD, CDB, CE (observer), CELAC, CSN (observer), EBRD, FAO, FATF, G-20, G-3, G-15, G-24, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, MIGA, NAFTA, NAM (observer), NEA, OAS, OECD, OPANAL, OPCW, Paris Club (associate), PCA, SICA (observer), UN, UNASUR (observer), UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina (observer), UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Eduardo MEDINA MORA Icaza |
| Diplomatic representation in the US: | chancery: 1911 Pennsylvania Avenue NW, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: [1] (202) 728-1600 |
| Diplomatic representation in the US: | FAX: [1] (202) 728-1698 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Austin, Boston, Chicago, Dallas, Denver, El Paso, Houston, Laredo (Texas), Los Angeles, Miami, New York, Nogales (Arizona), Phoenix, Sacramento, San Antonio, San Diego, San Francisco, San Jose, San Juan (Puerto Rico) |
| Diplomatic representation in the US: | consulate(s): Albuquerque, Anchorage (Alaska), Boise (Idaho), Brownsville (Texas), Calexico (California), Del Rio (Texas), Detroit, Douglas (Arizona), Eagle Pass (Texas), Fresno (California), Indianapolis (Indiana), Kansas City (Missouri), Las Vegas, Little Rock (Arkansas), McAllen (Texas), New Orleans, Omaha, Orlando, Oxnard (California), Philadelphia, Portland (Oregon), Presidio (Texas), Raleigh (North Carolina), Saint Paul, Salt Lake City, San Bernardino, Santa Ana (California), Seattle, Tucson, Washington DC, Yuma (Arizona); note - Washington DC Consular Section located in a separate building from the Mexican Embassy and has jurisdiction over DC, parts of Virginia, Maryland, and West Virginia |
| Diplomatic representation from the US: | chief of mission: Ambassador Earl Anthony WAYNE |
| Diplomatic representation from the US: | embassy: Paseo de la Reforma 305, Colonia Cuauhtemoc, 06500 Mexico, Distrito Federal |
| Diplomatic representation from the US: | mailing address: P. O. Box 9000, Brownsville, TX 78520-9000 |
| Diplomatic representation from the US: | telephone: [52] (55) 5080-2000 |
| Diplomatic representation from the US: | FAX: [52] (55) 5511-9980 |
| Diplomatic representation from the US: | consulate(s) general: Ciudad Juarez, Guadalajara, Hermosillo, Matamoros, Merida, Monterrey, Nogales, Nuevo Laredo, Tijuana |
| Flag description: | three equal vertical bands of green (hoist side), white, and red; Mexico's coat of arms (an eagle with a snake in its beak perched on a cactus) is centered in the white band; green signifies hope, joy, and love; white represents peace and honesty; red stands for hardiness, bravery, strength, and valor; the coat of arms is derived from a legend that the wandering Aztec people were to settle at a location where they would see an eagle on a cactus eating a snake; the city they founded, Tenochtitlan, is now Mexico City |
| Flag description: | note: similar to the flag of Italy, which is shorter, uses lighter shades of red and green, and does not have anything in its white band |
| National symbol(s): | golden eagle |
| National anthem: | name: "Himno Nacional Mexicano" (National Anthem of Mexico) |
| National anthem: | lyrics/music: Francisco Gonzalez BOCANEGRA/Jaime Nuno ROCA |
| National anthem: | note: adopted 1943, in use since 1854; the anthem is also known as "Mexicanos, al grito de Guerra" (Mexicans, to the War Cry); according to tradition, Francisco Gonzalez BOCANEGRA, an accomplished poet, was uninterested in submitting lyrics to a national anthem contest; his fiancee locked him in a room and refused to release him until the lyrics were completed |
