| Government | Yemen |
| Diplomatic representation from the US: | chief of mission: Ambassador Matthew H. TUELLER (since 10 June 2014) |
| Diplomatic representation from the US: | embassy: Sa'awan Street, Sanaa; note - Embassy closed in March 2015; moved to Riyadh, Saudi Arabia in 2018 |
| Diplomatic representation from the US: | mailing address: P. O. Box 22347, Sanaa |
| Diplomatic representation from the US: | telephone: Suspended Operations [966] 11-488-3800 (Embassy Riyadh) |
| Diplomatic representation from the US: | FAX: Suspended Operations [966] 11-488-7360 (Embassy Riyadh) |
| Flag description: | three equal horizontal bands of red (top), white, and black; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white) |
| Flag description: | note: similar to the flag of Syria, which has two green stars in the white band, and of Iraq, which has an Arabic inscription centered in the white band; also similar to the flag of Egypt, which has a heraldic eagle centered in the white band |
| National symbol(s): | golden eagle; national colors: red, white, black |
| National anthem: | name: "al-qumhuriyatu l-muttahida" (United Republic) |
| National anthem: | lyrics/music: Abdullah Abdulwahab NOA'MAN/Ayyoab Tarish ABSI |
| National anthem: | note: adopted 1990; the music first served as the anthem for South Yemen before unification with North Yemen in 1990 |
