| Government | Nigeria |
| Diplomatic representation from the US: | chief of mission: Ambassador James F. ENTWISTLE (since 28 October 2013) |
| Diplomatic representation from the US: | embassy: Plot 1075 Diplomatic Drive, Central District Area, Abuja |
| Diplomatic representation from the US: | mailing address: P. O. Box 5760, Garki, Abuja |
| Diplomatic representation from the US: | telephone: [234] (9) 461-4000 |
| Diplomatic representation from the US: | FAX: [234] (9) 461-4171 |
| Flag description: | three equal vertical bands of green (hoist side), white, and green; the color green represents the forests and abundant natural wealth of the country, white stands for peace and unity |
| National symbol(s): | eagle |
| National anthem: | name: "Arise Oh Compatriots, Nigeria's Call Obey" |
| National anthem: | lyrics/music: John A. ILECHUKWU, Eme Etim AKPAN, B. A. OGUNNAIKE, Sotu OMOIGUI and P. O. ADERIBIGBE/Benedict Elide ODIASE |
| National anthem: | note: adopted 1978; the lyrics are a mixture of five of the top entries in a national contest |
