| Government | Belgium |
| Legislative branch: | Chamber of Representatives - percent of vote by party - N-VA 16.0%, VB 11.9%, PS 9.5%, CD&V 8.9%, PVDA+/PTB 8.62%, Open VLD 8.5%, MR 7.6%, SP.A 6.7%, Ecolo 6.1%, Groen 6.1%, CDH 3.7%, Defi 2.2%, PP 1.1%, other 20.1%; seats by party - N-VA 25, VB 18, PS 20, CD&V 12, PVDA+PTB 12, Open VLD 12, MR 14, SP.A 9, Ecolo 13, Groen 8, CDH 5, Defi 2; composition - men 86, women 64, percent of women 42.7% |
| Legislative branch: | note: the 1993 constitutional revision that further devolved Belgium into a federal state created three levels of government (federal, regional, and linguistic community) with a complex division of responsibilities; this reality leaves six governments, each with its own legislative assembly; changes above occurred since the sixth state reform |
| Judicial branch: | highest courts: Constitutional Court or Grondwettelijk Hof (in Dutch) and Cour Constitutionelle (in French) (consists of 12 judges - 6 Dutch-speaking and 6 French-speaking); Supreme Court of Justice or Hof van Cassatie (in Dutch) and Cour de Cassation (in French) (court organized into 3 chambers: civil and commercial; criminal; social, fiscal, and armed forces; each chamber includes a Dutch division and a French division, each with a chairperson and 5-6 judges) |
| Judicial branch: | judge selection and term of office: Constitutional Court judges appointed by the monarch from candidates submitted by Parliament; judges appointed for life with mandatory retirement at age 70; Supreme Court judges appointed by the monarch from candidates submitted by the High Council of Justice, a 44-member independent body of judicial and non-judicial members; judges appointed for life |
| Judicial branch: | subordinate courts: Courts of Appeal; regional courts; specialized courts for administrative, commercial, labor, immigration, and audit issues; magistrate's courts; justices of the peace |
| Political parties and leaders: | Flemish parties: |
| Political parties and leaders: | Christian Democratic and Flemish or CD&V [Wouter BEKE] |
| Political parties and leaders: | Flemish Liberals and Democrats or Open VLD [Gwendolyn RUTTEN] |
| Political parties and leaders: | Groen [Meyrem ALMACI] (formerly AGALEV, Flemish Greens) |
| Political parties and leaders: | New Flemish Alliance or N-VA [Bart DE WEVER] |
| Political parties and leaders: | Social Progressive Alternative or SP.A [John CROMBEZ] |
| Political parties and leaders: | Vlaams Belang (Flemish Interest) or VB [Tom VAN GRIEKEN] |
| Political parties and leaders: | Francophone parties: |
| Political parties and leaders: | Ecolo (Francophone Greens) [Jean-Marc NOLLET, Zakia KHATTABI] |
| Political parties and leaders: | Francophone Federalist Democrats or Defi [Olivier MAINGAIN] |
| Political parties and leaders: | Humanist and Democratic Center or CDH [Maxine PREVOT] |
| Political parties and leaders: | People's Party or PP [Mischael MODRIKAMEN] |
| Political parties and leaders: | Reform Movement or MR [Charles MICHEL] |
| Political parties and leaders: | Socialist Party or PS [Elio DI RUPO] |
| Political parties and leaders: | Workers' Party or PTB [Peter MERTENS] |
| Political parties and leaders: | other minor parties |
| International organization participation: | ADB (nonregional members), AfDB (nonregional members), Australia Group, Benelux, BIS, CD, CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, G-9, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, Schengen Convention, SELEC (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNRWA, UNTSO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Jean Arthur REGIBEAU (since 17 September 2020) |
| Diplomatic representation in the US: | chancery: 3330 Garfield Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-6900 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-3079 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Ronald GIDWITZ (since 4 July 2018) |
| Diplomatic representation from the US: | telephone: [32] (2) 811-4000 |
| Diplomatic representation from the US: | embassy: 27 Boulevard du Regent [Regentlaan], B-1000 Brussels |
| Diplomatic representation from the US: | mailing address: PSC 82, Box 002, APO AE 09710 |
| Diplomatic representation from the US: | FAX: [32] (2) 811-4500 |
| Flag description: | three equal vertical bands of black (hoist side), yellow, and red; the vertical design was based on the flag of France; the colors are those of the arms of the duchy of Brabant (yellow lion with red claws and tongue on a black field) |
| National symbol(s): | golden rampant lion; national colors: red, black, yellow |
| National anthem: | name: "La Brabanconne" (The Song of Brabant) |
| National anthem: | lyrics/music: Louis-Alexandre DECHET[French] Victor CEULEMANS [Dutch]/Francois VAN CAMPENHOUT |
| National anthem: | note: adopted 1830; according to legend, Louis-Alexandre DECHET, an actor at the theater in which the revolution against the Netherlands began, wrote the lyrics with a group of young people in a Brussels cafe |
