| Government | Belgium |
| Political parties and leaders: | Flemish parties: Christian Democrats and Flemish or CDV [Jo VANDEURZEN]; Flemish Liberals and Democrats or Open VLD [Bart SOMERS]; GROEN! [Vera DUA] (formerly AGALEV, Flemish Greens); List Dedecker [Jean-Marie DEDECKER]; New Flemish Alliance or N-VA [Bart DE WEVER]; Social Progressive Alternative or SP.A [Johan Vande LANOTTE]; Spirit [Geert LAMBERT] (new party now associated with SP.A); Vlaams Belang (Flemish Interest) or VB [Frank VANHECKE] |
| Political parties and leaders: | Francophone parties: Ecolo (Francophone Greens) [Jean-Michel JAVAUX, Isabelle DURANT, Claude BROUIR]; Humanist and Democratic Center of CDH [Joelle MILQUET]; National Front or FN [Daniel FERET]; Reform Movement or MR [Didier REYNDERS]; Socialist Party or PS [Elio DI RUPO]; other minor parties |
| Political pressure groups and leaders: | Christian, Socialist, and Liberal Trade Unions; Federation of Belgian Industries; numerous other associations representing bankers, manufacturers, middle-class artisans, and the legal and medical professions; various organizations represent the cultural interests of Flanders and Wallonia; various peace groups such as Pax Christi and groups representing immigrants |
| International organization participation: | ACCT, AfDB, AsDB, Australia Group, Benelux, BIS, CE, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, G- 9, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUC, NATO, NEA, NSG, OAS (observer), OECD, OIF, ONUB, OPCW, OSCE, Paris Club, PCA, Schengen Convention, SECI (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNITAR, UNRWA, UNTSO, UPU, WADB (nonregional), WCL, WCO, WEU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Dominique STRUYE DE SWIELANDE |
| Diplomatic representation in the US: | chancery: 3330 Garfield Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-6900 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-3079 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation in the US: | consulate(s): Atlanta |
| Diplomatic representation from the US: | chief of mission: Ambassador Sam FOX |
| Diplomatic representation from the US: | embassy: Regentlaan 27 Boulevard du Regent, B-1000 Brussels |
| Diplomatic representation from the US: | mailing address: PSC 82, Box 002, APO AE 09710 |
| Diplomatic representation from the US: | telephone: [32] (2) 508-2111 |
| Diplomatic representation from the US: | FAX: [32] (2) 511-2725 |
| Flag description: | three equal vertical bands of black (hoist side), yellow, and red; the design was based on the flag of France |
