| Government | Belgium |
| Legislative branch: | note: as a result of the 1993 constitutional revision that furthered devolution into a federal state, there are now three levels of government (federal, regional, and linguistic community) with a complex division of responsibilities; this reality leaves six governments, each with its own legislative assembly |
| Judicial branch: | highest court(s): Constitutional Court or Grondwettelijk Hof in Dutch and Cour constitutionelle in French (consists of 12 judges - 6 Dutch-speaking and 6 French-speaking); Supreme Court of Justice or Hof van Cassatie in Dutch and Cour de Cassation in French (court organized into 3 chambers: civil and commercial; criminal; social, fiscal, and armed forces; each chamber includes a Dutch division and a French division, each with a chairperson and 5-6 judges) |
| Judicial branch: | judge selection and term of office: Constitutional Court judges appointed by the monarch from candidates submitted by Parliament; judges appointed for life with mandatory retirement at age 70; Supreme Court judges appointed by the monarch from candidates submitted by the  High Council of Justice, a 44-member independent body of judicial and non-judicial members; judges appointed for life |
| Judicial branch: | subordinate courts: Courts of Appeal; regional courts; specialized courts for administrative, commercial, labor, and audit issues; magistrate's courts; justices of the peace |
| Political parties and leaders: | Flemish parties: |
| Political parties and leaders: | Christian Democratic and Flemish or CD&V [Wouter BEKE] |
| Political parties and leaders: | Flemish Liberals and Democrats or Open VLD [Gwendolyn RUTTEN] |
| Political parties and leaders: | Groen! [Wouter VAN BESIEN] (formerly AGALEV, Flemish Greens) |
| Political parties and leaders: | Libertarian, Direct, Democratic or LDD (formerly Dedecker's List) [Jean-Marie DEDECKER] |
| Political parties and leaders: | New Flemish Alliance or N-VA [Bart DE WEVER] |
| Political parties and leaders: | Social Progressive Alternative or SP.A [Bruno TOBBACK] |
| Political parties and leaders: | Vlaams Belang (Flemish Interest) or VB [Gerolf ANNEMANS] |
| Francophone parties: | Ecolo (Francophone Greens) [Olivier DELEUZE, Emily HOYOS] |
| Francophone parties: | Humanist and Democratic Center or CDH [Benoit LUTGEN] |
| Francophone parties: | Popular Party or PP [ Mischael MODRIKAMEN] |
| Francophone parties: | Reform Movement or MR [Charles MICHEL] |
| Francophone parties: | Socialist Party or PS [Paul MAGNETTE] |
| Francophone parties: | other minor parties |
| Political pressure groups and leaders: | Federation of Belgian Industries |
| Political pressure groups and leaders: | other: trade unions; numerous other associations representing bankers, manufacturers, middle-class artisans, and the legal and medical professions; various organizations represent the cultural interests of Flanders and Wallonia; various peace groups such as Pax Christi and groups representing immigrants |
| International organization participation: | ADB (nonregional members), AfDB (nonregional members), Australia Group, Benelux, BIS, CD, CE, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, G-9, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NATO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Paris Club, PCA, Schengen Convention, SELEC (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNRWA, UNTSO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Jan MATTHYSEN (since 17 February 2008) |
| Diplomatic representation in the US: | chancery: 3330 Garfield Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-6900 |
| Diplomatic representation in the US: | FAX: [1] (202) 338-4960 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Denise BAUER (since 7 August 2013) |
| Diplomatic representation from the US: | embassy: 27 Boulevard du Regent [Regentlaan], B-1000 Brussels |
| Diplomatic representation from the US: | mailing address: PSC 82, Box 002, APO AE 09710 |
| Diplomatic representation from the US: | telephone: [32] (2) 811-4000 |
| Diplomatic representation from the US: | FAX: [32] (2) 811-4500 |
| Flag description: | three equal vertical bands of black (hoist side), yellow, and red; the vertical design was based on the flag of France; the colors are those of the arms of the duchy of Brabant (yellow lion with red claws and tongue on a black field) |
| National symbol(s): | lion |
| National anthem: | name: "La Brabanconne" (The Song of Brabant) |
| National anthem: | lyrics/music: Louis-Alexandre DECHET[French] Victor CEULEMANS [Dutch]/Francois VAN CAMPENHOUT |
| National anthem: | note: adopted 1830; Louis-Alexandre DECHET was an actor at the theater in which the revolution against the Netherlands began; according to legend, he wrote the lyrics with a group of young people in a Brussels cafe |
