| Government | MONGOLIA |
| Diplomatic representation in the US: | chancery: 2833 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-7117 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-9227 |
| Diplomatic representation in the US: | consulate(s) general: New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Jennifer Zimdahl GALT (since 5 October 2015) |
| Diplomatic representation from the US: | embassy: Denver Street |
| Diplomatic representation from the US: | mailing address: PSC 461, Box 300, FPO AP 96521-0002; P.O. Box 341, Ulaanbaatar-14192 |
| Diplomatic representation from the US: | telephone: [976] 7007-6001 |
| Diplomatic representation from the US: | FAX: [976] 7007-6016 |
| Flag description: | three, equal vertical bands of red (hoist side), blue, and red; centered on the hoist-side red band in yellow is the national emblem ("soyombo" - a columnar arrangement of abstract and geometric representation for fire, sun, moon, earth, water, and the yin-yang symbol); blue represents the sky, red symbolizes progress and prosperity |
| National symbol(s): | soyombo emblem; national colors: red, blue, yellow |
| National anthem: | name: "Mongol ulsyn toriin duulal" (National Anthem of Mongolia) |
| National anthem: | lyrics/music: Tsendiin DAMDINSUREN/Bilegiin DAMDINSUREN and Luvsanjamts MURJORJ |
| National anthem: | note: music adopted 1950, lyrics adopted 2006; lyrics altered on numerous occasions |
