| Government | Mongolia |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice and judges appointed by the president upon recommendation by the General Council of Courts - a 14-member body of judges and judicial officials - to the State Great Hural; appointment is for life; chairman of the Constitutional Court elected from among its members; members appointed from nominations by the State Great Hural - 3 each by the president, the State Great Hural, and the Supreme Court; appointment is 6 years; chairmanship limited to a single renewable 3-year term |
| Judicial branch: | subordinate courts: aimag (provincial) and capital city appellate courts; soum, inter-soum, and district courts; Administrative Cases Courts |
| Political parties and leaders: | Democratic Party or DP [Sodnomzundui ERDENE; resigned June 2020] |
| Political parties and leaders: | Mongolian National Democratic Party or MNDP [Bayanjargal TSOGTGEREL] |
| Political parties and leaders: | Mongolian People's Party or MPP [Ukhnaa KHURELSUKH] |
| Political parties and leaders: | Mongolian People's Revolutionary Party or MPRP [Nambar ENKHBAYAR] |
| Political parties and leaders: | Civil Will-Green Party or CWGP [Tserendorjiin GANKHUYAG] |
| Political parties and leaders: | Mongolian Traditionally United Party or MTUP [Batdelgeriin BATBOLD] |
| Political parties and leaders: | National Labor Party or HUN [B. NAIDALAA] |
| Political parties and leaders: | Mongolian Social Democratic Party or MSDP [A. GANBAATAR] |
| Political parties and leaders: | Justice Party [B. NASANBILEG] |
| Political parties and leaders: | note - there are 36 total registered parties as of March 2020 |
| International organization participation: | ADB, ARF, CD, CICA, CP, EBRD, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUSCO, NAM, OPCW, OSCE, SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNMISS, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Yondon OTGONBAYAR (since 28 March 2018) |
| Diplomatic representation in the US: | chancery: 2833 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-7117 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-9227 |
| Diplomatic representation in the US: | consulate(s) general: New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael S. KLECHESKI (since 22 February 2019) |
| Diplomatic representation from the US: | telephone: [976] 7007-6001 |
| Diplomatic representation from the US: | embassy: Denver Street #3, 11th Micro-District, Ulaanbaatar 14190 |
| Diplomatic representation from the US: | mailing address: P.O. Box 341, Ulaanbaatar 14192 |
| Diplomatic representation from the US: | FAX: [976] 7007-6016 |
| Flag description: | three, equal vertical bands of red (hoist side), blue, and red; centered on the hoist-side red band in yellow is the national emblem ("soyombo" - a columnar arrangement of abstract and geometric representation for fire, sun, moon, earth, water, and the yin-yang symbol); blue represents the sky, red symbolizes progress and prosperity |
| National symbol(s): | soyombo emblem; national colors: red, blue, yellow |
| National anthem: | name: "Mongol ulsyn toriin duulal" (National Anthem of Mongolia) |
| National anthem: | lyrics/music: Tsendiin DAMDINSUREN/Bilegiin DAMDINSUREN and Luvsanjamts MURJORJ |
| National anthem: | note: music adopted 1950, lyrics adopted 2006; lyrics altered on numerous occasions |
