| Government | Ghana |
| Judicial branch: | highest court(s): Supreme Court (consists of a chief justice and 12 justices) |
| Judicial branch: | judge selection and term of office: chief justice appointed by the president in consultation with the Council of State (a small advisory body of prominent citizens) and with the approval of Parliament; other justices appointed by the president upon the advice of the Judicial Council (an 18-member independent body of judicial, military and police officials, and presidential nominees) and on the advice of the Council of State; justices can retire at age 60, with compulsory retirement at age 70 |
| Judicial branch: | subordinate courts: Court of Appeal; High Court; Circuit Court; District Court; regional tribunals |
| Political parties and leaders: | Convention People's Party or CPP [Samia NKRUMAH] |
| Political parties and leaders: | Democratic Freedom Party or DFP [Obed Yao ASAMOAH] |
| Political parties and leaders: | Democratic People’s Party or DPP [T.N. WARD BREW] |
| Political parties and leaders: | Every Ghanaian Living Everywhere or EGLE [Henry GIDI] |
| Political parties and leaders: | Great Consolidated Popular Party or GCPP [vacant] |
| Political parties and leaders: | National Democratic Congress or NDC [Dr. Kwabena ADJEI] |
| Political parties and leaders: | National Democratic Party or NDP [Nii Armah JOSIAH-AYEH] |
| Political parties and leaders: | New Patriotic Party or NPP [Jake OBETSEBI-LAMPEY] |
| Political parties and leaders: | People's National Convention or PNC [Alhaji Amed RAMADAN] |
| Political parties and leaders: | National Reform Party [Peter KPORDUGBE] |
| Political parties and leaders: | United Renaissance Party or URP [Kofi WAYO] |
| Political pressure groups and leaders: | Christian Aid (water rights) |
| Political pressure groups and leaders: | Committee for Joint Action or CJA (education reform) |
| Political pressure groups and leaders: | National Coalition Against the Privatization of Water or CAP (water rights) |
| Political pressure groups and leaders: | Oxfam (water rights) |
| Political pressure groups and leaders: | Public Citizen (water rights) |
| Political pressure groups and leaders: | Students Coalition Against EPA [Kwabena Ososukene OKAI] (education reform) |
| Political pressure groups and leaders: | Third World Network (education reform) |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, EITI (compliant country), FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MONUSCO, NAM, OAS (observer), OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Daniel Ohene AGYEKUM (since 7 December 2009) |
| Diplomatic representation in the US: | chancery: 3512 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 686-4520 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-4527 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Gene A. CRETZ (since 11 September 2012) |
| Diplomatic representation from the US: | embassy: 24 Fourth Circular Rd., Cantonments, Accra |
| Diplomatic representation from the US: | mailing address: P. O. Box 194, Accra |
| Diplomatic representation from the US: | telephone: [233] 30-2741-000 |
| Diplomatic representation from the US: | FAX: [233] 30-2741-389 |
| Flag description: | three equal horizontal bands of red (top), yellow, and green, with a large black five-pointed star centered in the yellow band; red symbolizes the blood shed for independence, yellow represents the country's mineral wealth, while green stands for its forests and natural wealth; the black star is said to be the lodestar of African freedom |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; similar to the flag of Bolivia, which has a coat of arms centered in the yellow band |
| National symbol(s): | black star; golden eagle |
| National anthem: | name: "God Bless Our Homeland Ghana" |
| National anthem: | lyrics/music: unknown/Philip GBEHO |
| National anthem: | note: music adopted 1957, lyrics adopted 1966; the lyrics were changed twice, once when a republic was declared in 1960 and again after a 1966 coup |
