| Government | Czechia |
| Political parties and leaders: | North Bohemians or S.cz [Bronislav SCHWARZ] |
| Political parties and leaders: | Party of Civic Rights or SPO [Lubomir NECAS] |
| Political parties and leaders: | Pirate Party or Pirates [Ivan BARTOS] |
| Political parties and leaders: | Tradition Responsibility Prosperity 09 or TOP 09 [Jiri POSPISIL] |
| International organization participation: | Australia Group, BIS, BSEC (observer), CD, CE, CEI, CERN, EAPC, EBRD, ECB, EIB, ESA, EU, FAO, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NATO, NEA, NSG, OAS (observer), OECD, OIF (observer), OPCW, OSCE, PCA, Schengen Convention, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Hynek KMONICEK (since 24 April 2017) |
| Diplomatic representation in the US: | chancery: 3900 Spring of Freedom Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 274-9100 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-8540 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Stephen B. KING (since 6 December 2017) |
| Diplomatic representation from the US: | embassy: Trziste 15, 118 01 Prague 1 - Mala Strana |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [420] 257 022 000 |
| Diplomatic representation from the US: | FAX: [420] 257 022 809 |
| Flag description: | two equal horizontal bands of white (top) and red with a blue isosceles triangle based on the hoist side |
| Flag description: | note: combines the white and red colors of Bohemia with blue from the arms of Moravia; is identical to the flag of the former Czechoslovakia |
| National symbol(s): | silver (or white), double-tailed, rampant lion; national colors: white, red, blue |
| National anthem: | name: "Kde domov muj?" (Where is My Home?) |
| National anthem: | lyrics/music: Josef Kajetan TYL/Frantisek Jan SKROUP |
| National anthem: | note: adopted 1993; the anthem was originally written as incidental music to the play "Fidlovacka" (1834), it soon became very popular as an unofficial anthem of the Czech nation; its first verse served as the official Czechoslovak anthem beginning in 1918, while the second verse (Slovak) was dropped after the split of Czechoslovakia in 1993 |
