| Government | Haiti |
| Political pressure groups and leaders: | Autonomous Organizations of Haitian Workers or CATH [Fignole ST-CYR]; Confederation of Haitian Workers or CTH; Federation of Workers Trade Unions or FOS; General Organization of Independent Haitian Workers [Patrick NUMAS]; Grand-Anse Resistance Committee, or KOREGA; National Popular Assembly or APN; Papaye Peasants Movement or MPP [Chavannes JEAN-BAPTISTE]; Popular Organizations Gathering Power or PROP; Protestant Federation of Haiti; Roman Catholic Church |
| International organization participation: | ACP, AOSIS, Caricom, CDB, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITSO, ITU, ITUC, LAES, MIGA, NAM, OAS, OIF, OPANAL, OPCW, PCA, PetroCaribe, RG, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Louis Harold JOSEPH |
| Diplomatic representation in the US: | chancery: 2311 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-4090 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-7215 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Miami, New York, San Juan (Puerto Rico) |
| Diplomatic representation in the US: | consulate(s): Orlando (Florida) |
| Diplomatic representation from the US: | chief of mission: Ambassador Kenneth H. MERTEN |
| Diplomatic representation from the US: | embassy: Tabarre 41, Route de Tabarre, Port-au-Prince |
| Diplomatic representation from the US: | mailing address: use mailing address |
| Diplomatic representation from the US: | telephone: [509] 229-8000 |
| Diplomatic representation from the US: | FAX: [509] 229-8028 |
| Flag description: | two equal horizontal bands of blue (top) and red with a centered white rectangle bearing the coat of arms, which contains a palm tree flanked by flags and two cannons above a scroll bearing the motto L'UNION FAIT LA FORCE (Union Makes Strength); the colors are taken from the French Tricolor and represent the union of blacks and mulattoes |
| National anthem: | name: "La Dessalinienne" (The Dessalines Song) |
| National anthem: | lyrics/music: Justin LHERISSON/Nicolas GEFFRARD |
| National anthem: | note: adopted 1904; the anthem is named for Jean-Jacques DESSALINES, a leader in the Haitian Revolution and first ruler of an independent Haiti |
