| Government | Haiti |
| International organization participation: | ACCT, ACP, Caricom, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITSO, ITU, ITUC, LAES, MIGA, NAM, OAS, OIF, OPANAL, OPCW (signatory), PCA, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Raymond JOSEPH |
| Diplomatic representation in the US: | chancery: 2311 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-4090 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-7215 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Miami, New York, San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador Janet A. SANDERSON |
| Diplomatic representation from the US: | embassy: 5 Harry S Truman Boulevard, Bicentenaire-Port-au-Prince |
| Diplomatic representation from the US: | mailing address: P. O. Box 1761, Port-au-Prince |
| Diplomatic representation from the US: | telephone: [509] 222-0200 |
| Diplomatic representation from the US: | FAX: [509] 223-9038 |
| Flag description: | two equal horizontal bands of blue (top) and red with a centered white rectangle bearing the coat of arms, which contains a palm tree flanked by flags and two cannons above a scroll bearing the motto L'UNION FAIT LA FORCE (Union Makes Strength) |
