| Government | Haiti |
| Political pressure groups and leaders: | Autonomous Organizations of Haitian Workers or CATH [Fignole ST-CYR]; Confederation of Haitian Workers or CTH; Federation of Workers Trade Unions or FOS; Grand-Anse Resistance Committee, or KOREGA; Group of 184 Civil Society Organizations, or G-184 [Andy APAID]; National Popular Assembly or APN; Papaye Peasants Movement or MPP [Chavannes JEAN-BAPTISTE]; Popular Organizations Gathering Power or PROP; Roman Catholic Church; Protestant Federation of Haiti |
| International organization participation: | ACCT, ACP, Caricom, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, LAES, MIGA, OAS, OIF, OPANAL, OPCW (signatory), PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Raymond JOSEPH (as of October 2005) |
| Diplomatic representation in the US: | chancery: 2311 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-4090 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-7215 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Miami, New York, San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador Janet A. SANDERSON |
| Diplomatic representation from the US: | embassy: 5 Harry S Truman Boulevard, Bicentenaire-Port-au-Prince |
| Diplomatic representation from the US: | mailing address: P. O. Box 1761, Port-au-Prince |
| Diplomatic representation from the US: | telephone: [509] 222-0200 |
| Diplomatic representation from the US: | FAX: [509] 223-9038 |
| Flag description: | two equal horizontal bands of blue (top) and red with a centered white rectangle bearing the coat of arms, which contains a palm tree flanked by flags and two cannons above a scroll bearing the motto L'UNION FAIT LA FORCE (Union Makes Strength) |
