| Government | HAITI |
| Political parties and leaders: | Love Haiti or Renmen Ayiti [Jean-Henry CEANT and Camille LEBLANC] |
| Political parties and leaders: | Mobilization for National Development or MDN [Hubert de RONCERAY] |
| Political parties and leaders: | New Christian Movement for a New Haiti or MOCHRENA [Luc MESADIEU] |
| Political parties and leaders: | Organization for the Advancement of Haiti and Haitians or OLAHH |
| Political parties and leaders: | Party for the Integral Advancement of the Haitian People or PAIPH |
| Political parties and leaders: | Patriotic Unity or IP [Marie Denise CLAUDE] |
| Political parties and leaders: | Peasant's Response or Repons Peyizan [Michel MARTELLY] |
| Political parties and leaders: | Platform Alternative for Progress and Democracy or ALTENATIV [Victor BENOIT and Evans PAUL] |
| Political parties and leaders: | Platform of Haitian Patriots or PLAPH [Dejean BELISAIRE and Himmler REBU] |
| Political parties and leaders: | Platform Pitit Desaline or PPD [Jean-Charles MOISE] |
| Political parties and leaders: | Pont |
| Political parties and leaders: | Popular Party for the Renewal of Haiti or PPRH [Claude ROMAIN] |
| Political parties and leaders: | PPG18 |
| Political parties and leaders: | Rally of Progressive National Democrats or RDNP [Mirlande MANIGAT] |
| Political parties and leaders: | Renmen Ayiti or RA [Jean-Henry CEANT] |
| Political parties and leaders: | Reseau National Bouclier or BOUCLIER |
| Political parties and leaders: | Respect or RESPE |
| Political parties and leaders: | Strength in Unity or Ansanm Nou Fo [Leslie VOLTAIRE] |
| Political parties and leaders: | Struggling People's Organization or OPL [Jacques-Edouard ALEXIS] |
| Political parties and leaders: | Truth (Verite) |
| Political parties and leaders: | Union [Chavannes JEUNE] |
| Political parties and leaders: | Unity or Inite [Levaillant LOUIS-JEUNE] (coalition that includes Front for Hope or L'ESPWA) |
| Political parties and leaders: | Vigilance or Veye Yo [Lavarice GAUDIN] |
| Political pressure groups and leaders: | Haitian Self-Employed Workers Union or CATH [Fignole ST-CYR] |
| Political pressure groups and leaders: | Confederation of Haitian Workers or CTH |
| Political pressure groups and leaders: | Private Sector Economic Forum or PSEF [Reginald BOULOS] |
| Political pressure groups and leaders: | Federation of Workers Trade Unions or FOS |
| Political pressure groups and leaders: | General Organization of Independent Haitian Workers or OGITH [Patrick NUMAS] |
| Political pressure groups and leaders: | Grand-Anse Resistance Committee or KOREGA |
| Political pressure groups and leaders: | Haitian Association of Industries or ADIH [Georges SASSINE] |
| Political pressure groups and leaders: | National Popular Assembly or APN |
| Political pressure groups and leaders: | Papaye Peasants Movement or MPP [Chavannes JEAN-BAPTISTE] |
| Political pressure groups and leaders: | Popular Organizations Gathering Power or PROP |
| Political pressure groups and leaders: | Protestant Federation of Haiti |
| Political pressure groups and leaders: | Roman Catholic Church |
| International organization participation: | ACP, AOSIS, Caricom, CD, CDB, CELAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC (NGOs), LAES, MIGA, NAM, OAS, OIF, OPANAL, OPCW, PCA, Petrocaribe, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Paul Getty ALTIDOR (since 2 May 2012) |
| Diplomatic representation in the US: | chancery: 2311 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-4090 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-7215 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Miami, Orlando (FL), New York, San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Robin DIALLO (since August 2017) |
| Diplomatic representation from the US: | embassy: Tabarre 41, Route de Tabarre, Port-au-Prince |
| Diplomatic representation from the US: | mailing address: (in Haiti) P.O. Box 1634, Port-au-Prince, Haiti; (from abroad) 3400 Port-au-Prince, State Department, Washington, DC 20521-3400 |
| Diplomatic representation from the US: | telephone: [509] 2229-8000 |
| Diplomatic representation from the US: | FAX: [509] 229-8028 |
| Flag description: | two equal horizontal bands of blue (top) and red with a centered white rectangle bearing the coat of arms, which contains a palm tree flanked by flags and two cannons above a scroll bearing the motto L'UNION FAIT LA FORCE (Union Makes Strength); the colors are taken from the French Tricolor and represent the union of blacks and mulattoes |
| National symbol(s): | Hispaniolan trogon (bird), hibiscus flower; national colors: blue, red |
| National anthem: | name: "La Dessalinienne" (The Dessalines Song) |
| National anthem: | lyrics/music: Justin LHERISSON/Nicolas GEFFRARD |
| National anthem: | note: adopted 1904; named for Jean-Jacques DESSALINES, a leader in the Haitian Revolution and first ruler of an independent Haiti |
