| Government | Bosnia and Herzegovina |
| Legislative branch: | House of Representatives - percent of vote by coalition/party - SDA 17%, SNSD 16%, SDS/NDP/NS/SRS-VS 9.8%, SDP 9.1%, HDZ-BiH/HSS/HKDU/HSP-AS BiH/HDU BiH 9.1%, DF, 5.8%, PDP 5.1%, DNS 4.2%, SBB BiH 4.2%, NS/HC 2.9%, NB 2.5%, PDA 2.3%, SP 1.9%, A-SDA 1.8%, other 17.4%; seats by coalition/party - SDA 9, SNSD 6, SDP 5, HDZ-BiH/HSS/HKDU/HSP-AS BiH/HDU BiH 5, SDS/NDP/NS/SRS-VS 3, DF 3, PDP 2, SBB BiH 2, NS/HC 2, DNS 1, NB 1 PDA 1, SP 1, A-SDA 1; composition - men 33, women 9, percent of women 21.4%; note - total Parliamentary Assembly percent ofÂ women 19.3% |
| Judicial branch: | highest courts: Bosnia and Herzegovina (BiH) Constitutional Court (consists of 9 members); Court of BiH (consists of 44 national judges and 7 international judges organized into 3 divisions - Administrative, Appellate, and Criminal, which includes a War Crimes Chamber) |
| Judicial branch: | judge selection and term of office: BiH Constitutional Court judges - 4 selected by the Federation of Bosnia and Herzegovina House of Representatives, 2 selected by the Republika Srpska's National Assembly, and 3 non-Bosnian judges selected by the president of the European Court of Human Rights; Court of BiH president and national judges appointed by the High Judicial and Prosecutorial Council; Court of BiH president appointed for renewable 6-year term; other national judges appointed to serve until age 70; international judges recommended by the president of the Court of BiH and appointed by the High Representative for Bosnia and Herzegovina; international judges appointed to serve until age 70 |
| Judicial branch: | subordinate courts: the Federation has 10 cantonal courts plus a number of municipal courts; the Republika Srpska has a supreme court, 5 district courts, and a number of municipal courts |
| Political parties and leaders: | Alliance for a Better Future of BiH or SBB BiH [Fahrudin RADONCIC] |
| Political parties and leaders: | Alliance of Independent Social Democrats or SNSD [Milorad DODIK] |
| Political parties and leaders: | Alternative Party for Democratic Activity or A-SDA [Nermin OGRESEVIC] |
| Political parties and leaders: | Croat Peasants' Party or HSS [Mario KARAMATIC] |
| Political parties and leaders: | Croatian Christian Democratic Union of Bosnia and Herzegovina or HKDU [Ivan MUSA] |
| Political parties and leaders: | Croatian Democratic Union of Bosnia and Herzegovina or HDU-BiH [Miro GRABOVAC-TITAN] |
| Political parties and leaders: | Croatian Democratic Union of Bosnia and Herzegovina or HDZ-BiH [Dragan COVIC] |
| Political parties and leaders: | Croatian Democratic Union 1990 or HDZ-1990 [Ilija CVITANOVIC] |
| Political parties and leaders: | Croatian Party of Rights dr. Ante Starcevic or HSP-AS Bih [Karlo STARCEVIC] |
| Political parties and leaders: | Democratic Alliance or DEMOS [Nedeljko CUBRILOVIC] |
| Political parties and leaders: | Democratic Front of DF [Zeljko KOMSIC] |
| Political parties and leaders: | Democratic Peoples' Alliance or DNS [Marko PAVIC] |
| Political parties and leaders: | Independent Bloc or NB [Senad SEPIC] |
| Political parties and leaders: | Movement for Democratic Action or PDA [Mirsad KUKIC] |
| Political parties and leaders: | Progressive Srpska or NS [Goran DORDIC] |
| Political parties and leaders: | Our Party or NS/HC [Predrag KOJOVIC] |
| Political parties and leaders: | Party for Democratic Action or SDA [Bakir IZETBEGOVIC] |
| Political parties and leaders: | Party of Democratic Progress or PDP [Branislav BORENOVIC] |
| Political parties and leaders: | People's Democratic Movement or NDP [Dragan CAVIC] |
| Political parties and leaders: | Serb Democratic Party or SDS [Vukota GOVEDARICA] |
| Political parties and leaders: | Serb Radical Party-Dr. Vojislav Seselj or SRS-VS [Vojislav SESELJ] (members joined the PDP) |
| Political parties and leaders: | Social Democratic Party or SDP [Nermin NIKSIC] |
| Political parties and leaders: | Socialist Party or SP [Petar DOKIC] |
| Political parties and leaders: | United Srpska or US [Nenad STEVANDIC] |
| International organization participation: | BIS, CD, CE, CEI, EAPC, EBRD, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NAM (observer), OAS (observer), OIC (observer), OIF (observer), OPCW, OSCE, PFP, SELEC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Bojan VUJICÂ (since 16 September 2019) |
| Diplomatic representation in the US: | chancery: 2109 E Street NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-1500 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-1502 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Eric NELSON (since 19 February 2019) |
| Diplomatic representation from the US: | telephone: [387] (33) 704-000 |
| Diplomatic representation from the US: | embassy: 1 Robert C. Frasure Street, 71000 Sarajevo |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | FAX: [387] (33) 659-722 |
| Diplomatic representation from the US: | branch office(s): Banja Luka, Mostar |
| Flag description: | a wide blue vertical band on the fly side with a yellow isosceles triangle abutting the band and the top of the flag; the remainder of the flag is blue with seven full five-pointed white stars and two half stars top and bottom along the hypotenuse of the triangle; the triangle approximates the shape of the country and its three points stand for the constituent peoples - Bosniaks, Croats, and Serbs; the stars represent Europe and are meant to be continuous (thus the half stars at top and bottom); the colors (white, blue, and yellow) are often associated with neutrality and peace, and traditionally are linked with Bosnia |
| Flag description: | note: one of several flags where a prominent component of the design reflects the shape of the country; other such flags are those of Brazil, Eritrea, and Vanuatu |
| National symbol(s): | golden lily; national colors: blue, yellow, white |
| National anthem: | name: "Drzavna himna Bosne i Hercegovine" (The National Anthem of Bosnia and Herzegovina) |
| National anthem: | lyrics/music: none officially; Dusan SESTIC and Benjamin ISOVIC/Dusan SESTIC |
| National anthem: | note: music adopted 1999; lyrics proposed in 2009 and others in 2016 were not approved; a parliamentary committee launched a new initiative for lyrics in February 2018 |
