| Government | BOSNIA AND HERZEGOVINA |
| Judicial branch: | judge selection and term of office: BiH Constitutional Court judges - 4 selected by the Bosniak/Croat Federation's House of Representatives, 2 selected by the Republika Srpska's National Assembly, and 3 non-Bosnian judges selected by the president of the European Court of Human Rights; Court of BiH president and national judges appointed by the High Judicial and Prosecutorial Council; Court of BiH president appointed for renewable 6-year term; other national judges appointed to serve until age 70; international judges recommended by the president of the Court of BiH and appointed by the High Representative for Bosnia and Herzegovina; international judges appointed to serve until age 70 |
| Judicial branch: | subordinate courts: the Federation has 10 cantonal courts plus a number of municipal courts; the Republika Srpska has a supreme court, 5 district courts, and a number of municipal courts |
| Political parties and leaders: | Alliance for a Better Future of BiH or SBB BiH [Fahrudin RADONCIC] |
| Political parties and leaders: | Alliance of Independent Social Democrats or SNSD [Milorad DODIK] |
| Political parties and leaders: | Bosnian-Herzegovinian Patriotic Party-Sefer Halilovic or BPS-Sefer Halilovic [Sefer HALILOVIC] |
| Political parties and leaders: | Croat Peasants' Party-New Croat Initiative or HSS-NHI [Ante COLAK] |
| Political parties and leaders: | Croatian Christian Democratic Union of Bosnia and Herzegovina or HKDU [Ivan MUSA] |
| Political parties and leaders: | Croatian Democratic Union of Bosnia and Herzegovina or HDZ-BiH [Dragan COVIC] |
| Political parties and leaders: | Croatian Democratic Union 1990 or HDZ-1990 [Martin RAGUZ] |
| Political parties and leaders: | Croatian Party of Rights dr. Ante Starcevic or HSP dr. Ante Starcevic |
| Political parties and leaders: | Croatian Party of Rights of Herceg-Bosne or HSP Herceg-Bosne [Vesna PINJUH] |
| Political parties and leaders: | Democratic Front of DF [Zeljko KOMSIC] |
| Political parties and leaders: | Democratic Peoples' Alliance or DNS [Marko PAVIC] |
| Political parties and leaders: | Party of Democratic Action or SDA [Acting President Bakir IZETBEGOVIC] |
| Political parties and leaders: | Party of Democratic Activity or A-SDA [Nermin OGRESEVIC] |
| Political parties and leaders: | Party of Democratic Progress or PDP [Mladen IVANIC] |
| Political parties and leaders: | People's Democratic Movement or NDP [Dragan CAVIC] (unification of the Democratic Party or DP and the People's Democratic Party or NDS) |
| Political parties and leaders: | Serb Democratic Party or SDS [Mladen BOSIC] |
| Political parties and leaders: | Social Democratic Party of BiH or SDP BiH [Nermin NIKSIC] |
| Political pressure groups and leaders: | other: war veterans; displaced persons associations; family associations of missing persons; private media |
| International organization participation: | BIS, CD, CE, CEI, EAPC, EBRD, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NAM (observer), OAS (observer), OIC (observer), OIF (observer), OPCW, OSCE, PFP, SELEC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Jadranka NEGODIC (since 19 July 2012) |
| Diplomatic representation in the US: | chancery: 2109 E Street NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-1500 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-1502 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Maureen CORMACK (since 16 January 2015) |
| Diplomatic representation from the US: | embassy: 1 Robert C. Frasure Street, 71000 Sarajevo |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [387] (33) 704-000 |
| Diplomatic representation from the US: | FAX: [387] (33) 659-722 |
| Diplomatic representation from the US: | branch office(s): Banja Luka, Mostar |
| Flag description: | a wide medium blue vertical band on the fly side with a yellow isosceles triangle abutting the band and the top of the flag; the remainder of the flag is medium blue with seven full five-pointed white stars and two half stars top and bottom along the hypotenuse of the triangle; the triangle approximates the shape of the country and its three points stand for the constituent peoples - Bosniaks, Croats, and Serbs; the stars represent Europe and are meant to be continuous (thus the half stars at top and bottom); the colors (white, blue, and yellow) are often associated with neutrality and peace, and traditionally are linked with Bosnia |
| National symbol(s): | golden lily; national colors: blue, yellow, white |
| National anthem: | name: "Drzavna himna Bosne i Hercegovine" (The National Anthem of Bosnia and Herzegovina) |
| National anthem: | lyrics/music: none officially; Dusan SESTIC and Benjamin ISOVIC/Dusan SESTIC |
| National anthem: | note: music adopted 1999; lyrics accepted 2009 but not yet approved |
