| Government | Bosnia and Herzegovina |
| Judicial branch: | note: the entities each have a Supreme Court; each entity also has a number of lower courts; there are 10 cantonal courts in the Federation, plus a number of municipal courts; the Republika Srpska has five municipal courts |
| Political parties and leaders: | Alliance of Independent Social Democrats or SNSD [Milorad DODIK]; Bosnian Party or BOSS [Mirnes AJANOVIC]; Bosnian Patriotic Party of BPS [Sefer HALILOVIC]; Civic Democratic Party or GDS [Ibrahim SPAHIC]; Croat Christian Democratic Union of Bosnia and Herzegovina or HKDU [Marin TOPIC]; Croat Party of Rights or HSP [Zvonko JURISIC]; Croat Peasants Party or HSS [Marko TADIC]; Croatian Democratic Union of Bosnia and Herzegovina or HDZ-BH [Dragan COVIC]; Croatian Democratic Union 1990 or HDZ1990 [Bozo LJUBIC]; Croatian Peoples Union [Milenko BRKIC]; Democratic National Union or DNZ [Rifet DOLIC]; Democratic Party of DP [Dragan CAVIC]; Democratic Peoples Alliance or DNS [Marko PAVIC]; Liberal Democratic Party or LDS [Rasim KADIC]; Nasa Stranka or NS [Bojan BAJIC]; New Croat Initiative or NHI [Kresimir ZUBAK]; Party for Bosnia and Herzegovina or SBiH [Haris SILAJDZIC]; Party for Democratic Action or SDA [Sulejman TIHIC]; Party for Work and Progress or RzB [Mladen IVANKOVIC-LIJANOVIC]; Party of Democratic Progress or PDP [Mladen IVANIC]; Serb Democratic Party or SDS [Mladen BOSIC]; Serb Radical Party of the Republika Srpska or SRS-RS [Milanko MIHAJLICA]; Serb Radical Party-Dr. Vojislav Seselj or SRS-VS [Radislav KANJERIC]; Social Democratic Party of BIH or SDP [Zlatko LAGUMDZIJA]; Social Democratic Union or SDU [Sejfudin TOKIC]; Socialist Party of Republika Srpska or SPRS [Petar DJOKIC] |
| Political pressure groups and leaders: | other: displaced persons associations; student councils; war veterans |
| International organization participation: | BIS, CE, CEI, EAPC, EBRD, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUC, NAM (observer), OAS (observer), OIC (observer), OPCW, OSCE, PFP, SECI, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Mitar KUJUNDZIC |
| Diplomatic representation in the US: | chancery: 2109 E Street NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-1500 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-1502 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Charles L. ENGLISH |
| Diplomatic representation from the US: | embassy: Alipasina 43, 71000 Sarajevo |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [387] (33) 445-700 |
| Diplomatic representation from the US: | FAX: [387] (33) 659-722 |
| Diplomatic representation from the US: | branch office(s): Banja Luka, Mostar |
| Flag description: | a wide medium blue vertical band on the fly side with a yellow isosceles triangle abutting the band and the top of the flag; the remainder of the flag is medium blue with seven full five-pointed white stars and two half stars top and bottom along the hypotenuse of the triangle |
