| Government | Bosnia and Herzegovina |
| Judicial branch: | BiH Constitutional Court (consists of nine members: four members are selected by the Bosniak/Croat Federation's House of Representatives, two members by the Republika Srpska's National Assembly, and three non-Bosnian members by the president of the European Court of Human Rights); BiH State Court (consists of 44 national judges and seven international judges and has three divisions - Administrative, Appellate and Criminal - having jurisdiction over cases related to state-level law and cases initiated in the entities that question BiH's sovereignty, political independence, or national security or with economic crimes that have serious repercussions to BiH's economy, beyond that of an entity or Brcko District); a War Crimes Chamber opened in March 2005 |
| Judicial branch: | note: the entities each have a Supreme Court; each entity also has a number of lower courts; there are 10 cantonal courts in the Federation, plus a number of municipal courts; the Republika Srpska has five district courts and a number of municipal courts |
| Political parties and leaders: | Alliance for a Better Future of BiH or SBB-BiH [ Fahrudin RADONCIC]; Alliance of Independent Social Democrats or SNSD [Milorad DODIK]; Bosnian Party or BOSS [Mirnes AJANOVIC]; Bosnian Patriotic Party or BPS [Sefer HALILOVIC]; Civic Democratic Party or GDS [Ibrahim SPAHIC]; Croat Party of Rights or HSP [Zvonko JURISIC]; Croat Peasants' Party-New Croat Initiative or HSS-NHI [Ante COLAK]; Croatian Christian Democratic Union of Bosnia and Herzegovina or HKDU [Ivan MUSA]; Croatian Democratic Union of Bosnia and Herzegovina or HDZ-BiH [Dragan COVIC]; Croatian Democratic Union 1990 or HDZ-1990 [Bozo LJUBIC]; Croatian Peoples Union [Milenko BRKIC]; Democratic National Union or DNZ [Rifat DOLIC]; Democratic Party or DP [Dragan CAVIC]; Democratic Peoples' Alliance or DNS [Marko PAVIC]; Liberal Democratic Party or LDS [Rasim KADIC]; Nasa Stranka or NS [NA; leadership elections late 2010/early 2011]; New Socialist Party or NSP [Zdravko KRSMANOVIC]; Party for Bosnia and Herzegovina or SBiH [Haris SILAJDZIC]; Party of Democratic Action or SDA [Sulejman TIHIC]; Party of Democratic Progress or PDP [Mladen IVANIC]; Peoples' Party of Work for Progress or NSRzB [Mladen IVANKOVIC-LIJANOVIC]; Serb Democratic Party or SDS [Mladen BOSIC]; Serb Radical Party of the Republika Srpska or SRS-RS [Milanko MIHAJLICA]; Serb Radical Party-Dr. Vojislav Seselj or SRS-VS [Mirko BLAGOJEVIC]; Social Democratic Party of BiH or SDP BiH [Zlatko LAGUMDZIJA]; Social Democratic Union or SDU [Nermin PECANAC]; Socialist Party of Republika Srpska or SPRS [Petar DJOKIC] |
| Political pressure groups and leaders: | other: war veterans; displaced persons associations; family associations of missing persons; private media |
| International organization participation: | BIS, CE, CEI, EAPC, EBRD, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUSCO, NAM (observer), OAS (observer), OIC (observer), OPCW, OSCE, PFP, SECI, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Mitar KUJUNDZIC |
| Diplomatic representation in the US: | chancery: 2109 E Street NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-1500 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-1502 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Patrick S. MOON |
| Diplomatic representation from the US: | embassy: Alipasina 43, 71000 Sarajevo |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [387] (33) 445-700 |
| Diplomatic representation from the US: | FAX: [387] (33) 659-722 |
| Diplomatic representation from the US: | branch office(s): Banja Luka, Mostar |
| Flag description: | a wide medium blue vertical band on the fly side with a yellow isosceles triangle abutting the band and the top of the flag; the remainder of the flag is medium blue with seven full five-pointed white stars and two half stars top and bottom along the hypotenuse of the triangle; the triangle approximates the shape of the country and its three points stand for the constituent peoples - Bosniaks, Croats, and Serbs; the stars represent Europe and are meant to be continuous (thus the half stars at top and bottom); the colors (white, blue, and yellow) are often associated with neutrality and peace, and traditionally are linked with Bosnia |
| National anthem: | name: "Drzavna himna Bosne i Hercegovine" (The National Anthem of Bosnia and Herzegovina) |
| National anthem: | lyrics/music: Dusan SESTIC and Benjamin ISOVIC/Dusan SESTIC |
| National anthem: | note: music adopted 1999; lyrics adopted 2009 |
