| Government | Bosnia and Herzegovina |
| Political parties and leaders: | Bosnian Party or BOSS [Mirnes AJANOVIC]; Bosnian Patriotic Party or BPS [Sefer HALILOVIC]; Civic Democratic Party of BiH or GDS [Ibrahim SPAHIC]; Croat Christian Democratic Union or HKDU BiH [Ante PASALIC]; Croatian Democratic Union of BiH or HDZ-BiH [Ante JELAVIC; note - not recognized by the international community]; Croatian Party of Rights of BiH or HSP-BiH [Zdravko HRSTIC]; Croatian Peasants Party of BiH or HSS-BiH [Ilija SIMIC]; Democratic National Alliance or DNS [Dragan KOSTIC]; Democratic Party of Pensioners or DPS [Alojz KNEZOVIC]; Democratic Party of RS or DSRS [Dragomir DUMIC]; Democratic Peoples Union or DNZ [Fikret ABDIC]; Democratic Socialist Party or DSP [Nebojsa RADMANOVIC]; Liberal Democratic Party or LDS [Rasim KADIC]; New Croatian Initiative or NHI [Kresimir ZUBAK]; Party for Bosnia and Herzegovina or SBH [Safet HALILOVIC]; Party of Democratic Action or SDA [Sulejman TIHIC]; Party of Democratic Progress or PDP [Mladen IVANIC]; Party of Independent Social Democrats or SNSD [Milorad DODIK]; Pensioners' Party of FBiH [Husein VOJNIKOVIC]; Pensioners' Party of SR [Stojan BOGOSAVAC]; People's Party-Working for Progress or NS-RZB [Mladen IVANKOVIC]; Republican Party of BiH or RP [Stjepan KLJUIC]; Serb Democratic Party or SDS [Dragan KALINIC]; Serb National Alliance (Serb People's Alliance) or SNS [Branislav LULIC]; Social Democratic Party of BIH or SDP-BiH [Zlatko LAGUMDZIJA]; Socialist Party of Republika Srpska or SPRS [Zivko RADISIC] |
| Political pressure groups and leaders: | NA |
| International organization participation: | BIS, CE (guest), CEI, EBRD, ECE, FAO, G-77, IAEA, IBRD, ICAO, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, NAM (guest), OAS (observer), OIC (observer), OPCW, OSCE, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UPU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Igor DAVIDOVIC |
| Diplomatic representation in the US: | chancery: 2109 E Street NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 337-1500 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation in the US: | FAX: [1] (202) 337-1502 |
| Diplomatic representation from the US: | chief of mission: Ambassador Clifford J. BOND |
| Diplomatic representation from the US: | embassy: Alipasina 43, 71000 Sarajevo |
| Diplomatic representation from the US: | mailing address: use street address |
| Diplomatic representation from the US: | telephone: [387] (33) 445-700 |
| Diplomatic representation from the US: | FAX: [387] (33) 659-722 |
| Diplomatic representation from the US: | branch office(s): Banja Luka, Mostar |
| Flag description: | a wide medium blue vertical band on the fly side with a yellow isosceles triangle abutting the band and the top of the flag; the remainder of the flag is medium blue with seven full five-pointed white stars and two half stars top and bottom along the hypotenuse of the triangle |
| Government - note: | The Dayton Agreement, signed in Paris on 14 December 1995, retained Bosnia and Herzegovina's exterior border and created a joint multi-ethnic and democratic government. This national government - based on proportional representation similar to that which existed in the former socialist regime - is charged with conducting foreign, economic, and fiscal policy. The Dayton Agreement also recognized a second tier of government, comprised of two entities - a joint Bosniak/Croat Federation of Bosnia and Herzegovina and the Bosnian Serb Republika Srpska (RS) - each presiding over roughly one-half the territory. The Federation and RS governments are charged with overseeing internal functions. The Bosniak/Croat Federation is further divided into 10 cantons. The Dayton Agreement established the Office of the High Representative (OHR) to oversee the implementation of the civilian aspects of the agreement. About 250 international and 450 local staff members are employed by the OHR. |
