| Government | Tunisia |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 23 November with a runoff on 21 December 2014 (next to be held in 2019); following legislative elections, the prime minister is selected by the majority party or majority coalition and appointed by the president |
| Executive branch: | election results: Beji CAID ESSEBSI elected president in second round; percent of vote - Beji CAID ESSEBSI (Call for Tunisia Party) 55.7%, Moncef MARZOUKI (CPR) 44.3% |
| Legislative branch: | description: unicameral Assembly of the Representatives of the People or Majlis Nuwwab ash-Sha'b (Assemblee des representants du peuple) (217 seats; 199 members directly elected in Tunisian multi-seat constituencies and 18 members in multi-seat constituencies abroad by party-list proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: initial election held on 26 October 2014 (next to be held in 2019) |
| Legislative branch: | election results: percent of vote by party - Call for Tunisia 37.6%, Ennahdha 27.8%, UPL 4.1%, Popular Front 3.6%, Afek Tounes 3%, CPR 2.1%, other 21.8%; seats by party - Call to Tunisia 86, Nahda 69, UPL 16, Popular Front 15, Afek Tounes 8, CPR 4, other 17, independent 2; composition - men 149, women 68, percent of women 31.3% |
| Legislative branch: | Note: in August 2018, Prime Minister CHAHED left the Nidaa Tounes party and began building the "National Coalition" bloc, partnering with the al-Nadha party to form a parliamentary majority; percent of vote by party as of November 2018 - al-Nadha 30.9%, Nidaa Tounes 21.2%, National Coalition 20.3%, Popular Front 6.9%, Machrou Tounes' Al-Horrah Bloc 6.9%, Democratic Bloc 5.5%, Loyalty to the Nation Bloc 5.1%, independent 3.2%; seats by party as of November 2018 - al-Nadha 67, Nidaa Tounes 46, National Coalition 44, Popular Front 15, Machrou Tounes' Al-Horrah Bloc 15, Democratic Bloc 12, Loyalty to the Nation Bloc 11, indpendent 7 |
| Political parties and leaders: | Afek Tounes [Yassine BRAHIM]Al Badil Al-Tounisi (The Tunisian Alternative) [Mehdi JOMAA] |
| Political parties and leaders: | Call for Tunisia (Nidaa Tounes) [Hafedh CAID ESSEBSI] |
| Political parties and leaders: | Congress for the Republic or CPR [Imed DAIMI] |
| Political parties and leaders: | Current of Love [Hachemi HAMDI] (formerly the Popular Petition party) |
| Political parties and leaders: | Democratic Alliance Party [Mohamed HAMDI] |
| Political parties and leaders: | Democratic Current [Mohamed ABBOU] |
| Political parties and leaders: | Democratic Patriots' Unified Party [Zied LAKHDHAR] |
| Political parties and leaders: | Free Patriotic Union or UPL (Union patriotique libre) [Slim RIAHI] |
| Political parties and leaders: | Green Tunisia Party [Abdelkader ZITOUNI] |
| Political parties and leaders: | Machrou Tounes (Tunisia Project) [Mohsen MARZOUK] |
| Political parties and leaders: | Movement of Socialist Democrats or MDS [Ahmed KHASKHOUSSI] |
| Political parties and leaders: | Nahda Movement (The Renaissance) [Rachid GHANNOUCHI] |
| Political parties and leaders: | National Destourian Initiative or El Moubadra [Kamel MORJANE] |
| Political parties and leaders: | Party of the Democratic Arab Vanguard [Ahmed JEDDICK, Kheireddine SOUABNI] |
| Political parties and leaders: | People's Movement [Zouheir MAGHZAOUI] |
| Political parties and leaders: | Popular Front (coalition includes Democratic Patriots' Unified Party, Workers' Party, Green Tunisia, Tunisian Ba'ath Movement, and Party of the Democratic Arab Vanguard) |
| Political parties and leaders: | Republican Party [Maya JRIBI] |
| Political parties and leaders: | Tunisian Ba'ath Movement [OMAR Othman BELHADJ] |
| Political parties and leaders: | Tunisia First (Tunis Awlan) [Ridha BELHAJ] |
| Political parties and leaders: | Workers' Party [Hamma HAMMAMI] |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, AU, BSEC (observer), CAEU, CD, EBRD, FAO, G-11, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MONUSCO, NAM, OAS (observer), OIC, OIF, OPCW, OSCE (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Faycal GOUIA (since 18 May 2015) |
| Diplomatic representation in the US: | chancery: 1515 Massachusetts Avenue NW, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 862-1850 |
| Diplomatic representation in the US: | FAX: [1] (202) 862-1858 |
| Diplomatic representation from the US: | chief of mission: Ambassador Daniel H. RUBINSTEIN (since 26 October 2015) |
| Diplomatic representation from the US: | embassy: Zone Nord-Est des Berges du Lac Nord de Tunis 1053 |
| Diplomatic representation from the US: | mailing address: Zone Nord-Est des Berges du Lac Nord de Tunis 1053 |
| Diplomatic representation from the US: | telephone: [216] 71 107-000 |
| Diplomatic representation from the US: | FAX: [216] 71 107-090 |
| Flag description: | red with a white disk in the center bearing a red crescent nearly encircling a red five-pointed star; resembles the Ottoman flag (red banner with white crescent and star) and recalls Tunisia's history as part of the Ottoman Empire; red represents the blood shed by martyrs in the struggle against oppression, white stands for peace; the crescent and star are traditional symbols of Islam |
| Flag description: | note: the flag is based on that of Turkey, itself a successor state to the Ottoman Empire |
| National symbol(s): | encircled red star and crescent; national colors: red, white |
| National anthem: | name: "Humat Al Hima" (Defenders of the Homeland) |
| National anthem: | lyrics/music: Mustafa Sadik AL-RAFII and Aboul-Qacem ECHEBBI/Mohamad Abdel WAHAB |
| National anthem: | note: adopted 1957, replaced 1958, restored 1987; Mohamad Abdel WAHAB also composed the music for the anthem of the United Arab Emirates |
