| Government |
| Political parties and leaders: | American Popular Revolutionary Alliance or APRA [Alan GARCIA]; Andean Rebirth [Ciro GALVEZ Herreria]; Avancemos [leader NA]; Democratic Cause [Jorge SANTISTEVAN]; Independent Moralizing Front or FIM [Fernando OLIVERA Vega]; National Solidarity or SN [Luis CASTANEDA Lossio]; National Unity [Lourdes FLORES Nano]; Peru 2000 [leader NA]; Peru Posible or PP [Alejandro TOLEDO Maniquez]; Popular Action or AP [leader NA]; Popular Agrarian Front of Peru or Frepap [leader NA]; Popular Solution [Carlos BOLONA Behr]; Project Country [Mario Antonio ARRUNATEGUI]; Somos Peru or SP [Alberto ANDRADE]; Union for Peru or UPP [leader NA]; Vamos Vecinos or VV [Absalon VASQUEZ] |
| Political pressure groups and leaders: | leftist guerrilla groups include Shining Path [Abimael GUZMAN Reynoso (imprisoned), Gabriel MACARIO (top leader at-large)]; Tupac Amaru Revolutionary Movement or MRTA [Victor POLAY (imprisoned), Hugo AVALLENEDA Valdez (top leader at-large)] |
| International organization participation: | ABEDA, APEC, CAN, CCC, ECLAC, FAO, G-11, G-15, G-19, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, LAIA, MONUC, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UNMEE, UNTAET, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Alfonso RIVERO Monsalve |
| Diplomatic representation in the US: | chancery: 1700 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 833-9860 through 9869 |
| Diplomatic representation in the US: | FAX: [1] (202) 659-8124 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, Miami, New York, Paterson (New Jersey), San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador John HAMILTON |
| Diplomatic representation from the US: | embassy: Avenida La Encalada, Cuadra 17s/n, Surco, Lima 33 |
| Diplomatic representation from the US: | mailing address: P. O. Box 1995, Lima 1; American Embassy (Lima), APO AA 34031-5000 |
| Diplomatic representation from the US: | telephone: [51] (1) 434-3000 |
| Diplomatic representation from the US: | FAX: [51] (1) 434-3037 |
| Flag description: | three equal, vertical bands of red (hoist side), white, and red with the coat of arms centered in the white band; the coat of arms features a shield bearing a llama, cinchona tree (the source of quinine), and a yellow cornucopia spilling out gold coins, all framed by a green wreath |
