| Government | Peru |
| Political parties and leaders: | Alliance for Great Change (Alianza por el Gran Cambio) (a coalition of the Alliance for Progress, Humanist Party, National Restoration Party, and Popular Christian Party) [Pedro Pablo KUCZYNSKI]; Fuerza 2011 [Keiko FUJIMORI]; Gana Peru (a coalition of Lima Para Todos, Peruvian Communist Party, Peruvian Nationalist Party, and Peruvian Socialist Party) [Ollanta HUMALA Tasso]; National Solidarity (Solidaridad Nacional) or SN (a coalition of Cambio 90, Siempre Unidos, Todos por el Peru, and Union for Peru or UPP) [Luis CASTANEDA Lossio]; Peru Posible or PP (a coalition of Accion Popular and Somos Peru) [Alejandro TOLEDO Manrique]; Peruvian Aprista Party (Partido Aprista Peruano) or PAP [Alan GARCIA Perez] (also referred to by its original name Alianza Popular Revolucionaria Americana or APRA) |
| Political pressure groups and leaders: | General Workers Confederation of Peru (Confederacion General de Trabajadores del Peru) or CGTP [Mario HUAMAN]; Shining Path (Sendero Luminoso) or SL [Abimael GUZMAN Reynoso (imprisoned), Victor QUISPE Palomino (top leader at-large)] (leftist guerrilla group) |
| International organization participation: | APEC, BIS, CAN, CD, CELAC, EITI (compliant country), FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAES, LAIA, Mercosur (associate), MIGA, MINURSO, MINUSTAH, MONUSCO, NAM, OAS, OPANAL, OPCW, PCA, SICA (observer), UN, UNASUR, UNCTAD, UNESCO, UNIDO, Union Latina, UNISFA, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Harold Winston FORSYTH Mejia |
| Diplomatic representation in the US: | chancery: 1700 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 833-9860 through 9869 |
| Diplomatic representation in the US: | FAX: [1] (202) 659-8124 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Dallas, Denver, Hartford, Houston, Los Angeles, Miami, New York, Paterson (New Jersey), San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Rose M. LIKINS |
| Diplomatic representation from the US: | embassy: Avenida La Encalada, Cuadra 17 s/n, Surco, Lima 33 |
| Diplomatic representation from the US: | mailing address: P. O. Box 1995, Lima 1; American Embassy (Lima), APO AA 34031-5000 |
| Diplomatic representation from the US: | telephone: [51] (1) 618-2000 |
| Diplomatic representation from the US: | FAX: [51] (1) 618-2397 |
| Flag description: | three equal, vertical bands of red (hoist side), white, and red with the coat of arms centered in the white band; the coat of arms features a shield bearing a vicuna (representing fauna), a cinchona tree (the source of quinine, signifying flora), and a yellow cornucopia spilling out coins (denoting mineral wealth); red recalls blood shed for independence, white symbolizes peace |
| National symbol(s): | vicuna (a camelid related to the llama) |
| National anthem: | name: "Himno Nacional del Peru" (National Anthem of Peru) |
| National anthem: | lyrics/music: Jose DE LA TORRE Ugarte/Jose Bernardo ALZEDO |
| National anthem: | note: adopted 1822; the song won a national contest for an anthem |
