| Government | Switzerland |
| Legislative branch: | election results: Council of States - percent of vote by party - NA; seats by party - CVP 15, FDP 14, SVP 8, SPS 6, other 3; National Council - percent of vote by party - SVP 26.6%, SPS 23.3%, FDP 17.3%, CVP 14.4%, Greens 7.4%, other small parties all under 5%; seats by party - SVP 55, SPS 54, FDP 36, CVP 28, Green Party 13, other small parties 14 |
| Judicial branch: | Federal Supreme Court (judges elected for six-year terms by the Federal Assembly) |
| Political parties and leaders: | Green Party (Grune Partei der Schweiz or Grune, Parti Ecologiste Suisse or Les Verts, Partito Ecologista Svizzero or I Verdi, Partida Ecologica Svizra or La Verda) [Ruth GENNER]; Christian Democratic People's Party (Christichdemokratische Volkspartei der Schweiz or CVP, Parti Democrate-Chretien Suisse or PDC, Partito Democratico-Cristiano Popolare Svizzero or PDC, Partida Cristiandemocratica dalla Svizra or PCD) [Doris LEUTHARD, president]; Radical Free Democratic Party (Freisinnig-Demokratische Partei der Schweiz or FDP, Parti Radical-Democratique Suisse or PRD, Partitio Liberal-Radicale Svizzero or PLR) [Marianne KLEINER-SCHLAEPFER, president]; Social Democratic Party (Sozialdemokratische Partei der Schweiz or SPS, Parti Socialist Suisse or PSS, Partito Socialista Svizzero or PSS, Partida Socialdemocratica de la Svizra or PSS) [Hans-Juerg FEHR, president]; Swiss People's Party (Schweizerische Volkspartei or SVP, Union Democratique du Centre or UDC, Unione Democratica de Centro or UDC, Uniun Democratica dal Center or UDC) [Ueli MAURER, president]; and other minor parties |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, AfDB, AsDB, Australia Group, BIS, CE, CERN, EAPC, EBRD, EFTA, ESA, FAO, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAIA (observer), MIGA, MONUC, NAM (guest), NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PFP, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMEE, UNMIK, UNOMIG, UNTSO, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Christian BLICKENSTORFER |
| Diplomatic representation in the US: | consulate(s): Boston |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, Los Angeles, New York, and San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 387-2564 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-7900 |
| Diplomatic representation in the US: | chancery: 2900 Cathedral Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Pamela P. WILLEFORD |
| Diplomatic representation from the US: | embassy: Jubilaumsstrasse 93, CH-3005 Bern |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [41] (031) 357 70 11 |
| Diplomatic representation from the US: | FAX: [41] (031) 357 73 44 |
| Flag description: | red square with a bold, equilateral white cross in the center that does not extend to the edges of the flag |
