| Government | Switzerland |
| Executive branch: | elections: president and vice president elected by the Federal Assembly from among the members of the Federal Council for a one-year, non-consecutive term; election last held on 5 December 2012 (next to be held in early December 2013) |
| Executive branch: | election results: Didier BURKHALTER elected president; Federal Assembly vote - 183 of 202; Simonetta SOMMARUGA elected vice president |
| Legislative branch: | bicameral Federal Assembly or Bundesversammlung (in German), Assemblee Federale (in French), Assemblea Federale (in Italian) consists of the Council of States or Staenderat (in German), Conseil des Etats (in French), Consiglio degli Stati (in Italian) (46 seats; membership consists of 2 representatives from each canton and 1 from each half canton; members serve four-year terms) and the National Council or Nationalrat (in German), Conseil National (in French), Consiglio Nazionale (in Italian) (200 seats; members elected by popular vote on the basis of proportional representation serve four-year terms) |
| Legislative branch: | elections: Council of States - last held in most cantons on 23 October 2011 (each canton determines when the next election will be held); National Council - last held on 23 October 2011 (next to be held in October 2015) |
| Legislative branch: | election results: Council of States - percent of vote by party - NA; seats by party - CVP 13, FDP 11, SVP 5, SPS 11, other 6; National Council - percent of vote by party - SVP 26.6%, SPS 18.7%, FDP 15.1%, CVP 12.3%, Green Party 8.4%, GLP 5.4%, BDP 5.4%, other 8.1%; seats by party - SVP 54, SPS 46, FDP 30, CVP 28, Green Party 15, GLP 12, BDP 9, other small parties 6 |
| Judicial branch: | highest court(s): Federal Supreme Court (consists of 38 judges and 31 substitutes and organized into 5 sections) |
| Judicial branch: | judge selection and term of office: judges elected by the Federal Assembly for 6-year terms; note - judges are affiliated with political parties and are elected according to linguistic and regional criteria in approximate proportion to the level of party representation in the Federal Assembly |
| Judicial branch: | subordinate courts: Federal Criminal Court (began in 2004); Federal Administrative Court (began in 2007); note - each of Switzerland's 26 cantons has its own courts |
| Political parties and leaders: | Christian Democratic People's Party (Christlichdemokratische Volkspartei der Schweiz or CVP, Parti Democrate-Chretien Suisse or PDC, Partito Popolare Democratico Svizzero or PPD, Partida Cristiandemocratica dalla Svizra or PCD) [Christophe DARBELLAY] |
| Political parties and leaders: | Conservative Democratic Party (Buergerlich-Demokratische Partei Schweiz or BDP, Parti Bourgeois Democratique Suisse or PBD, Partito Borghese Democratico Svizzero or PBD, Partido burgais democratica Svizera or PBD) [Martin LANDOLT] |
| Political parties and leaders: | Free Democratic Party or FDP.The Liberals (FDP.Die Liberalen, PLR.Les Liberaux-Radicaux, PLR.I Liberali, Ils Liberals) [Philipp MUELLER] |
| Political parties and leaders: | Green Liberal Party (Grunliberale or GLP, Parti vert liberale or PVL, Partito Verde-Liberale or PVL, Partida Verde Liberale or PVL) [Martin BAEUMLE] |
| Political parties and leaders: | Green Party (Gruene Partei der Schweiz or Gruene, Parti Ecologiste Suisse or Les Verts, Partito Ecologista Svizzero or I Verdi, Partida Ecologica Svizra or La Verda) [Adele THORENS] |
| Political parties and leaders: | Social Democratic Party (Sozialdemokratische Partei der Schweiz or SPS, Parti Socialiste Suisse or PSS, Partito Socialista Svizzero or PSS, Partida Socialdemocratica de la Svizra or PSS) [Christian LEVRAT] |
| Political parties and leaders: | Swiss People's Party (Schweizerische Volkspartei or SVP, Union Democratique du Centre or UDC, Unione Democratica di Centro or UDC, Uniun Democratica dal Center or UDC) [Toni BRUNNER] |
| Political parties and leaders: | and other minor parties |
| Political pressure groups and leaders: | NA |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Australia Group, BIS, CD, CE, CERN, EAPC, EBRD, EFTA, EITI (implementing country), ESA, FAO, FATF, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MINUSMA, MONUSCO, NEA, NSG, OAS (observer), OECD, OIF, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, PFP, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMISS, UNRWA, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Manuel SAGER (since 1 November 2010) |
| Diplomatic representation in the US: | chancery: 2900 Cathedral Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-7900 |
| Diplomatic representation in the US: | FAX: [1] (202) 387-2564 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Los Angeles, New York, San Francisco |
| Diplomatic representation in the US: | consulate(s): Boston |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Jeffrey R. CELLARS (since 22 July 2013); note - also accredited to Liechtenstein |
| Diplomatic representation from the US: | embassy: Sulgeneckstrasse 19, CH-3007 Bern |
| Diplomatic representation from the US: | mailing address: use Embassy street address |
| Diplomatic representation from the US: | telephone: [41] (031) 357-70-11 |
| Diplomatic representation from the US: | FAX: [41] (031) 357-73-44 |
| Flag description: | red square with a bold, equilateral white cross in the center that does not extend to the edges of the flag; various medieval legends purport to describe the origin of the flag; a white cross used as identification for troops of the Swiss Confederation is first attested at the Battle of Laupen (1339) |
| National symbol(s): | Swiss cross (white cross on red field; arms equal length) |
| National anthem: | name: "Schweizerpsalm" [German] "Cantique Suisse" [French] "Salmo svizzero," [Italian] "Psalm svizzer" [Romansch] (Swiss Psalm) |
| National anthem: | lyrics/music: Leonhard WIDMER [German], Charles CHATELANAT [French], Camillo VALSANGIACOMO [Italian], and Flurin CAMATHIAS [Romansch]/Alberik ZWYSSIG |
| National anthem: | note: unofficially adopted 1961, official adoption 1981; the anthem has been popular in a number of Swiss cantons since its composition (in German) in 1841; translated into the other three official languages of the country (French, Italian, and Romansch), it is official in each of those languages |
