| Government | Serbia |
| Political parties and leaders: | Coalition of Albanians of the Presevo Valley or KAPD [Riza HALIMI]; Coalition for Sandzak or KZS [Sulejman UGLJANIN]; Democratic Party of Serbia or DSS [Vojislav KOSTUNICA]; Democratic Party or DS [Boris TADIC]; G17 Plus [Mladjan DINKIC]; League of Vojvodina Hungarians or SVM [Jozsef KASZA]; Liberal Democratic Party or LDP [Cedomir JOVANOVIC]; New Serbia or NS [Velimir ILIC]; Roma Party or RP [Srdjan SAJN]; Serbian Radical Party or SRS [Vojislav SESELJ (currently on trial at The Hague), but Tomislav NIKOLIC is acting leader]; Socialist Party of Serbia or SPS [Ivica DACIC]; Union of Roma of Serbia or URS [Rajko DJURIC]; Kosovo Albanian Christian Democatic Party or PShDK [Mark KRASNIQI]; Alliance for the Future of Kosovo or AAK [Rmuch HARADINAJ]; Citizens' Initiative of Gora or GIG [Rustem IBISI]; Coalition Vakat; Democratic Ashkali Party of Kosovo or PDAK [Sabit RRAHMANI]; Democratic League of Kosovo or LDK [Fatmir SEJDIU]; Democratic Party of Kosovo or PDK [Hashim THACI]; Justice Party or PD [Sylejman CERKEZI]; Kosovo Democratic Turkish Party of KDTP [Mahir YAGCILAR]; Liberal Party of Kosovo or PLK [Gjergi DEDAJ]; New Democratic Initiative of Kosovo or IRDK [Xhevdet NEZIRAJ]; Ora Citizens' List or Ora [Veton SURROI]; Party of Democratic Action or SDA [Numan BALIC]; Popular Movement of Kosovo or LPK [Emrush XHEMAJLI]; Serb List for Kosovo and Metohija or SLKM [Oliver IVANOVIC]; Serb Democratic Party or SDS KiM [Slavisa PETKOVIC]; United Roma Party of Kosovo or PREBK [Zylfi MERXHA] |
| International organization participation: | ABEDA, BIS, BSEC, CE, CEI, EBRD, FAO, G-9, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD (suspended), IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUC, NAM (observer), OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SECI, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WCL, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Ivan VUJACIC |
| Diplomatic representation in the US: | chancery: 2134 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-0333 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3933 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Cameron MUNTER |
| Diplomatic representation from the US: | embassy: Kneza Milosa 50, 11000 Belgrade |
| Diplomatic representation from the US: | mailing address: 5070 Belgrade Place, Washington, DC 20521-5070 |
| Diplomatic representation from the US: | telephone: [381] (11) 361-9344 |
| Diplomatic representation from the US: | FAX: [381] (11) 361-8230 |
| Diplomatic representation from the US: | note: there is a branch office in Pristina at 30 Nazim Hikmet 38000 Prstina, Kososvo; telephone: [381] (38) 5959-3000; FAX:[381] (38) 549-890 |
| Flag description: | three equal horizontal stripes of red (top), blue, and white; charged with the coat of arms of Serbia shifted slightly to the hoist side |
