| Government | CONGO, REPUBLIC OF THE |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of NA judges); Constitutional Court (consists of 9 members); note - a High Court of Justice, outside the judicial authority, tries cases involving treason by the president of the republic |
| Judicial branch: | judge selection and term of office: Supreme Court judges elected by Parliament and serve until age 65; Constitutional Court members appointed by the president of the republic - 3 directly by the president and 6 nominated by Parliament; members appointed for renewable 9-year terms with one-third of the membership renewed every 3 years |
| Judicial branch: | subordinate courts: Court of Audit and Budgetary Discipline; courts of appeal; regional and district courts; employment tribunals; juvenile courts; |
| Political parties and leaders: | Action Movement for Renewal or MAR [Roland BOUITI-VIAUDO] |
| Political parties and leaders: | Citizen's Rally or RC |
| Political parties and leaders: | Congolese Labour Party or PCT [Denis SASSOU-NGUESSO] |
| Political parties and leaders: | Congolese Movement for Democracy and Integral Development or MCDDI [Guy Price Parfait KOLELAS] |
| Political parties and leaders: | Movement for Unity, Solidarity, and Work or MUST [Claudine MUNARI] |
| Political parties and leaders: | Pan-African Union for Social Development or UPADS [Pascal Tsaty MABIALA] |
| Political parties and leaders: | Party for the Unity of the Republic or PUR |
| Political parties and leaders: | Patriotic Union for Democracy and Progress or UPDP [Auguste-Celestin GONGARD NKOUA |
| Political parties and leaders: | Prospects and Realities Club or CPR |
| Political parties and leaders: | Rally for Democracy and Social Progress or RDPS [Bernard BATCHI] |
| Political parties and leaders: | Rally of the Presidential Majority or RMP |
| Political parties and leaders: | Republican and Liberal Party or PRL |
| Political parties and leaders: | Union for the Republic or UR |
| Political parties and leaders: | Union of Democratic Forces |
| Political parties and leaders: | Union for Democracy and Republic or UDR |
| Political parties and leaders: | United Democratic Forces or FDU [Sebastian EBAO]; many smaller parties |
| Political pressure groups and leaders: | Congolese Trade Union Congress or CSC |
| Political pressure groups and leaders: | General Union of Congolese Pupils and Students or UGEEC |
| Political pressure groups and leaders: | Revolutionary Union of Congolese Women or URFC |
| Political pressure groups and leaders: | Union of Congolese Socialist Youth or UJSC |
| International organization participation: | ACP, AfDB, AU, BDEAC, CEMAC, EITI (compliant country), FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Serge MOMBOULI (since 31 July 2001) |
| Diplomatic representation in the US: | chancery: 1720 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-5500 |
| Diplomatic representation in the US: | FAX: [1] (202) 726-1860 |
| Diplomatic representation from the US: | chief of mission: Ambassador Stephanie S. SULLIVAN (since 12 August 2013) |
| Diplomatic representation from the US: | embassy: 70-83 Section D, Maya-Maya Boulevard, Brazzaville |
| Diplomatic representation from the US: | mailing address: B.P. 1015, Brazzaville |
| Diplomatic representation from the US: | telephone: [242] 06 612-2000 |
| Flag description: | divided diagonally from the lower hoist side by a yellow band; the upper triangle (hoist side) is green and the lower triangle is red; green symbolizes agriculture and forests, yellow the friendship and nobility of the people, red is unexplained but has been associated with the struggle for independence |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National symbol(s): | lion, elephant; national colors: green, yellow, red |
| National anthem: | name: "La Congolaise" (The Congolese) |
| National anthem: | lyrics/music: Jacques TONDRA and Georges KIBANGHI/Jean ROYER and Joseph SPADILIERE |
| National anthem: | note: originally adopted 1959, restored 1991 |
