| Government | Serbia |
| Political parties and leaders: | Communist Party or KP [Josip Joska BROZ] |
| Political parties and leaders: | Democratic Party or DS [Zoran LUTOVAC] |
| Political parties and leaders: | Democratic Party of Serbia or DSS [Milos JOVANOVIC] |
| Political parties and leaders: | Dveri [Bosko OBRADOVIC] |
| Political parties and leaders: | Enough is Enough or DJB [Branislav MIHAJLOVIC] |
| Political parties and leaders: | For a Just Serbia (electoral coalition including DS, NS, DSVH, VVS) |
| Political parties and leaders: | Greens of Serbia or ZS [Ivan KARIC] |
| Political parties and leaders: | Justice and Reconciliation Party or SPP [Muamer ZUKORLIC] (formerly Bosniak Democratic Union of Sandzak or BDZS) |
| Political parties and leaders: | League of Social Democrats of Vojvodina or LSV [Nenad CANAK] |
| Political parties and leaders: | Liberal Democratic Party or LDP [Cedomir JOVANOVIC] |
| Political parties and leaders: | Movement of Socialists or PS [Aleksandar VULIN] |
| Political parties and leaders: | New Party or NOVA [Zoran ZIVKOVIC] |
| Political parties and leaders: | New Serbia or NS [Velimir ILIC] |
| Political parties and leaders: | Party for Democratic Action or PDD [Shaip KAMBERI] |
| Political parties and leaders: | Party of Democratic Action of the Sandzak or SDA [Sulejman UGLJANIN] |
| Political parties and leaders: | Party of United Pensioners of Serbia or PUPS [Milan KRKOBABIC] |
| Political parties and leaders: | People's Party or NARODNA [Vuk JEREMIC] |
| Political parties and leaders: | Serbia is Winning (electoral coalition including NDSS, NS, PS, PSS, PUPS, SDPS, SNP, SNS, SPO) |
| Political parties and leaders: | Serbian People's Party or SNP [Nenad POPOVIC] |
| Political parties and leaders: | Serbian Progressive Party or SNS [Aleksandar VUCIC] |
| Political parties and leaders: | Serbian Radical Party or SRS [Vojislav SESELJ] |
| Political parties and leaders: | Serbian Renewal Movement or SPO [Vuk DRASKOVIC] |
| Political parties and leaders: | Social Democratic Party or SDS [Boris TADIC] |
| Political parties and leaders: | Social Democratic Party of Serbia or SDPS [Rasim LJAJIC] |
| Political parties and leaders: | Socialist Party of Serbia or SPS [Ivica DACIC] |
| Political parties and leaders: | Strength of Serbia or PSS [Bogoljub KARIC] |
| Political parties and leaders: | Together for Serbia or ZZS [Hebojsa ZELENOVIC] |
| Political parties and leaders: | United Serbia or JS [Dragan MARKOVIC] |
| Political parties and leaders: | note: Serbia has more than 110 registered political parties and citizens' associations |
| International organization participation: | BIS, BSEC, CD, CE, CEI, EAPC, EBRD, EU (candidate country), FAO, G-9, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM (observer), NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SELEC, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNMIL, UNOCI, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | Ambassador Djerdj MATKOVIC (since 23 February 2015) |
| Diplomatic representation in the US: | chancery: 2233 Wisconsin Ave NW, #410, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-0333 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3933 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Anthony GODFREY (since 24 October 2019) |
| Diplomatic representation from the US: | telephone: [381] (11) 706-4000 |
| Diplomatic representation from the US: | embassy: 92 Bulevar kneza Aleksandra Karadjordjevica, 11040 Belgrade, Serbia |
| Diplomatic representation from the US: | mailing address: 5070 Belgrade Place, Washington, DC 20521-5070 |
| Diplomatic representation from the US: | FAX: [381] (11) 706-4005 |
| Flag description: | three equal horizontal stripes of red (top), blue, and white - the Pan-Slav colors representing freedom and revolutionary ideals; charged with the coat of arms of Serbia shifted slightly to the hoist side; the principal field of the coat of arms represents the Serbian state and displays a white two-headed eagle on a red shield; a smaller red shield on the eagle represents the Serbian nation, and is divided into four quarters by a white cross; interpretations vary as to the meaning and origin of the white, curved symbols resembling firesteels (fire strikers) or Cyrillic "C's" in each quarter; a royal crown surmounts the coat of arms |
| Flag description: | note: the Pan-Slav colors were inspired by the 19th-century flag of Russia |
| National symbol(s): | white double-headed eagle; national colors: red, blue, white |
| National anthem: | name: "Boze pravde" (God of Justice) |
| National anthem: | lyrics/music: Jovan DORDEVIC/Davorin JENKO |
| National anthem: | note: adopted 1904; song originally written as part of a play in 1872 and has been used as an anthem by the Serbian people throughout the 20th and 21st centuries |
