| Government | SERBIA |
| Political parties and leaders: | SPS/PUPS/JS [Ivica DACIC] (includes Socialist Party of Serbia or SPS [Ivica DACIC], Party of United Pensioners of Serbia or PUPS [Jovan KRKOBABIC], United Serbia or JS [Dragan "Palma" MARKOVIC]) |
| Political parties and leaders: | LDP-led Coalition [Cedomir JOVANOVIC] (includes Liberal Democratic Party of LDP [Cedomir JOVANOVIC], Bosniak Democratic Union of Sandzak or BDZS [Esad DZUDZEVIC], Social Democratic Union of SDU [Zarko KORAC]) |
| Political pressure groups and leaders: | Association of Journalists of Serbia or NUNS |
| Political pressure groups and leaders: | Journalists Association of Serbia (Udruzenje novinara Srbije) or UNS |
| Political pressure groups and leaders: | Obraz (Orthodox clero-fascist organization) |
| Political pressure groups and leaders: | SNP 1389 (Serbian nationalist movement) |
| Political pressure groups and leaders: | SNP NASI 1389 (Serbian National Movement NASI) |
| International organization participation: | BIS, BSEC, CD, CE, CEI, EAPC, EBRD, EU (candidate country), FAO, G-9, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM (observer), NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SELEC, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNMIL, UNOCI, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Djerdj MATKOVIC (since 23 February 2015) |
| Diplomatic representation in the US: | chancery: 2134 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-0333 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3933 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael KIRBY (since 11 September 2012) |
| Diplomatic representation from the US: | embassy: 92 Bulevar kneza Aleksandra Karadjordjevica, 11040 Belgrade, Serbia |
| Diplomatic representation from the US: | mailing address: 5070 Belgrade Place, Washington, DC 20521-5070 |
| Diplomatic representation from the US: | telephone: [381] (11) 706-4000 |
| Diplomatic representation from the US: | FAX: [381] (11) 706-4005 |
| Flag description: | three equal horizontal stripes of red (top), blue, and white - the Pan-Slav colors representing freedom and revolutionary ideals; charged with the coat of arms of Serbia shifted slightly to the hoist side; the principal field of the coat of arms represents the Serbian state and displays a white two-headed eagle on a red shield; a smaller red shield on the eagle represents the Serbian nation, and is divided into four quarters by a white cross; interpretations vary as to the meaning and origin of the white, curved symbols resembling firesteels or Cyrillic "C's" in each quarter; a royal crown surmounts the coat of arms |
| Flag description: | note: the Pan-Slav colors were inspired by the 19th-century flag of Russia |
| National symbol(s): | double-headed eagle; national colors: red, blue, white |
| National anthem: | name: "Boze pravde" (God of Justice) |
| National anthem: | lyrics/music: Jovan DORDEVIC/Davorin JENKO |
| National anthem: | note: adopted 1904; song originally written as part of a play in 1872 and has been used as an anthem by the Serbian people throughout the 20th and 21st centuries |
