| Government | Nigeria |
| Diplomatic representation in the US: | telephone: [1] (202) 516-4277 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-6541 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Mary Beth LEONARD (sinceÂ 24 December 2019) |
| Diplomatic representation from the US: | telephone: [234] (9) 461-4000 |
| Diplomatic representation from the US: | embassy: Plot 1075 Diplomatic Drive, Central District Area, Abuja |
| Diplomatic representation from the US: | mailing address: P. O. Box 5760, Garki, Abuja |
| Diplomatic representation from the US: | FAX: [234] (9) 461-4036 |
| Diplomatic representation from the US: | consulate(s): Lagos |
| Flag description: | three equal vertical bands of green (hoist side), white, and green; the color green represents the forests and abundant natural wealth of the country, white stands for peace and unity |
| National symbol(s): | eagle; national colors: green, white |
| National anthem: | name: Arise Oh Compatriots, Nigeria's Call Obey |
| National anthem: | lyrics/music: John A. ILECHUKWU, Eme Etim AKPAN, B.A. OGUNNAIKE, Sotu OMOIGUI and P.O. ADERIBIGBE/Benedict Elide ODIASE |
| National anthem: | note: adopted 1978; lyrics are a mixture of the five top entries in a national contest |
