| Government | Botswana |
| Judicial branch: | judge selection and term of office: Court of Appeal and High Court chief justices appointed by the president and other judges appointed by the president upon the advice of the Judicial Service Commission; all judges appointed to serve until age 70 |
| Judicial branch: | subordinate courts: Industrial Court (with circuits scheduled monthly in the capital city and in 3 districts); Magistrates Courts (1 in each district); Customary Court of Appeal; Paramount Chief's Court/Urban Customary Court; Senior Chief's Representative Court; Chief's Representativeâ€™s Court; Headman's Court |
| Political parties and leaders: | Alliance of Progressives or AP [Ndaba GAOLATHE] |
| Political parties and leaders: | Botswana Congress Party or BCP [Dumelang SALESHANDO] |
| Political parties and leaders: | Botswana Democratic Party or BDP [Mokgweetsi MASISI] |
| Political parties and leaders: | Botswana Movement for Democracy or BMD [Sidney PILANE] |
| Political parties and leaders: | Botswana National Front or BNF [Duma BOKO] |
| Political parties and leaders: | Botswana Patriotic Front or BPF [Biggie BUTALE] |
| Political parties and leaders: | Botswana Peoples Party or BPP [Motlatsi MOLAPISI] |
| Political parties and leaders: | Real Alternative Party or RAP [Gaontebale MOKGOSI] |
| Political parties and leaders: | Umbrella for Democratic Change or UDC [Duma BOKO] (various times the collation has included the BMD, BPP, BCP and BNF) (2019) |
| International organization participation: | ACP, AfDB, AU, C, CD, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Onkokame Kitso MOKAILA (since 17 September 2020) |
| Diplomatic representation in the US: | chancery: 1531-1533 New Hampshire Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-4990 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-4164 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta |
| Diplomatic representation from the US: | chief of mission: Ambassador Craig Lewis CLOUD (since 2 April 2019) |
| Diplomatic representation from the US: | telephone: [267] 395-3982 |
| Diplomatic representation from the US: | embassy: Embassy Drive, Government Enclave (off Khama Crescent), Gaborone |
| Diplomatic representation from the US: | mailing address: Embassy Enclave, P. O. Box 90, Gaborone |
| Diplomatic representation from the US: | FAX: [267] 318-0232 |
| Flag description: | light blue with a horizontal white-edged black stripe in the center; the blue symbolizes water in the form of rain, while the black and white bands represent racial harmony |
| National symbol(s): | zebra; national colors: blue, white, black |
| National anthem: | name: "Fatshe leno la rona" (Our Land) |
| National anthem: | lyrics/music: Kgalemang Tumedisco MOTSETE |
| National anthem: | note: adopted 1966 |
